test_case,precision,recall,f1_score
level 1,0.9743334370785351,0.7602933795314347,0.8541079321195366
level 2,0.9714753714753714,0.6719865330765122,0.794442956102415
level 3,0.9657201106742391,0.5363376089804766,0.6896566068345849
level 4,0.9618836448104741,0.44139735452299045,0.605114579873796
level 5,0.9551181419313287,0.38342086127494546,0.5471819942809704
level 6,0.9331306990881459,0.29863813229571984,0.45246868091378045
level 7,0.9040559620074445,0.22903828956995367,0.36548315539585147
level 8,0.9059121233034276,0.1912486037589238,0.3158232416392654
level 9,0.9100801832760596,0.17969015040144748,0.30012276891113415
level 10,0.87291280148423,0.13711205012385255,0.2369978592116862
level 11,0.8407268170426065,0.10868473488959808,0.1924859056936694
level 12,0.8329601433049709,0.09017307412614535,0.16272965879265094
level 13,0.8291890134893548,0.08235806873395858,0.14983407242078062
level 14,0.7669287898645697,0.056690294350346344,0.10557652117694817
level 15,0.7040985548448235,0.048128775242506194,0.09009882980658462
level 16,0.673432214415821,0.04191432504656247,0.07891687503811673
level 17,0.6148842050481395,0.03841027308192458,0.07230390281963803
level 18,0.6176999101527404,0.022124249786802684,0.04271844660194175
level 19,0.601126472094214,0.018868227768759745,0.0365880263034874
level 20,0.6135912698412699,0.019880747657543274,0.03851362921680652
level 21,0.6046365914786967,0.015472430213727973,0.030172750723051665
