test_case,precision,recall,f1_score
level 1,0.9769063180827887,0.7607736681370886,0.8553987027851965
level 2,0.9670761670761671,0.6709853392430958,0.792270531400966
level 3,0.94434250764526,0.5307665864558267,0.6795774647887325
level 4,0.950480413895048,0.43845891578588475,0.6000933271115259
level 5,0.9306846999154691,0.37731322823851954,0.5369422092172641
level 6,0.8627659574468085,0.28247997213514453,0.42561007609551293
level 7,0.8382749326145552,0.21597222222222223,0.34345665378244067
level 8,0.8132045088566827,0.17510402219140084,0.2881597717546362
level 9,0.8350515463917526,0.16735537190082644,0.278829604130809
level 10,0.7359307359307359,0.11813759555246699,0.20359281437125748
level 11,0.6710526315789473,0.08869565217391304,0.15668202764976957
level 12,0.6300940438871473,0.06974323386537128,0.12558575445173384
level 13,0.5870307167235495,0.05974296630774575,0.10844892812105926
level 14,0.42201834862385323,0.032011134307585246,0.059508408796895215
level 15,0.3681592039800995,0.02575704838148277,0.04814573845152895
level 16,0.3551912568306011,0.02255378209576683,0.04241435562805873
level 17,0.25136612021857924,0.01606706252183025,0.03020354563361786
level 18,0.22641509433962265,0.00822481151473612,0.015873015873015872
level 19,0.17204301075268819,0.005473828258638385,0.010610079575596818
level 20,0.20833333333333334,0.006839945280437756,0.01324503311258278
level 21,0.07894736842105263,0.0020477815699658703,0.003992015968063873
