test_case,keypoint,precision,recall,f1_score
naked_hands,0.0,0.9950228121111572,0.8028781793842035,0.8886830894610113
naked_hands,1.0,0.9933637494815429,0.8026139410187667,0.8878591288229842
naked_hands,2.0,0.9809207797594359,0.8006093432633717,0.8816402609506059
naked_hands,3.0,0.9771878888428038,0.8,0.8797610156833457
naked_hands,4.0,0.9676482787225218,0.7984257357973991,0.874929683105194
naked_hands,5.0,0.9966818747407714,0.8031417112299465,0.889505830094392
naked_hands,6.0,0.9888013272501037,0.8018836192398251,0.8855869242199108
naked_hands,7.0,0.9834093737038573,0.8010135135135135,0.882889592254701
naked_hands,8.0,0.9643301534632932,0.7978723404255319,0.8732394366197181
naked_hands,9.0,0.9995852343425964,0.8036012004001334,0.8909426987060999
naked_hands,10.0,0.9983409373703858,0.8034045393858478,0.8903273534307379
naked_hands,11.0,0.9917046868519287,0.8023489932885906,0.8870339454646632
naked_hands,12.0,0.9755288262131896,0.7997279836790208,0.8789237668161436
naked_hands,13.0,0.9983409373703858,0.8034045393858478,0.8903273534307379
naked_hands,14.0,0.9987557030277893,0.8034701368034701,0.8905325443786982
naked_hands,15.0,0.9900456242223143,0.8020833333333334,0.8862075366623353
naked_hands,16.0,0.9713811696391539,0.7990446946434664,0.8768251591164358
naked_hands,17.0,0.9954375777685608,0.8029441284710606,0.8888888888888888
naked_hands,18.0,0.990460389879718,0.802149815250252,0.8864142538975501
naked_hands,19.0,0.9805060141020323,0.8005418218760583,0.8814317673378076
naked_hands,20.0,0.9655744504355039,0.7980802194034967,0.8738738738738739
