test_case,keypoint,precision,recall,f1_score
strongly_underexposed,0.0,0.9602605863192183,0.5015311330384484,0.6589181940098346
strongly_underexposed,1.0,0.965472312703583,0.502884289107567,0.6613119143239625
strongly_underexposed,2.0,0.952442996742671,0.4994875298940895,0.655311519497983
strongly_underexposed,3.0,0.9426710097719869,0.49690934065934067,0.6507758039127501
strongly_underexposed,4.0,0.8996742671009772,0.4852424455375966,0.6304496690253367
strongly_underexposed,5.0,0.9869706840390879,0.5083892617449665,0.6710963455149502
strongly_underexposed,6.0,0.9680781758957655,0.5035581158929177,0.6625055728934462
strongly_underexposed,7.0,0.949185667752443,0.49863107460643397,0.6538030065066188
strongly_underexposed,8.0,0.9061889250814332,0.48704481792717086,0.6335686631746754
strongly_underexposed,9.0,0.990228013029316,0.509212730318258,0.672566371681416
strongly_underexposed,10.0,0.9869706840390879,0.5083892617449665,0.6710963455149502
strongly_underexposed,11.0,0.9771986970684039,0.5059021922428331,0.6666666666666667
strongly_underexposed,12.0,0.9342019543973942,0.4946533287340462,0.6468200270635994
strongly_underexposed,13.0,0.9915309446254071,0.5095413458319384,0.6731534719150819
strongly_underexposed,14.0,0.990228013029316,0.509212730318258,0.672566371681416
strongly_underexposed,15.0,0.9706840390879479,0.5042301184433164,0.6636971046770601
strongly_underexposed,16.0,0.9120521172638436,0.4886561954624782,0.6363636363636364
strongly_underexposed,17.0,0.9583061889250815,0.5010217983651226,0.6580183404160143
strongly_underexposed,18.0,0.9511400651465798,0.49914529914529915,0.6547085201793722
strongly_underexposed,19.0,0.9289902280130293,0.4932549290902802,0.6443741527338455
strongly_underexposed,20.0,0.8977198697068404,0.4846992613436511,0.6295111923252628
underexposed,0.0,0.9940828402366864,0.7876758204956463,0.8789237668161435
underexposed,1.0,0.9919695688926459,0.7873196913787319,0.8778754441743034
underexposed,2.0,0.9759087066779375,0.7845735643900782,0.8698436617065362
underexposed,3.0,0.9691462383770076,0.7833959685685001,0.8664273568864537
underexposed,4.0,0.9513947590870668,0.7802426343154246,0.8573605027613788
underexposed,5.0,0.9940828402366864,0.7876758204956463,0.8789237668161435
underexposed,6.0,0.9864750633981403,0.7863881401617251,0.8751406074240718
underexposed,7.0,0.9737954353338969,0.7842069434989789,0.8687782805429864
underexposed,8.0,0.9530853761622993,0.7805469020422291,0.8582302568981922
underexposed,9.0,0.9966187658495351,0.7881016042780749,0.8801791713325867
underexposed,10.0,0.9970414201183432,0.7881724022719679,0.8803881321142004
underexposed,11.0,0.9881656804733728,0.7866756393001346,0.8759835144248782
underexposed,12.0,0.9691462383770076,0.7833959685685001,0.8664273568864537
underexposed,13.0,0.9978867286559594,0.788313856427379,0.880805819809737
underexposed,14.0,0.9987320371935756,0.7884551217884551,0.8812231959724034
underexposed,15.0,0.989010989010989,0.7868190988567586,0.8764044943820224
underexposed,16.0,0.9628064243448858,0.7822802197802198,0.8632057597574839
underexposed,17.0,0.989010989010989,0.7868190988567586,0.8764044943820224
underexposed,18.0,0.9847844463229078,0.7860998650472335,0.874296435272045
underexposed,19.0,0.9695688926458157,0.7834699453551912,0.8666414809217982
underexposed,20.0,0.9471682163989856,0.7794782608695652,0.8551803091013165
overexposed,0.0,0.9956521739130435,0.6890672016048145,0.8144635447540012
overexposed,1.0,0.9946859903381643,0.688859150217464,0.8139948606443961
overexposed,2.0,0.9859903381642512,0.686974082800404,0.8097599682602659
overexposed,3.0,0.9797101449275363,0.6855983772819473,0.8066825775656324
overexposed,4.0,0.9676328502415459,0.6829185134674395,0.8007195682590446
overexposed,5.0,0.9975845410628019,0.6894824707846411,0.8153998025666338
overexposed,6.0,0.9917874396135266,0.6882333221589004,0.8125865822283792
overexposed,7.0,0.9835748792270531,0.6864463924477411,0.8085782366957903
overexposed,8.0,0.9642512077294686,0.6821599453178401,0.7990392313851081
overexposed,9.0,1.0,0.69,0.8165680473372781
overexposed,10.0,0.9995169082125603,0.6898966322107369,0.8163345827579405
overexposed,11.0,0.993719806763285,0.6886508202209575,0.8135258058137236
overexposed,12.0,0.9801932367149758,0.6857046299425481,0.8069198647842514
overexposed,13.0,0.9995169082125603,0.6898966322107369,0.8163345827579405
overexposed,14.0,1.0,0.69,0.8165680473372781
overexposed,15.0,0.9951690821256038,0.6889632107023411,0.8142292490118578
overexposed,16.0,0.976328502415459,0.6848525923415791,0.8050189205337582
overexposed,17.0,0.9971014492753624,0.6893787575150301,0.8151658767772513
overexposed,18.0,0.9917874396135266,0.6882333221589004,0.8125865822283792
overexposed,19.0,0.9835748792270531,0.6864463924477411,0.8085782366957903
overexposed,20.0,0.9690821256038648,0.6832425068119891,0.8014382740711146
strongly_overexposed,0.0,0.9417582417582417,0.29080420766881576,0.4443868291418201
strongly_overexposed,1.0,0.9538461538461539,0.29344151453684925,0.4488107549120993
strongly_overexposed,2.0,0.9494505494505494,0.2924847664184157,0.4472049689440994
strongly_overexposed,3.0,0.9505494505494505,0.2927241962774958,0.44760672703751614
strongly_overexposed,4.0,0.9252747252747253,0.28717598908594816,0.4383133784487246
strongly_overexposed,5.0,0.9868131868131869,0.30053547523427043,0.46074910210364295
strongly_overexposed,6.0,0.9824175824175824,0.299597855227882,0.45916795069337435
strongly_overexposed,7.0,0.9659340659340659,0.2960592792185921,0.4532095901005414
strongly_overexposed,8.0,0.9351648351648352,0.2893573614416865,0.44196312646065955
strongly_overexposed,9.0,0.9934065934065934,0.301937207748831,0.4631147540983606
strongly_overexposed,10.0,0.9934065934065934,0.301937207748831,0.4631147540983606
strongly_overexposed,11.0,0.9956043956043956,0.30240320427236317,0.4639016897081414
strongly_overexposed,12.0,0.9516483516483516,0.2929634641407307,0.44800827728918774
strongly_overexposed,13.0,0.9901098901098901,0.30123704446673355,0.46193283773391436
strongly_overexposed,14.0,0.9967032967032967,0.302635969302636,0.4642948553877656
strongly_overexposed,15.0,0.9901098901098901,0.30123704446673355,0.46193283773391436
strongly_overexposed,16.0,0.9483516483516483,0.29224517439891634,0.4468030028475278
strongly_overexposed,17.0,0.9692307692307692,0.29676985195154776,0.45440494590417313
strongly_overexposed,18.0,0.9659340659340659,0.2960592792185921,0.4532095901005414
strongly_overexposed,19.0,0.9494505494505494,0.2924847664184157,0.4472049689440994
strongly_overexposed,20.0,0.9230769230769231,0.28668941979522183,0.4375
