test_case,keypoint,precision,recall,f1_score
thumb,0.0,0.9650406504065041,0.40142035847142377,0.5669930737998568
thumb,1.0,0.9585365853658536,0.3997965412004069,0.5642498205312275
thumb,2.0,0.926829268292683,0.3917525773195876,0.5507246376811594
thumb,3.0,0.916260162601626,0.38902312737314465,0.546159437848316
thumb,4.0,0.7983739837398374,0.35683139534883723,0.4932194876946258
thumb,5.0,0.9869918699186991,0.40683646112600536,0.5761746559088752
thumb,6.0,0.9796747967479674,0.4050420168067227,0.5731272294887039
thumb,7.0,0.9682926829268292,0.4022289766970618,0.5683607730851825
thumb,8.0,0.9471544715447154,0.3969335604770017,0.5594237695078031
thumb,9.0,0.9991869918699187,0.40980326775591863,0.5812248758571766
thumb,10.0,0.9967479674796748,0.40921228304405877,0.5802176999526739
thumb,11.0,0.9853658536585366,0.40643863179074446,0.5754985754985754
thumb,12.0,0.9723577235772358,0.40323668240053945,0.5700667302192564
thumb,13.0,0.9983739837398374,0.409606404269513,0.5808893093661306
thumb,14.0,0.9975609756097561,0.4094094094094094,0.5805535841022001
thumb,15.0,0.9910569105691057,0.40782870525259285,0.5778620526191042
thumb,16.0,0.9666666666666667,0.4018249408583981,0.5676772499403199
thumb,17.0,0.9853658536585366,0.40643863179074446,0.5754985754985754
thumb,18.0,0.9804878048780488,0.40524193548387094,0.5734664764621967
thumb,19.0,0.967479674796748,0.40202702702702703,0.568019093078759
thumb,20.0,0.9479674796747968,0.3971389645776567,0.5597695631301008
index_finger,0.0,0.9829984544049459,0.4271323035594359,0.5955056179775281
index_finger,1.0,0.9860896445131375,0.4279007377598927,0.5968194574368568
index_finger,2.0,0.9598145285935085,0.42130257801899595,0.5855728429985857
index_finger,3.0,0.9574961360123647,0.42071307300509336,0.5845718329794763
index_finger,4.0,0.9404945904173106,0.4163530619226822,0.5771875741048138
index_finger,5.0,0.9783616692426584,0.4259757738896366,0.5935302390998594
index_finger,6.0,0.9760432766615147,0.42539575614685077,0.5925404644616467
index_finger,7.0,0.9459041731066461,0.41774744027303756,0.5795454545454546
index_finger,8.0,0.8732612055641422,0.39844851904090267,0.5472154963680388
index_finger,9.0,0.9969088098918083,0.43057409879839786,0.6013986013986015
index_finger,10.0,0.9938176197836167,0.4298128342245989,0.6000933271115259
index_finger,11.0,0.9783616692426584,0.4259757738896366,0.5935302390998594
index_finger,12.0,0.9435857805255023,0.41715066621113767,0.5785358919687278
index_finger,13.0,0.9976816074188563,0.4307640974307641,0.6017245397343277
index_finger,14.0,0.9969088098918083,0.43057409879839786,0.6013986013986015
index_finger,15.0,0.9884080370942813,0.4284757118927973,0.5978032250525824
index_finger,16.0,0.9582689335394127,0.42090970807875083,0.5849056603773585
index_finger,17.0,0.9922720247295209,0.4294314381270903,0.5994397759103641
index_finger,18.0,0.9845440494590417,0.42751677852348996,0.5961628451099672
index_finger,19.0,0.9698608964451314,0.42384329618372174,0.5898942420681552
index_finger,20.0,0.9544049459041731,0.4199251955117307,0.5832349468713104
middle_finger,0.0,0.9845150774246129,0.40523314324052334,0.5741444866920152
middle_finger,1.0,0.9682151589242054,0.4012158054711246,0.5673352435530086
middle_finger,2.0,0.9421352893235534,0.39467395015363604,0.5563041385948028
middle_finger,3.0,0.9299103504482478,0.39155799588194923,0.5510746196570876
middle_finger,4.0,0.9193154034229829,0.38883143743536713,0.5465116279069767
middle_finger,5.0,0.9657701711491442,0.40060851926977686,0.5663082437275986
middle_finger,6.0,0.9633251833740831,0.4,0.5652797704447633
middle_finger,7.0,0.9502852485737572,0.39673358285131,0.5597695631301007
