test_case,keypoint,precision,recall,f1_score
level 1,0.0,0.9830895795246801,0.7259534255821802,0.8351776354105999
level 1,1.0,0.9876599634369287,0.7268752102253616,0.8374346056965704
level 1,2.0,0.9753199268738574,0.7243720298710116,0.831320607713284
level 1,3.0,0.976691042047532,0.7246524245506951,0.8320031146583609
level 1,4.0,0.9629798903107861,0.7218225419664268,0.8251419620129233
level 1,5.0,0.9926873857404022,0.7278820375335121,0.839907192575406
level 1,6.0,0.9876599634369287,0.7268752102253616,0.8374346056965704
level 1,7.0,0.9812614259597806,0.725582967218655,0.8342723916844764
level 1,8.0,0.9616087751371115,0.7215363511659808,0.8244514106583072
level 1,9.0,0.9995429616087751,0.729243081027009,0.8432620011567379
level 1,10.0,0.9995429616087751,0.729243081027009,0.8432620011567379
level 1,11.0,0.9908592321755028,0.72751677852349,0.8390092879256965
level 1,12.0,0.9753199268738574,0.7243720298710116,0.831320607713284
level 1,13.0,0.9995429616087751,0.729243081027009,0.8432620011567379
level 1,14.0,0.9972577696526508,0.7287909151636607,0.8421458896179081
level 1,15.0,0.9917733089579525,0.7276995305164319,0.839458413926499
level 1,16.0,0.9721206581352834,0.7237155495066349,0.8297249853715624
level 1,17.0,0.9890310786106032,0.7271505376344086,0.8381099922540667
level 1,18.0,0.9849177330895795,0.7263228850690934,0.8360814742967992
level 1,19.0,0.9748628884826326,0.7242784380305602,0.831092928112215
level 1,20.0,0.9570383912248629,0.7205781142463867,0.8221436984687867
level 2,0.0,0.9722666666666666,0.6183853459972863,0.7559610201119635
level 2,1.0,0.9765333333333334,0.6194181326116374,0.7580211136410682
level 2,2.0,0.9610666666666666,0.6156474205671336,0.7505206164098294
level 2,3.0,0.9546666666666667,0.614065180102916,0.7473903966597079
level 2,4.0,0.9370666666666667,0.609646079111728,0.7387008618877443
level 2,5.0,0.9914666666666667,0.6229892761394102,0.765178020168759
level 2,6.0,0.9808,0.6204453441295547,0.7600743955362678
level 2,7.0,0.976,0.6192893401015228,0.7577639751552795
level 2,8.0,0.9562666666666667,0.6144619602467444,0.7481744210306697
level 2,9.0,0.9989333333333333,0.624749833222148,0.7687256310281141
level 2,10.0,0.9973333333333333,0.6243739565943238,0.7679671457905544
level 2,11.0,0.9904,0.6227364185110664,0.7646695491043853
level 2,12.0,0.9749333333333333,0.6190314933965458,0.7572493786246893
level 2,13.0,1.0,0.625,0.7692307692307693
level 2,14.0,0.9984,0.6246246246246246,0.768472906403941
level 2,15.0,0.9898666666666667,0.622609862462261,0.7644151565074134
level 2,16.0,0.9664,0.616956077630235,0.7531172069825438
level 2,17.0,0.9872,0.6219758064516129,0.7631416202844774
level 2,18.0,0.9834666666666667,0.6210845402492422,0.7613542526837326
level 2,19.0,0.9664,0.616956077630235,0.7531172069825438
level 2,20.0,0.9482666666666667,0.6124698587667929,0.7442444537463374
level 3,0.0,0.9599491417673236,0.5141300646918624,0.6696230598669624
level 3,1.0,0.972027972027972,0.5172530446549392,0.6752042393464341
level 3,2.0,0.954227590591227,0.512636612021858,0.6669628971339703
level 3,3.0,0.9396058486967578,0.5087779690189329,0.6601161232693167
level 3,4.0,0.8893833439287985,0.49504600141542815,0.63605364855649
level 3,5.0,0.9866497139224412,0.5209801946962068,0.6818980667838314
level 3,6.0,0.9847425301970757,0.520497311827957,0.6810287975379203
level 3,7.0,0.9707565162110616,0.516926201760325,0.6746189529489728
level 3,8.0,0.9485060394151303,0.5111339499828709,0.6642920747996438
level 3,9.0,0.9993642720915448,0.5241747249083027,0.6876640419947506
level 3,10.0,0.9968213604577241,0.5235392320534223,0.6865148861646234
level 3,11.0,0.9910998092816274,0.5221031480241125,0.6839219127001536
level 3,12.0,0.9764780673871583,0.518393520080999,0.6772486772486772
level 3,13.0,0.9993642720915448,0.5241747249083027,0.6876640419947506
level 3,14.0,0.9993642720915448,0.5241747249083027,0.6876640419947506
level 3,15.0,0.9866497139224412,0.5209801946962068,0.6818980667838314
level 3,16.0,0.9631277813095995,0.5149558123725357,0.6710963455149502
level 3,17.0,0.9910998092816274,0.5221031480241125,0.6839219127001536
level 3,18.0,0.9866497139224412,0.5209801946962068,0.6818980667838314
level 3,19.0,0.9713922441195169,0.5170896785109983,0.6749116607773851
level 3,20.0,0.951048951048951,0.5118029421826891,0.6654804270462633
level 4,0.0,0.9656406585540444,0.4569783197831978,0.6203724994251552
level 4,1.0,0.9570508231925555,0.45476190476190476,0.616555222504035
level 4,2.0,0.9355762347888332,0.4491408934707904,0.6069189691200372
level 4,3.0,0.9298496778811739,0.4476223294279807,0.6043265875785065
level 4,4.0,0.8554044380816035,0.4270907791279485,0.569725864123957
level 4,5.0,0.9906943450250537,0.4633411449614998,0.6313868613138686
level 4,6.0,0.9835361488904796,0.46153846153846156,0.6282578875171468
level 4,7.0,0.9699355762347889,0.45807978363759294,0.6222732491389207
level 4,8.0,0.9434502505368647,0.4512153372132831,0.6104678091709124
level 4,9.0,1.0,0.4656666666666667,0.6354332499431431
level 4,10.0,0.9985683607730852,0.46531020680453633,0.6348122866894198
level 4,11.0,0.9899785254115963,0.46316141995981247,0.6310746064339494
level 4,12.0,0.9792412312097352,0.4604510265903736,0.6263736263736264
level 4,13.0,0.9992841803865425,0.46548849616538845,0.6351228389444951
level 4,14.0,0.9985683607730852,0.46531020680453633,0.6348122866894198
level 4,15.0,0.984251968503937,0.46171927468099394,0.6285714285714286
level 4,16.0,0.9549033643521833,0.4542049710589036,0.615597600369174
level 4,17.0,0.9863994273443092,0.4622609862462261,0.6295111923252626
level 4,18.0,0.9785254115962777,0.4602693602693603,0.6260590794595833
level 4,19.0,0.9663564781675018,0.4571622079241449,0.6206896551724138
level 4,20.0,0.945597709377237,0.4517783857729138,0.6114325387641749
level 5,0.0,0.9650406504065041,0.40142035847142377,0.5669930737998568
level 5,1.0,0.9585365853658536,0.3997965412004069,0.5642498205312275
level 5,2.0,0.926829268292683,0.3917525773195876,0.5507246376811594
level 5,3.0,0.916260162601626,0.38902312737314465,0.546159437848316
level 5,4.0,0.7983739837398374,0.35683139534883723,0.4932194876946258
level 5,5.0,0.9869918699186991,0.40683646112600536,0.5761746559088752
level 5,6.0,0.9796747967479674,0.4050420168067227,0.5731272294887039
level 5,7.0,0.9682926829268292,0.4022289766970618,0.5683607730851825
level 5,8.0,0.9471544715447154,0.3969335604770017,0.5594237695078031
level 5,9.0,0.9991869918699187,0.40980326775591863,0.5812248758571766
level 5,10.0,0.9967479674796748,0.40921228304405877,0.5802176999526739
level 5,11.0,0.9853658536585366,0.40643863179074446,0.5754985754985754
level 5,12.0,0.9723577235772358,0.40323668240053945,0.5700667302192564
level 5,13.0,0.9983739837398374,0.409606404269513,0.5808893093661306
level 5,14.0,0.9975609756097561,0.4094094094094094,0.5805535841022001
level 5,15.0,0.9910569105691057,0.40782870525259285,0.5778620526191042
level 5,16.0,0.9666666666666667,0.4018249408583981,0.5676772499403199
level 5,17.0,0.9853658536585366,0.40643863179074446,0.5754985754985754
level 5,18.0,0.9804878048780488,0.40524193548387094,0.5734664764621967
level 5,19.0,0.967479674796748,0.40202702702702703,0.568019093078759
level 5,20.0,0.9479674796747968,0.3971389645776567,0.5597695631301008
level 6,0.0,0.9522700814901047,0.2764447448462318,0.42849659507595594
level 6,1.0,0.9429569266589057,0.27448322602507624,0.4251968503937008
level 6,2.0,0.9185098952270081,0.2692832764505119,0.41646872525732376
level 6,3.0,0.8882421420256111,0.2627410468319559,0.4055275046505448
level 6,4.0,0.770663562281723,0.2361755262219051,0.3615510649918078
level 6,5.0,0.9767171129220024,0.2815436241610738,0.4370929929669184
level 6,6.0,0.9732246798603027,0.28081961706415853,0.4358706986444213
level 6,7.0,0.9522700814901047,0.2764447448462318,0.42849659507595594
level 6,8.0,0.9091967403958091,0.2672826830937714,0.41311822269240944
level 6,9.0,0.9976717112922002,0.2858572381587725,0.44438682914182004
level 6,10.0,0.9953434225844005,0.28538050734312415,0.44357976653696496
level 6,11.0,0.9778812572759022,0.28178463602817844,0.43749999999999994
level 6,12.0,0.9627473806752037,0.2786388140161725,0.432192317742357
level 6,13.0,0.9988358556461001,0.28609536512170725,0.4447900466562986
level 6,14.0,1.0,0.28633333333333333,0.44519305519564656
level 6,15.0,0.9860302677532014,0.28346720214190096,0.4403431245126073
level 6,16.0,0.9604190919674039,0.27815239379635875,0.43137254901960786
level 6,17.0,0.989522700814901,0.2841858910063524,0.44155844155844154
level 6,18.0,0.9837019790454016,0.282987273945077,0.4395318595578673
level 6,19.0,0.969732246798603,0.2800941492938803,0.43464649099921737
level 6,20.0,0.9511059371362048,0.2762001352265044,0.4280848834162955
level 7,0.0,0.9553571428571429,0.21616161616161617,0.3525535420098847
level 7,1.0,0.9300595238095238,0.2116491703352523,0.3448275862068966
level 7,2.0,0.8839285714285714,0.2032854209445585,0.33055091819699495
level 7,3.0,0.8690476190476191,0.20054945054945056,0.3258928571428572
level 7,4.0,0.7232142857142857,0.17270788912579957,0.27882960413080893
level 7,5.0,0.9732142857142857,0.2193158953722334,0.35796387520525447
level 7,6.0,0.9732142857142857,0.2193158953722334,0.35796387520525447
level 7,7.0,0.9449404761904762,0.2143098211272359,0.3493810178817056
level 7,8.0,0.8869047619047619,0.20383036935704515,0.33147942157953286
level 7,9.0,0.9955357142857143,0.22322322322322322,0.36467702371218313
level 7,10.0,0.9985119047619048,0.2237412470823608,0.3655679651321166
level 7,11.0,0.9776785714285714,0.2201005025125628,0.3593109105824446
level 7,12.0,0.9568452380952381,0.21642544597778526,0.35300576447982435
level 7,13.0,0.9985119047619048,0.2237412470823608,0.3655679651321166
level 7,14.0,0.9985119047619048,0.2237412470823608,0.3655679651321166
level 7,15.0,0.9910714285714286,0.22244488977955912,0.36333878887070375
level 7,16.0,0.9732142857142857,0.2193158953722334,0.35796387520525447
level 7,17.0,0.9851190476190477,0.2214046822742475,0.3615510649918078
level 7,18.0,0.9806547619047619,0.22062269835955808,0.36020770702377697
level 7,19.0,0.9672619047619048,0.2182672934855608,0.3561643835616438
level 7,20.0,0.9508928571428571,0.21536905965621841,0.35119538334707334
level 8,0.0,0.9646017699115044,0.18288590604026847,0.30747531734837796
level 8,1.0,0.9415929203539823,0.1793056959892147,0.3012457531143828
level 8,2.0,0.8761061946902655,0.1689419795221843,0.2832618025751073
level 8,3.0,0.8353982300884956,0.16236670106639148,0.27188940092165903
level 8,4.0,0.6761061946902654,0.13560525381611643,0.22590183323477234
level 8,5.0,0.9716814159292035,0.18398123324396784,0.30938292476754015
level 8,6.0,0.9628318584070796,0.18261161463578382,0.30699774266365687
level 8,7.0,0.9380530973451328,0.178752107925801,0.30028328611898014
level 8,8.0,0.8584070796460177,0.1660958904109589,0.27833572453371597
level 8,9.0,0.9929203539823008,0.18724966622162884,0.3150800336983993
level 8,10.0,0.9946902654867257,0.18752085418752085,0.31555306007860745
level 8,11.0,0.9663716814159292,0.183160013418316,0.3079526226734349
level 8,12.0,0.9469026548672567,0.18013468013468015,0.30268741159830265
level 8,13.0,0.9982300884955753,0.18806268756252084,0.3164983164983165
level 8,14.0,1.0,0.18833333333333332,0.3169705469845722
level 8,15.0,0.984070796460177,0.1858910063523905,0.312710911136108
level 8,16.0,0.952212389380531,0.18096199125462495,0.30412662521198414
level 8,17.0,0.984070796460177,0.1858910063523905,0.312710911136108
level 8,18.0,0.9876106194690265,0.18643501503508186,0.3136593591905565
level 8,19.0,0.9752212389380531,0.18452779638312122,0.31033511686848775
level 8,20.0,0.952212389380531,0.18096199125462495,0.30412662521198414
level 9,0.0,0.9655831739961759,0.16934942991281018,0.28815977175463625
level 9,1.0,0.9369024856596558,0.1651499831479609,0.2808022922636103
level 9,2.0,0.8718929254302104,0.15547221275144904,0.26388888888888895
level 9,3.0,0.8432122370936902,0.1511309115832762,0.2563208369659983
level 9,4.0,0.6806883365200764,0.12566184256971408,0.21215733015494637
level 9,5.0,0.9636711281070746,0.16907078161690708,0.2876712328767123
level 9,6.0,0.9598470363288719,0.16851292379993285,0.28669331810394055
level 9,7.0,0.9139579349904398,0.16175972927241963,0.2748706152961472
level 9,8.0,0.7896749521988528,0.14290657439446366,0.24201582185760329
level 9,9.0,0.9980879541108987,0.17405801933977993,0.29642248722316866
level 9,10.0,0.994263862332696,0.17350684017350684,0.2954545454545454
level 9,11.0,0.9655831739961759,0.16934942991281018,0.28815977175463625
level 9,12.0,0.9349904397705545,0.16486850977747808,0.2803095442820292
level 9,13.0,0.994263862332696,0.17350684017350684,0.2954545454545454
level 9,14.0,0.994263862332696,0.17350684017350684,0.2954545454545454
level 9,15.0,0.988527724665392,0.17267869071476286,0.2940005686664771
level 9,16.0,0.9617590822179732,0.16879194630872482,0.28718241507279474
level 9,17.0,0.9847036328871893,0.17212566844919786,0.29302987197724045
level 9,18.0,0.9770554493307839,0.17101740294511378,0.29108516092281406
level 9,19.0,0.9636711281070746,0.16907078161690708,0.2876712328767123
level 9,20.0,0.9464627151051626,0.16655450874831762,0.2832618025751073
level 10,0.0,0.9259259259259259,0.10928043039677203,0.1954887218045113
level 10,1.0,0.8518518518518519,0.1014246947082768,0.18126705062140042
level 10,2.0,0.7635327635327636,0.09187521426122729,0.16401468788249696
level 10,3.0,0.7720797720797721,0.09280821917808219,0.16569856313054113
level 10,4.0,0.6125356125356125,0.07506983240223464,0.13374805598755832
level 10,5.0,0.9202279202279202,0.10868102288021535,0.1944026482094493
level 10,6.0,0.9202279202279202,0.10868102288021535,0.1944026482094493
level 10,7.0,0.8746438746438746,0.10385656292286874,0.18566676746295735
level 10,8.0,0.7635327635327636,0.09187521426122729,0.16401468788249696
level 10,9.0,0.98005698005698,0.11493484797861678,0.2057416267942584
level 10,10.0,0.9772079772079773,0.11463903743315508,0.20520490577325753
level 10,11.0,0.9572649572649573,0.11256281407035176,0.20143884892086333
level 10,12.0,0.9230769230769231,0.10898082744702321,0.19494584837545129
level 10,13.0,0.9971509971509972,0.11670556852284095,0.208955223880597
level 10,14.0,0.9914529914529915,0.11611611611611612,0.2078853046594982
level 10,15.0,0.9715099715099715,0.11404682274247492,0.20413049985034423
level 10,16.0,0.9572649572649573,0.11256281407035176,0.20143884892086333
level 10,17.0,0.98005698005698,0.11493484797861678,0.2057416267942584
level 10,18.0,0.9572649572649573,0.11256281407035176,0.20143884892086333
level 10,19.0,0.9401709401709402,0.1107754279959718,0.1981981981981982
level 10,20.0,0.9202279202279202,0.10868102288021535,0.1944026482094493
level 11,0.0,0.9452554744525548,0.08676716917922948,0.15894446149125496
level 11,1.0,0.8686131386861314,0.08029689608636977,0.14700432365657812
level 11,2.0,0.7664233576642335,0.07152588555858311,0.13084112149532712
level 11,3.0,0.7408759124087592,0.06930693069306931,0.1267561660942866
level 11,4.0,0.5474452554744526,0.0521557719054242,0.09523809523809523
level 11,5.0,0.8613138686131386,0.07967589466576637,0.14585908529048205
level 11,6.0,0.8540145985401459,0.07905405405405405,0.1447124304267161
level 11,7.0,0.8138686131386861,0.0756188538487623,0.13838039094011792
level 11,8.0,0.7116788321167883,0.06675795960287573,0.12206572769953053
level 11,9.0,0.9708029197080292,0.08890374331550802,0.16289038579301898
level 11,10.0,0.9817518248175182,0.08981636060100166,0.16457632303456712
level 11,11.0,0.9379562043795621,0.08615487763995977,0.15781393920786
level 11,12.0,0.8978102189781022,0.08277254374158816,0.15157116451016636
level 11,13.0,0.9781021897810219,0.0895123580494322,0.16401468788249693
level 11,14.0,0.9817518248175182,0.08981636060100166,0.16457632303456712
level 11,15.0,0.9854014598540146,0.09012016021361816,0.1651376146788991
level 11,16.0,0.9598540145985401,0.08798929407828705,0.16120134845234446
level 11,17.0,0.9744525547445255,0.08920815235549616,0.16345270890725436
level 11,18.0,0.9744525547445255,0.08920815235549616,0.16345270890725436
level 11,19.0,0.9598540145985401,0.08798929407828705,0.16120134845234446
level 11,20.0,0.9416058394160584,0.08646112600536193,0.15837937384898712
level 12,0.0,0.9469026548672567,0.07161981258366801,0.1331673926571251
level 12,1.0,0.8495575221238938,0.06473364801078894,0.12030075187969926
level 12,2.0,0.6946902654867256,0.05356533606277721,0.09946151409566044
level 12,3.0,0.6548672566371682,0.05065023956194387,0.0940279542566709
level 12,4.0,0.47345132743362833,0.03713988198542173,0.06887672996459607
level 12,5.0,0.8761061946902655,0.06662180349932706,0.12382739212007506
level 12,6.0,0.8185840707964602,0.0625211220006759,0.11616954474097331
level 12,7.0,0.7610619469026548,0.058384249830278345,0.10844892812105926
level 12,8.0,0.6238938053097345,0.0483704974271012,0.08978032473734479
level 12,9.0,0.9911504424778761,0.07471647765176785,0.13895781637717122
level 12,10.0,0.9823008849557522,0.07409879839786382,0.1378026070763501
level 12,11.0,0.9380530973451328,0.0709979906229069,0.1320049813200498
level 12,12.0,0.8761061946902655,0.06662180349932706,0.12382739212007506
level 12,13.0,0.9867256637168141,0.07440774107440774,0.1383803909401179
level 12,14.0,0.9911504424778761,0.07471647765176785,0.13895781637717122
level 12,15.0,0.9911504424778761,0.07471647765176785,0.13895781637717122
level 12,16.0,0.9601769911504425,0.07255098629220996,0.13490829965806653
level 12,17.0,0.9778761061946902,0.07378964941569283,0.13722446445203354
level 12,18.0,0.9646017699115044,0.07286096256684492,0.13548788067122436
level 12,19.0,0.9469026548672567,0.07161981258366801,0.1331673926571251
level 12,20.0,0.8982300884955752,0.06818945246892845,0.12675616609428658
level 13,0.0,0.9571428571428572,0.06720160481444333,0.12558575445173384
level 13,1.0,0.8666666666666667,0.06123822341857335,0.11439346323067254
level 13,2.0,0.7333333333333333,0.052309782608695655,0.09765377298668358
level 13,3.0,0.6857142857142857,0.049079754601226995,0.09160305343511449
level 13,4.0,0.4380952380952381,0.031922276197085354,0.05950840879689521
level 13,5.0,0.8571428571428571,0.06060606060606061,0.11320754716981131
level 13,6.0,0.7904761904761904,0.05615696887686062,0.10486418193303854
level 13,7.0,0.680952380952381,0.04875554040231844,0.09099586382437161
level 13,8.0,0.5238095238095238,0.03793103448275862,0.0707395498392283
level 13,9.0,0.9904761904761905,0.06937958639092728,0.12967581047381546
level 13,10.0,0.9904761904761905,0.06937958639092728,0.12967581047381546
level 13,11.0,0.9238095238095239,0.06501340482573727,0.12147777082028804
level 13,12.0,0.861904761904762,0.060922248401211715,0.11380069160641307
level 13,13.0,0.9904761904761905,0.06937958639092728,0.12967581047381546
level 13,14.0,0.9904761904761905,0.06937958639092728,0.12967581047381546
level 13,15.0,0.9761904761904762,0.06844741235392321,0.12792511700468018
level 13,16.0,0.9571428571428572,0.06720160481444333,0.12558575445173384
level 13,17.0,0.9666666666666667,0.06782492482459071,0.12675616609428658
level 13,18.0,0.9428571428571428,0.06626506024096386,0.12382739212007506
level 13,19.0,0.9047619047619048,0.06375838926174497,0.11912225705329155
level 13,20.0,0.9047619047619048,0.06375838926174497,0.11912225705329155
