test_case,keypoint,precision,recall,f1_score
diagonal,0.0,0.985,0.0657323990657324,0.12324053800437912
diagonal,1.0,0.985,0.0657323990657324,0.12324053800437912
diagonal,2.0,0.965,0.06448379552288673,0.12088944566238648
diagonal,3.0,0.94,0.06291834002677377,0.11794228356336263
diagonal,4.0,0.89,0.05977165883143049,0.1120201384518565
diagonal,5.0,1.0,0.06666666666666667,0.125
diagonal,6.0,0.98,0.06542056074766354,0.12265331664580725
diagonal,7.0,0.96,0.06417112299465241,0.12030075187969926
diagonal,8.0,0.88,0.05913978494623656,0.11083123425692695
diagonal,9.0,0.99,0.06604402935290193,0.12382739212007506
diagonal,10.0,0.99,0.06604402935290193,0.12382739212007506
diagonal,11.0,0.945,0.06323185011709602,0.11853245531514582
diagonal,12.0,0.9,0.06040268456375839,0.11320754716981132
diagonal,13.0,0.99,0.06604402935290193,0.12382739212007506
diagonal,14.0,0.995,0.06635545181727243,0.1244138793372929
diagonal,15.0,0.945,0.06323185011709602,0.11853245531514582
diagonal,16.0,0.825,0.05564924114671164,0.1042654028436019
diagonal,17.0,0.98,0.06542056074766354,0.12265331664580725
diagonal,18.0,0.955,0.06385824139083919,0.11971168912566595
diagonal,19.0,0.925,0.06197654941373534,0.11616954474097331
diagonal,20.0,0.875,0.058823529411764705,0.11023622047244094
horizontal,0.0,0.9863692688971499,0.26630980260956844,0.4193888303477345
horizontal,1.0,0.9690210656753407,0.26285714285714284,0.4135378106821787
horizontal,2.0,0.9281288723667905,0.2545887151597553,0.3995732195252067
horizontal,3.0,0.9083023543990086,0.25051264524948735,0.39271363514599517
horizontal,4.0,0.8587360594795539,0.24012474012474014,0.3753046303818034
horizontal,5.0,0.9690210656753407,0.26285714285714284,0.4135378106821787
horizontal,6.0,0.952912019826518,0.2596218771100608,0.40806579994693554
horizontal,7.0,0.9330855018587361,0.2556008146639511,0.40127897681854513
horizontal,8.0,0.8835192069392813,0.24535443909153476,0.38405601939132783
horizontal,9.0,0.9752168525402726,0.26409395973154365,0.4156324267229998
horizontal,10.0,0.9801734820322181,0.2650804289544236,0.41730414138749666
horizontal,11.0,0.9677819083023544,0.2626092804303968,0.41311822269240944
horizontal,12.0,0.8971499380421314,0.2482002056907782,0.388829215896885
horizontal,13.0,0.9653035935563816,0.2621130551816958,0.41227838052394816
horizontal,14.0,0.9640644361833953,0.2618646920228879,0.4118581259925887
horizontal,15.0,0.9392812887236679,0.25686208065062693,0.4034060670569452
horizontal,16.0,0.8711276332094176,0.24274861878453038,0.3796921415068863
horizontal,17.0,0.9306071871127634,0.25509510869565216,0.40042655291922147
horizontal,18.0,0.919454770755886,0.25281090289608177,0.39657936932121857
horizontal,19.0,0.8996282527881041,0.24871531346351491,0.3896940418679549
horizontal,20.0,0.8674101610904585,0.24196335983408226,0.3783783783783784
vertical,0.0,0.9739952718676123,0.13783874205419872,0.24150058616647124
vertical,1.0,0.9692671394799054,0.13726146635420153,0.2404692082111437
vertical,2.0,0.91725768321513,0.13086003372681282,0.22904368358913813
vertical,3.0,0.8652482269503546,0.12436289500509684,0.2174688057040998
vertical,4.0,0.8439716312056738,0.12167689161554192,0.21268990169794458
vertical,5.0,0.9408983451536643,0.133781512605042,0.23425544437904647
vertical,6.0,0.9314420803782506,0.13261528105015147,0.23217442545668826
vertical,7.0,0.9243498817966903,0.13173854447439354,0.23061043939840753
vertical,8.0,0.8439716312056738,0.12167689161554192,0.21268990169794458
vertical,9.0,0.9621749408983451,0.1363941018766756,0.23891987085412386
vertical,10.0,0.9929078014184397,0.14014014014014015,0.2456140350877193
vertical,11.0,0.966903073286052,0.13697253851306096,0.23995306541507774
vertical,12.0,0.8747044917257684,0.12555140821174077,0.21958456973293772
vertical,13.0,0.9645390070921985,0.13668341708542714,0.23943661971830987
vertical,14.0,0.9881796690307328,0.13956594323873123,0.2445874780573435
vertical,15.0,0.9385342789598109,0.13349024882313382,0.23373564910214895
vertical,16.0,0.8463356973995272,0.12197614991482113,0.21322215604526504
vertical,17.0,0.9101654846335697,0.1299797434166104,0.22747415066469717
vertical,18.0,0.8865248226950354,0.12703252032520326,0.22222222222222224
vertical,19.0,0.8605200945626478,0.12376742604556273,0.21640903686087992
vertical,20.0,0.8203309692671394,0.11867305061559508,0.2073498655512399
