test_case,keypoint,precision,recall,f1_score
top_5,0.0,0.9336043360433605,0.23348017621145375,0.3735429655733261
top_5,1.0,0.9308943089430894,0.23296032553407936,0.3726606997558991
top_5,2.0,0.924119241192412,0.23165760869565216,0.3704508419337317
top_5,3.0,0.9295392953929539,0.2327001356852103,0.3722192078133478
top_5,4.0,0.9281842818428184,0.2324397692568714,0.37177747625508817
top_5,5.0,0.9823848238482384,0.24271844660194175,0.3892617449664429
top_5,6.0,0.9728997289972899,0.24093959731543624,0.38622915545992464
top_5,7.0,0.9471544715447154,0.23606889564336372,0.3779399837793998
top_5,8.0,0.8766937669376694,0.2224132004125129,0.35481217438990953
top_5,9.0,0.9850948509485095,0.24322515891602542,0.39012610678830156
top_5,10.0,0.9878048780487805,0.24373119358074222,0.3909895414320193
top_5,11.0,0.9742547425474255,0.24119423012411942,0.3866630814735144
top_5,12.0,0.943089430894309,0.23529411764705882,0.3766233766233766
top_5,13.0,0.986449864498645,0.24347826086956523,0.3905579399141631
top_5,14.0,0.986449864498645,0.24347826086956523,0.3905579399141631
top_5,15.0,0.981029810298103,0.24246483590087073,0.38882921589688507
top_5,16.0,0.9349593495934959,0.23373983739837398,0.37398373983739835
top_5,17.0,0.9634146341463414,0.2391523713420787,0.38318512530315274
top_5,18.0,0.9512195121951219,0.23684210526315788,0.3792544570502431
top_5,19.0,0.940379403794038,0.2347767253044655,0.3757444504602057
top_5,20.0,0.9010840108401084,0.22719508028698326,0.36289222373806274
bottom_5,0.0,0.9798125450612833,0.4572678331090175,0.6235375086028906
bottom_5,1.0,0.9718817591925017,0.4552516041877744,0.6200551977920883
bottom_5,2.0,0.9401586157173756,0.4470346246143298,0.6059479553903346
bottom_5,3.0,0.9416005767844268,0.44741349777321,0.6065954482117974
bottom_5,4.0,0.9452054794520548,0.4483584131326949,0.6082115518441197
bottom_5,5.0,0.9776496034607065,0.45671943415291344,0.6225895316804407
bottom_5,6.0,0.9740447007930786,0.4558029689608637,0.6210066651344519
bottom_5,7.0,0.9689978370583994,0.4545147108555969,0.6187845303867403
bottom_5,8.0,0.9134823359769286,0.43993055555555555,0.5938598546988516
bottom_5,9.0,0.9899062725306417,0.4598124581379772,0.627944203064258
bottom_5,10.0,0.9971160778658976,0.4616154873164219,0.6310746064339494
bottom_5,11.0,0.9877433309300648,0.45926919208850153,0.6270022883295194
bottom_5,12.0,0.9372746935832732,0.44627531754205285,0.6046511627906976
bottom_5,13.0,0.9863013698630136,0.45890640724589066,0.6263736263736265
bottom_5,14.0,0.9949531362653208,0.4610758436351487,0.6301369863013698
bottom_5,15.0,0.969718817591925,0.4546991210277214,0.619102416570771
bottom_5,16.0,0.9077144917087239,0.43837047353760444,0.591218595914534
bottom_5,17.0,0.9502523431867339,0.44967587853974755,0.6104678091709125
bottom_5,18.0,0.9452054794520548,0.4483584131326949,0.6082115518441197
bottom_5,19.0,0.912761355443403,0.43973601945119833,0.5935302390998594
bottom_5,20.0,0.852198990627253,0.42289803220035777,0.5652797704447632
