test_case,keypoint,precision,recall,f1_score
filtered_hands_with_objects_results,0.0,0.8934280639431617,0.5258755880815473,0.6620598881210924
filtered_hands_with_objects_results,1.0,0.9049733570159858,0.5290758047767393,0.6677588466579292
filtered_hands_with_objects_results,2.0,0.9227353463587922,0.5339157245632066,0.6764322916666666
filtered_hands_with_objects_results,3.0,0.9094138543516874,0.5302951838425686,0.6699378475629703
filtered_hands_with_objects_results,4.0,0.8676731793960923,0.5185774946921444,0.6491694352159468
filtered_hands_with_objects_results,5.0,0.9564831261101243,0.5428427419354839,0.692604501607717
filtered_hands_with_objects_results,6.0,0.9662522202486679,0.5453634085213033,0.6972124319128484
filtered_hands_with_objects_results,7.0,0.9662522202486679,0.5453634085213033,0.6972124319128484
filtered_hands_with_objects_results,8.0,0.955595026642984,0.5426122037317196,0.6921839819877774
filtered_hands_with_objects_results,9.0,0.9635879218472468,0.5446787148594378,0.6959589480436176
filtered_hands_with_objects_results,10.0,0.977797513321492,0.5483067729083665,0.7026164645820037
filtered_hands_with_objects_results,11.0,0.9742451154529307,0.5474051896207585,0.7009584664536741
filtered_hands_with_objects_results,12.0,0.9369449378330373,0.5377166156982671,0.6832901554404145
filtered_hands_with_objects_results,13.0,0.9591474245115453,0.5435329642677403,0.6938644394474783
filtered_hands_with_objects_results,14.0,0.9635879218472468,0.5446787148594378,0.6959589480436176
filtered_hands_with_objects_results,15.0,0.9316163410301954,0.5362985685071575,0.6807268007787152
filtered_hands_with_objects_results,16.0,0.8960923623445826,0.5266179540709812,0.663379355687048
filtered_hands_with_objects_results,17.0,0.9396092362344582,0.5384223918575064,0.6845681009382076
filtered_hands_with_objects_results,18.0,0.9147424511545293,0.5317501290655653,0.672543258243552
filtered_hands_with_objects_results,19.0,0.8898756660746003,0.5248821372446307,0.6602965403624382
filtered_hands_with_objects_results,20.0,0.8650088809946714,0.5178096757044125,0.6478217492517458
