test_case,keypoint,precision,recall,f1_score
hands_with_objects,0.0,0.8914785142024764,0.5206295193534666,0.6573576799140709
hands_with_objects,1.0,0.9031318281136198,0.5238698774820448,0.6631016042780749
hands_with_objects,2.0,0.9227967953386744,0.5292397660818714,0.6726838332890895
hands_with_objects,3.0,0.911143481427531,0.5260723296888141,0.6670221274326846
hands_with_objects,4.0,0.8725418790968682,0.5152688172043011,0.6479177934018389
hands_with_objects,5.0,0.9577567370721048,0.5384930384930385,0.6893840104849279
hands_with_objects,6.0,0.9664967225054625,0.5407497962510187,0.6934935981186308
hands_with_objects,7.0,0.9672250546249089,0.5409368635437882,0.6938349007314526
hands_with_objects,8.0,0.9570284049526584,0.5383039737812372,0.6890403775563712
hands_with_objects,9.0,0.965768390386016,0.5405625764370159,0.6931521170935702
hands_with_objects,10.0,0.9796067006554989,0.544093851132686,0.6996098829648895
hands_with_objects,11.0,0.9759650400582666,0.543169841913255,0.6979166666666666
hands_with_objects,12.0,0.9410050983248361,0.5341050020669699,0.6814345991561183
hands_with_objects,13.0,0.9621267297887837,0.5396241830065359,0.691442030881968
hands_with_objects,14.0,0.965768390386016,0.5405625764370159,0.6931521170935702
hands_with_objects,15.0,0.9380917698470502,0.5333333333333333,0.6800422386483632
hands_with_objects,16.0,0.9053168244719592,0.5244725738396624,0.6641731231632381
hands_with_objects,17.0,0.9410050983248361,0.5341050020669699,0.6814345991561183
hands_with_objects,18.0,0.9184268026219956,0.5280569514237856,0.670566338739697
hands_with_objects,19.0,0.8973051711580481,0.5222551928783383,0.6602357984994641
hands_with_objects,20.0,0.8747268754552076,0.5158934707903781,0.6490137800594433
