test_case,precision,recall,f1_score
level 1,0.9670525172708578,0.6797511936856465,0.7983405655428926
level 2,0.9608242241487625,0.622320600250647,0.7553834604290963
level 3,0.9538991562290152,0.531935331564123,0.683000250857095
level 4,0.9442492844132189,0.47368077538100056,0.6308812343800935
level 5,0.9395330628514486,0.43064550333599777,0.5905882616136646
level 6,0.9351940968880333,0.3313253012048193,0.4892992026856903
level 7,0.9346597086323114,0.2782290689019062,0.42881013542160257
level 8,0.9438229720643071,0.2487073339669142,0.393676695563488
level 9,0.9476377707046121,0.24426891459275107,0.38841706743067633
level 10,0.9254867939078465,0.15428993845115466,0.26448671505902127
level 11,0.9168288568833528,0.1133116310396254,0.20169554420118171
level 12,0.8978605935127675,0.0833867452890655,0.15260102046800775
level 13,0.8966685488424618,0.07628380650429938,0.14060563130865947
level 14,0.9015483494011102,0.049247562357371974,0.093393457010562
level 15,0.8735279057859703,0.027185951269262026,0.05273081321670324
level 16,0.8077601410934744,0.021923316260590686,0.04268804175598845
level 17,0.7415795586527294,0.020414035648629206,0.0397342750906234
level 18,0.6730769230769231,0.011733154542406973,0.023064250411861612
level 19,0.48932676518883417,0.004753625037885434,0.009415779329520679
level 20,0.48660714285714285,0.005219056739286569,0.010327348524326117
level 21,0.43673469387755104,0.005128942575016777,0.010138816506372293
