test_case,precision,recall,f1_score
level 1,0.9180009704027171,0.6683150830095372,0.7735077677841373
level 2,0.8807387862796834,0.6016582552271089,0.7149282501606339
level 3,0.8277130594727161,0.4965060684075028,0.6206896551724138
level 4,0.7855191256830601,0.42814594192107225,0.5542168674698796
level 5,0.750373692077728,0.3765941485371343,0.5014985014985015
level 6,0.7131857555341675,0.27424130273871206,0.39615076182838815
level 7,0.7031963470319634,0.22481751824817517,0.34070796460176983
level 8,0.6919127086007703,0.19528985507246377,0.30460582085334836
level 9,0.6710353866317169,0.18624954528919607,0.29157175398633256
level 10,0.6700404858299596,0.11667254141698978,0.1987391173821675
level 11,0.7111716621253406,0.09018659295093297,0.16007359705611773
level 12,0.6847826086956522,0.06488156539649846,0.11853245531514582
level 13,0.6284584980237155,0.0547143840330351,0.10066476733143401
level 14,0.7423312883435583,0.04090601757944557,0.0775392502403076
level 15,0.7096774193548387,0.022199798183652877,0.04305283757338552
level 16,0.5679012345679012,0.01551433389544688,0.030203545633617858
level 17,0.4634146341463415,0.012855209742895805,0.0250164581961817
level 18,0.36538461538461536,0.0064037748567576675,0.012586949320967206
level 19,0.10344827586206896,0.0010087424344317419,0.001998001998001998
level 20,0.0625,0.0006734006734006734,0.0013324450366422385
level 21,0.05714285714285714,0.0006740815638692282,0.0013324450366422385
