occlusion_level,keypoint,precision,recall,f1_score
level 0,0.0,0.9982535801606707,0.9542570951585977,0.9757596449300103
level 0,1.0,0.9947607404820119,0.9541038525963149,0.9740082079343366
level 0,2.0,0.9752008382815229,0.9532263571184705,0.9640883977900553
level 0,3.0,0.9710094306671324,0.9530339389784025,0.9619377162629759
level 0,4.0,0.9587844917918268,0.9524635669673838,0.9556135770234988
level 0,5.0,0.9965071603213412,0.954180602006689,0.974884674525884
level 0,6.0,0.991617184771219,0.9539650537634409,0.9724267854084603
level 0,7.0,0.9884736290604261,0.9538254128749579,0.9708404802744426
level 0,8.0,0.9800908138316451,0.9534488617057424,0.9665862900447812
level 0,9.0,1.0,0.9543333333333334,0.9766331229745864
level 0,10.0,0.9996507160321342,0.9543181060353451,0.9764585465711362
level 0,11.0,0.9968564442892072,0.9541959210966232,0.975059788179023
level 0,12.0,0.9923157527069507,0.9539959704499664,0.9727786337955829
level 0,13.0,0.9993014320642682,0.9543028685790527,0.9762839105954615
level 0,14.0,0.9986028641285365,0.9542723631508678,0.9759344598054275
level 0,15.0,0.9933636046105484,0.9540422676954042,0.9733059548254621
level 0,16.0,0.983234369542438,0.9535907859078591,0.9681857265692175
level 0,17.0,0.9895214809640237,0.9538720538720539,0.9713697925595748
level 0,18.0,0.983234369542438,0.9535907859078591,0.9681857265692175
level 0,19.0,0.9734544184421935,0.9531463748290013,0.9631933644375323
level 0,20.0,0.960880195599022,0.9525623268698061,0.9567031820552949
