occlusion_level,precision,recall,f1_score
level 1,0.9793407128933445,0.9103101289372786,0.9435645473677151
level 2,0.9745194704481249,0.8565238558909445,0.9117197419221102
level 3,0.968413496051687,0.7907385697538101,0.8706034204582124
level 4,0.9554720133667503,0.7515936124071761,0.8413580019862434
level 5,0.9427137643378519,0.7189006510610805,0.8157338220781052
level 6,0.9363031233998976,0.6043759915388683,0.7345840196039047
level 7,0.9315818281335523,0.5334103092783505,0.6783863726950429
level 8,0.9308666911494675,0.5007655455129155,0.65120909470439
level 9,0.9272320443730107,0.4847835758184904,0.6366882344030642
level 10,0.8850115109657094,0.36427110867288415,0.5161107970604861
level 11,0.8537449150514477,0.29759442146002935,0.44134637984141317
level 12,0.8302208034051609,0.26089718938621276,0.39702814106152357
level 13,0.8154892726321298,0.262030467094865,0.3966201771352947
level 14,0.80103995621237,0.0951158483085822,0.1700409562262178
level 15,0.7280463516204961,0.06538424013789067,0.119992241237821
level 16,0.6991001124859393,0.06073784510139262,0.11176549925819361
level 17,0.6789321789321789,0.06148317543286508,0.11275537714936194
level 18,0.6249589490968801,0.03076400788903618,0.05864135710213703
level 19,0.6320090166244012,0.036356858041300615,0.06875833422742669
level 20,0.6143838978890526,0.0407462273519022,0.0764239805810421
level 21,0.5916376306620209,0.041589105515822476,0.07771522724152134
