occlusion_level,precision,recall,f1_score
level 1,0.981905104611114,0.925077489345215,0.9526445724545523
level 2,0.9823169033695349,0.910557563242127,0.9450770261219021
level 3,0.9753305594082293,0.8552687056076282,0.9113624385481377
level 4,0.962312093880322,0.8125522053163438,0.8811139132596882
level 5,0.9289524680471183,0.7141972311967457,0.8075408843125379
level 6,0.8971574344023323,0.6283628567052938,0.7390795280554804
level 7,0.8787904648119702,0.5259367711401284,0.6580469257559137
level 8,0.867046818727491,0.4405978343754766,0.5842855698250582
level 9,0.8352586831369858,0.3733533291296716,0.5160408913176615
level 10,0.824088683901768,0.347285685057628,0.4886468591442862
level 11,0.8113072944533619,0.30962428532534714,0.44819941869057583
level 12,0.7908651319247346,0.2549431558258925,0.3855881712301562
level 13,0.759430176565008,0.1911519620221201,0.3054266693564656
level 14,0.7303822937625755,0.14572460859092734,0.2429718875502008
level 15,0.7225794427359985,0.1291838128717325,0.21918195437713767
level 16,0.7057387057387058,0.10535385839036272,0.18333861991406902
level 17,0.6834215167548501,0.08968869343825946,0.15856777493606136
level 18,0.6221942521501993,0.048464844196800604,0.08992511293696753
level 19,0.6019766397124887,0.04377082380610178,0.08160779537149818
level 20,0.5888731730315889,0.04077967872534936,0.0762771382332285
level 21,0.5942355889724311,0.038627588341669246,0.07253981123127992
