occlusion_level,precision,recall,f1_score
level 1,0.9808449043978713,0.9141610792471121,0.9463297151745246
level 2,0.974921000237456,0.8660814253492787,0.9172839294000377
level 3,0.9705796848653991,0.8145310822679809,0.8857347518106811
level 4,0.9601429187457649,0.7657839139193239,0.8520198983217624
level 5,0.9511759516278269,0.7278655052609047,0.8246707212417447
level 6,0.9468373186184345,0.608398036737307,0.7407933002208609
level 7,0.9395290551961298,0.5291588018054986,0.6770125683806004
level 8,0.9376070862832574,0.47491403307679714,0.6304794408877972
level 9,0.9367433414043583,0.4557502576940068,0.6131748390292223
level 10,0.9082349987446648,0.35694903547288964,0.5124845050469277
level 11,0.8873860182370821,0.28821758230909716,0.4351130817094526
level 12,0.8745091532547978,0.2603612652516836,0.40125869156981164
level 13,0.8665374904585755,0.2430220495002223,0.37958795236502996
level 14,0.8931818181818182,0.13308499830680665,0.23165340406719717
level 15,0.8382332643202208,0.0982241055832309,0.17584294876435078
level 16,0.8120567375886525,0.07770614183915847,0.1418395788169712
level 17,0.7784754927612071,0.07229872023327394,0.13230956227858232
level 18,0.6965394853593612,0.0379998063704134,0.07206793665366076
level 19,0.6419753086419753,0.029361942405420668,0.05615550755939525
level 20,0.637057387057387,0.03376421672517837,0.06412954967965954
level 21,0.65534262485482,0.03651335479591672,0.06917265580703987
