occlusion_level,precision,recall,f1_score
level 1,0.9815099890530925,0.9267430029554741,0.9533405879567713
level 2,0.9831709171331813,0.9173894818302002,0.949141799135961
level 3,0.9752366417761306,0.8708730145853951,0.9201049040950308
level 4,0.9657774184855834,0.8195746627029499,0.8866897575457694
level 5,0.9323757051029778,0.711853372727728,0.8073264233991196
level 6,0.9066608238387379,0.629449345908123,0.7430418387502244
level 7,0.8899218194740582,0.5294107698552293,0.6638813187279302
level 8,0.8713640837660795,0.43359229859820975,0.5790488649307004
level 9,0.8499142367066895,0.3507964601769912,0.49661738912553244
level 10,0.8392691645703694,0.3203780450823815,0.4637331284977505
level 11,0.8263989913684414,0.28680578929653316,0.42582644111841284
level 12,0.8067822873830384,0.22653033903410422,0.353737408051008
level 13,0.7751920122887865,0.16801225176035822,0.2761687165665659
level 14,0.7503217503217503,0.1253182975627501,0.21476643194151238
level 15,0.7385553255118472,0.10573550480017126,0.18498725169617264
level 16,0.7316997996609647,0.07750697856641472,0.1401664993800555
level 17,0.718312324929972,0.06683390073463537,0.12228961447327243
level 18,0.6366704161979753,0.027373410069158968,0.052490030603728095
level 19,0.6307359307359307,0.023444414050557548,0.04520843352932963
level 20,0.6247053276756247,0.02130088097228474,0.04119704624951418
level 21,0.6302521008403361,0.021701388888888888,0.04195804195804196
