occlusion_level,keypoint,precision,recall,f1_score
level 1,0.0,0.9964119124506639,0.92876254180602,0.9613986498182447
level 1,1.0,0.9949766774309293,0.9286671131949096,0.9606790230382817
level 1,2.0,0.9723717258701112,0.9271296613068765,0.9492119089316987
level 1,3.0,0.9594546106925009,0.9262209906477312,0.9425449418399717
level 1,4.0,0.9458198780050233,0.9252369252369252,0.93541518807665
level 1,5.0,0.995335486185863,0.9286909943086709,0.9608590232074817
level 1,6.0,0.9860064585575888,0.92806484295846,0.9561586638830898
level 1,7.0,0.9813419447434517,0.9277476255088195,0.9537925021795989
level 1,8.0,0.9759598134194475,0.9273781111489942,0.951048951048951
level 1,9.0,1.0,0.929,0.9631933644375325
level 1,10.0,0.9992823824901328,0.92895263509006,0.9628349178910977
level 1,11.0,0.9971295299605311,0.9288101604278075,0.961758089634885
level 1,12.0,0.9888769285970578,0.9282586729538566,0.9576094510076442
level 1,13.0,0.9989235737351991,0.928928928928929,0.9626556016597511
level 1,14.0,0.9985647649802655,0.9289052069425902,0.9624762234134533
level 1,15.0,0.9928238249013276,0.9285234899328859,0.9595977111149645
level 1,16.0,0.982059562253319,0.9277966101694916,0.9541572250305038
level 1,17.0,0.9863652673125224,0.9280891289669142,0.9563402330840146
level 1,18.0,0.9738069608898458,0.9272292449607106,0.9499474973748687
level 1,19.0,0.964119124506638,0.9265517241379311,0.9449621944786355
level 1,20.0,0.9533548618586294,0.9257839721254355,0.939367155736256
level 2,0.0,0.9962349397590361,0.8849498327759198,0.9373007438894794
level 2,1.0,0.9939759036144579,0.8847184986595175,0.9361702127659575
level 2,2.0,0.9676204819277109,0.8819492107069321,0.9228007181328546
level 2,3.0,0.9525602409638554,0.8803061934585943,0.91500904159132
level 2,4.0,0.9341114457831325,0.8782300884955753,0.9053092501368364
level 2,5.0,0.9943524096385542,0.8847571189279732,0.9363588016309164
level 2,6.0,0.9841867469879518,0.8837052062204191,0.9312433202707515
level 2,7.0,0.9781626506024096,0.8830727396329028,0.9281886387995713
level 2,8.0,0.9661144578313253,0.881786941580756,0.9220265900107796
level 2,9.0,0.9992469879518072,0.885256837891928,0.9388043862752035
level 2,10.0,0.9992469879518072,0.885256837891928,0.9388043862752035
level 2,11.0,0.9962349397590361,0.8849498327759198,0.9373007438894794
level 2,12.0,0.9887048192771084,0.8841750841750842,0.933522929257021
level 2,13.0,0.9988704819277109,0.8852185518852186,0.9386166637183796
level 2,14.0,0.9988704819277109,0.8852185518852186,0.9386166637183796
level 2,15.0,0.9905873493975904,0.8843697478991597,0.9344698987746404
level 2,16.0,0.9800451807228916,0.8832711231761113,0.9291451008388364
level 2,17.0,0.9830572289156626,0.8835871404399324,0.9306718944929602
level 2,18.0,0.9747740963855421,0.8827139447664507,0.9264626945786365
level 2,19.0,0.9615963855421686,0.8812974465148378,0.9196975153042851
level 2,20.0,0.9529367469879518,0.8803478260869565,0.9152052070150064
level 3,0.0,0.9916699722332408,0.8392077878482712,0.9090909090909091
level 3,1.0,0.9920666402221341,0.8392617449664429,0.9092892201417923
level 3,2.0,0.9599365331217771,0.834770610555364,0.8929889298892988
level 3,3.0,0.9448631495438318,0.8325760223698008,0.8851727982162766
level 3,4.0,0.9214597381991273,0.8290506780870807,0.8728160811572422
level 3,5.0,0.9940499801666005,0.8395309882747068,0.9102796948783145
level 3,6.0,0.9837366124553748,0.8381209868198716,0.9051094890510949
level 3,7.0,0.9765965886552955,0.8371302278136689,0.9015012815818382
level 3,8.0,0.9650932169773899,0.8355082417582418,0.8956377691882939
level 3,9.0,1.0,0.8403333333333334,0.9132403550081507
level 3,10.0,0.9996033320111067,0.8402800933644549,0.9130434782608696
level 3,11.0,0.996033320111067,0.8397993311036789,0.9112683723462166
level 3,12.0,0.9896866322887743,0.8389374579690653,0.9080982711555962
level 3,13.0,0.9988099960333201,0.8401735068401736,0.9126495106922798
level 3,14.0,0.9980166600555335,0.8400667779632721,0.9122552574329224
level 3,15.0,0.9900833002776676,0.8389915966386554,0.9082969432314411
level 3,16.0,0.9801666005553352,0.8376271186440678,0.9033083531347103
level 3,17.0,0.9793732645775486,0.837516960651289,0.9029072956664838
level 3,18.0,0.9718365727885759,0.8364629566404916,0.8990825688073395
level 3,19.0,0.9642998809996033,0.8353951890034365,0.8952310808322593
level 3,20.0,0.9508131693772313,0.8334492350486787,0.8882712618121178
level 4,0.0,0.9928929765886287,0.7961783439490446,0.8837209302325582
level 4,1.0,0.9903846153846154,0.7957675512260665,0.8824734587446451
level 4,2.0,0.9469063545150501,0.7883745214061956,0.8603988603988604
level 4,3.0,0.9260033444816054,0.7846262840949345,0.8494726749760307
level 4,4.0,0.8929765886287625,0.7784256559766763,0.8317757009345794
level 4,5.0,0.9908026755852842,0.7958361316319678,0.88268156424581
level 4,6.0,0.9795150501672241,0.7939681463910538,0.8770353733857383
level 4,7.0,0.9698996655518395,0.7923497267759563,0.8721804511278195
level 4,8.0,0.9590301003344481,0.7904893177119228,0.8666414809217983
level 4,9.0,0.9991638795986622,0.7971981320880587,0.8868274582560296
level 4,10.0,0.9974916387959866,0.7969271877087508,0.8860007426661716
level 4,11.0,0.9941471571906354,0.796383121232418,0.8843436221643732
level 4,12.0,0.987876254180602,0.7953550992931673,0.8812231959724036
level 4,13.0,0.9970735785953178,0.7968593384563982,0.8857938718662952
