occlusion_level,keypoint,precision,recall,f1_score
level 1,0.0,0.9963885879378838,0.922742474916388,0.9581524570237888
level 1,1.0,0.9945828819068255,0.9226130653266331,0.957247132429614
level 1,2.0,0.9700252798844348,0.9208090503942407,0.9447766443897292
level 1,3.0,0.9606356085229325,0.9200968523002422,0.9399293286219081
level 1,4.0,0.9469122426868906,0.9190325972660357,0.9327641408751334
level 1,5.0,0.9949440231130372,0.9226389819156061,0.9574283231972198
level 1,6.0,0.9848320693391116,0.9219066937119675,0.9523310633839708
level 1,7.0,0.980498374864572,0.9215885947046843,0.9501312335958005
level 1,8.0,0.9732755507403394,0.9210526315789473,0.9464442493415276
level 1,9.0,1.0,0.923,0.9599583983359334
level 1,10.0,0.9989165763813651,0.9229229229229229,0.959417273673257
level 1,11.0,0.9963885879378838,0.922742474916388,0.9581524570237888
level 1,12.0,0.9880823401950163,0.9221435793731041,0.9539748953974895
level 1,13.0,0.997110870350307,0.9227941176470589,0.9585141468495053
level 1,14.0,0.9981942939689419,0.9228714524207011,0.9590562109646079
level 1,15.0,0.9906103286384976,0.9223268325487559,0.9552498694062337
level 1,16.0,0.9790538100397256,0.9214819850441877,0.9493959026440204
level 1,17.0,0.986276634163958,0.9220121539500338,0.9530622927935788
level 1,18.0,0.9732755507403394,0.9210526315789473,0.9464442493415276
level 1,19.0,0.9631635969664138,0.9202898550724637,0.9412387506617257
level 1,20.0,0.9512459371614301,0.9193717277486911,0.9350372736954207
level 2,0.0,0.9963583394027676,0.9150501672240803,0.9539748953974896
level 2,1.0,0.9945375091041515,0.9149078726968174,0.9530622927935788
level 2,2.0,0.9705025491624181,0.9129838985954094,0.940864960282436
level 2,3.0,0.961034231609614,0.9122018665744901,0.9359815570136548
level 2,4.0,0.9461034231609614,0.9109396914446003,0.9281886387995713
level 2,5.0,0.9934450109249818,0.914822266934943,0.952513966480447
level 2,6.0,0.9836125273124545,0.9140439932318105,0.9475530608665147
level 2,7.0,0.9792425345957757,0.9136935100237853,0.9453330989629108
level 2,8.0,0.973415877640204,0.9132217287324906,0.9423585404547858
level 2,9.0,1.0,0.9153333333333333,0.9557953358858337
level 2,10.0,0.9996358339402768,0.9153051017005669,0.9556135770234987
level 2,11.0,0.9959941733430444,0.9150217464034794,0.953792502179599
level 2,12.0,0.9883466860888566,0.9144204851752021,0.9499474973748686
level 2,13.0,0.9992716678805535,0.9152768512341561,0.9554317548746517
level 2,14.0,0.9985433357611071,0.9152202937249666,0.9550679205851619
level 2,15.0,0.9901675163874727,0.9145644130507904,0.9508655359328553
level 2,16.0,0.9810633648943918,0.9138398914518318,0.946259220231823
level 2,17.0,0.9854333576110706,0.9141891891891892,0.9484752891692955
level 2,18.0,0.9763292061179898,0.913458262350937,0.9438479140996302
level 2,19.0,0.9650400582665696,0.912534435261708,0.9380530973451328
level 2,20.0,0.953386744355426,0.9115598885793872,0.932004271982912
level 3,0.0,0.9836997725549659,0.877578626986811,0.9276139410187667
level 3,1.0,0.9893858984078847,0.8781965006729475,0.93048128342246
level 3,2.0,0.9613343442001516,0.8750862663906143,0.916184971098266
level 3,3.0,0.9495830174374527,0.8737356121381235,0.9100817438692098
level 3,4.0,0.9313874147081123,0.8715856686768357,0.9004947773501925
level 3,5.0,0.9901440485216073,0.8782784129119031,0.9308624376336423
level 3,6.0,0.9757391963608795,0.8767029972752044,0.9235737351991389
level 3,7.0,0.969294920394238,0.8759849263446385,0.9202807270109772
level 3,8.0,0.9609552691432903,0.875043148084225,0.9159891598915989
level 3,9.0,0.9992418498862775,0.8792528352234823,0.93541518807665
level 3,10.0,0.9988627748294162,0.8792125458792125,0.935226264418811
level 3,11.0,0.9965883244882486,0.8789702440655299,0.9340913128441997
level 3,12.0,0.9844579226686884,0.8776613720851639,0.9279971413257101
level 3,13.0,0.9984836997725549,0.8791722296395194,0.9350372736954207
level 3,14.0,0.9962092494313874,0.8789297658862876,0.9339019189765457
level 3,15.0,0.9886277482941622,0.8781144781144781,0.9300998573466477
level 3,16.0,0.9742228961334344,0.8765347885402456,0.9228007181328546
level 3,17.0,0.9734647460197119,0.8764505119453925,0.9224137931034483
level 3,18.0,0.9655041698256255,0.8755586112066002,0.9183342347214711
level 3,19.0,0.9583017437452616,0.8747404844290657,0.9146164978292329
level 3,20.0,0.9476876421531463,0.8735150244584207,0.9090909090909091
level 4,0.0,0.9789264413518887,0.835425856803529,0.9015012815818382
level 4,1.0,0.9777335984095428,0.8352581521739131,0.900897600293094
level 4,2.0,0.9371769383697813,0.8293455313159747,0.8799701325368676
level 4,3.0,0.9192842942345925,0.8265999284948159,0.8704819277108434
level 4,4.0,0.8862823061630218,0.8212969786293294,0.8525530694205393
level 4,5.0,0.984493041749503,0.8362039851401554,0.9043097151205259
level 4,6.0,0.9705765407554672,0.8342447026657553,0.8972615328064695
level 4,7.0,0.9606361829025845,0.8328162702516374,0.8921713441654356
level 4,8.0,0.947117296222664,0.8308336239972096,0.8851727982162764
level 4,9.0,0.9988071570576541,0.8381715048381715,0.9114658925979681
level 4,10.0,0.9988071570576541,0.8381715048381715,0.9114658925979681
level 4,11.0,0.9964214711729622,0.837846873955199,0.9102796948783145
level 4,12.0,0.9880715705765407,0.8367003367003367,0.9061075660893345
level 4,13.0,0.9980119284294234,0.8380634390651085,0.911070780399274
level 4,14.0,0.9956262425447316,0.8377383740381399,0.9098837209302327
level 4,15.0,0.988469184890656,0.8367553012453719,0.9063069631790012
level 4,16.0,0.9745526838966203,0.8348092643051771,0.899284534947716
level 4,17.0,0.9701789264413518,0.8341880341880342,0.8970588235294117
level 4,18.0,0.957455268389662,0.832353957829243,0.8905325443786982
level 4,19.0,0.9435387673956263,0.8303009097270819,0.8833054159687325
level 4,20.0,0.9308151093439364,0.8283793347487615,0.8766148661299382
level 5,0.0,0.9626865671641791,0.7523156089193825,0.8445984979780474
level 5,1.0,0.9552238805970149,0.7508626639061422,0.8408037094281299
level 5,2.0,0.8533801580333626,0.7291822955738935,0.7864077669902914
level 5,3.0,0.800702370500439,0.7164179104477612,0.7562189054726368
level 5,4.0,0.6949078138718174,0.6867678958785249,0.6908138773728999
level 5,5.0,0.9626865671641791,0.7523156089193825,0.8445984979780474
level 5,6.0,0.9376646180860404,0.7473757872638208,0.8317757009345795
level 5,7.0,0.9183494293239683,0.7434257285003554,0.821681068342498
level 5,8.0,0.9012291483757682,0.7398198198198198,0.8125865822283791
level 5,9.0,0.9969271290605795,0.7587704644169729,0.8616960728514512
level 5,10.0,0.9960491659350307,0.7586091608157807,0.8612639969633706
level 5,11.0,0.9916593503072871,0.75779939617578,0.8590986879634912
level 5,12.0,0.9811237928007024,0.7558336151504904,0.853868194842407
level 5,13.0,0.995171202809482,0.7584476413516226,0.8608315929371559
level 5,14.0,0.9934152765583846,0.7581239530988275,0.8599657989739693
level 5,15.0,0.985513608428446,0.7566565554432086,0.8560533841754052
level 5,16.0,0.9666374012291484,0.753077975376197,0.8465974625144176
level 5,17.0,0.9381035996488147,0.7474641483036026,0.832003114658361
level 5,18.0,0.9157155399473222,0.7428774928774928,0.8202909948879277
level 5,19.0,0.8959613696224759,0.7386898298950416,0.8097599682602659
level 5,20.0,0.8867427568042142,0.7366885485047411,0.8047808764940239
level 6,0.0,0.9545014520813165,0.678596008258775,0.7932421560740144
level 6,1.0,0.9283639883833494,0.6725105189340813,0.779991866612444
level 6,2.0,0.7657308809293321,0.6287758346581876,0.6905281536446967
level 6,3.0,0.6984511132623427,0.6070677324358436,0.6495611073598919
level 6,4.0,0.5856727976766699,0.5643656716417911,0.5748218527315915
level 6,5.0,0.9491771539206195,0.6773747841105354,0.7905664180608747
level 6,6.0,0.9099709583736689,0.668088130774698,0.7704918032786884
level 6,7.0,0.8930300096805421,0.6639078805325657,0.7616099071207431
level 6,8.0,0.8654404646660213,0.65686994856723,0.7468671679197996
level 6,9.0,0.9961277831558567,0.6878342245989305,0.8137603795966786
level 6,10.0,0.995159728944821,0.6876254180602007,0.8132911392405064
level 6,11.0,0.9908034849951597,0.6866823213686682,0.8111749554190608
level 6,12.0,0.9767666989351403,0.6836043360433605,0.8043045037863691
level 6,13.0,0.994675701839303,0.6875209100033456,0.8130563798219584
level 6,14.0,0.9932236205227493,0.6872069658405894,0.8123515439429929
level 6,15.0,0.9816069699903195,0.6846725185685347,0.8066825775656324
level 6,16.0,0.9646660212971926,0.6809019473864024,0.7983176447025837
level 6,17.0,0.9177153920619555,0.669964664310954,0.7745098039215685
level 6,18.0,0.8770571151984511,0.6598689002184996,0.7531172069825438
level 6,19.0,0.8576960309777347,0.6548410938654841,0.7426655490360435
level 6,20.0,0.8455953533397871,0.6516225289071242,0.7360438171476722
level 7,0.0,0.9581920903954803,0.579630895420369,0.7223168654173765
level 7,1.0,0.9163841807909604,0.5687237026647967,0.7018606663781911
