occlusion_level,keypoint,precision,recall,f1_score
level 1,0.0,0.995625227852716,0.9139892904953146,0.9530622927935788
level 1,1.0,0.994166970470288,0.9138739946380697,0.9523310633839707
level 1,2.0,0.968282901932191,0.9117748026089941,0.9391796322489392
level 1,3.0,0.955523149835946,0.9107018763029882,0.9325742750400283
level 1,4.0,0.93437841779074,0.9088652482269504,0.9214452633471147
level 1,5.0,0.993073277433467,0.9137873196913787,0.9517819706498952
level 1,6.0,0.983230040102078,0.9129993229519295,0.9468141126908899
level 1,7.0,0.977032446226759,0.9124957439564181,0.9436619718309859
level 1,8.0,0.9657309515129421,0.9115622849277357,0.9378651088688263
level 1,9.0,1.0,0.9143333333333333,0.9552498694062336
level 1,10.0,0.998906306963179,0.9142475809142476,0.9547038327526133
level 1,11.0,0.994896099161502,0.9139316811788346,0.9526968057252575
level 1,12.0,0.987604812249362,0.9133513149022252,0.9490278507619547
level 1,13.0,0.997812613926358,0.9141616566466266,0.9541572250305037
level 1,14.0,0.997083485235144,0.9141042780748663,0.9537925021795989
level 1,15.0,0.98906306963179,0.9134680134680134,0.9497636968317872
level 1,16.0,0.977397010572366,0.9125255275697753,0.9438479140996303
level 1,17.0,0.981407218374043,0.9128518141742964,0.9458889669711876
level 1,18.0,0.969741159314619,0.911895783339047,0.939929328621908
level 1,19.0,0.956981407218374,0.9108258154059681,0.9333333333333333
level 1,20.0,0.946044476850164,0.9098877980364657,0.9276139410187668
level 2,0.0,0.9938626774069812,0.8682975871313673,0.9268467179395458
level 2,1.0,0.9907940161104718,0.8679435483870968,0.9253089736700698
level 2,2.0,0.9558879938626774,0.8637781629116118,0.9075018208302985
level 2,3.0,0.93632527809743,0.8613267466478476,0.8972615328064695
level 2,4.0,0.9102416570771001,0.8579175704989154,0.8833054159687325
level 2,5.0,0.9923283467587265,0.8681208053691275,0.9260783962770718
level 2,6.0,0.9815880322209436,0.866869918699187,0.9206691851052348
level 2,7.0,0.9735327963176065,0.8659160696008188,0.9165763813651137
level 2,8.0,0.9593402378212504,0.864201796821009,0.9092892201417923
level 2,9.0,0.9992328346758726,0.8689126084056037,0.9295272078501338
level 2,10.0,0.9992328346758726,0.8689126084056037,0.9295272078501338
level 2,11.0,0.9961641733793632,0.868561872909699,0.9279971413257102
level 2,12.0,0.9877253548139624,0.8675876010781671,0.9237668161434978
level 2,13.0,0.9980820866896817,0.8687813021702838,0.9289539450196359
level 2,14.0,0.9980820866896817,0.8687813021702838,0.9289539450196359
level 2,15.0,0.9900268507863444,0.8678547410894418,0.9249238487726213
level 2,16.0,0.982355197545071,0.8669600541638456,0.9210573637834921
level 2,17.0,0.9789029535864979,0.866553480475382,0.9193083573487033
level 2,18.0,0.9662447257383966,0.8650412087912088,0.9128465301685088
level 2,19.0,0.956271576524741,0.8638253638253638,0.9077007099945384
level 2,20.0,0.9462984273110855,0.8625874125874126,0.9025059447594659
level 3,0.0,0.984621778886118,0.7995275059061762,0.8824734587446452
level 3,1.0,0.9900249376558603,0.8004032258064516,0.8851727982162764
level 3,2.0,0.9505403158769742,0.7938215897257896,0.8651409116701343
level 3,3.0,0.9285120532003325,0.78995756718529,0.853649216660298
level 3,4.0,0.8915211970074813,0.7831325301204819,0.8338192419825073
level 3,5.0,0.9929343308395677,0.8008716057660074,0.886620894414548
level 3,6.0,0.9788029925187033,0.7985757884028484,0.8795518207282913
level 3,7.0,0.969243557772236,0.7969924812030075,0.8747186796699173
level 3,8.0,0.9559434746467166,0.7947477539737388,0.8679245283018868
level 3,9.0,0.999168744804655,0.8018679119412941,0.8897113249444856
level 3,10.0,0.9987531172069826,0.8018018018018018,0.889505830094392
level 3,11.0,0.9950124688279302,0.8012048192771084,0.8876529477196886
level 3,12.0,0.9858686616791354,0.7997302764666218,0.8830975428145942
level 3,13.0,0.9962593516209476,0.8014042126379137,0.8882712618121177
level 3,14.0,0.9979218620116376,0.801669449081803,0.8890946121088686
level 3,15.0,0.9921030756442227,0.8007380073800738,0.8862075366623353
level 3,16.0,0.984621778886118,0.7995275059061762,0.8824734587446452
