occlusion_level,keypoint,precision,recall,f1_score
level 1,0.0,0.9964080459770115,0.9277591973244147,0.9608590232074817
level 1,1.0,0.9942528735632183,0.9276139410187667,0.9597780859916781
level 1,2.0,0.9701867816091954,0.9259513198491601,0.9475530608665147
level 1,3.0,0.9594109195402298,0.9251818496709386,0.9419855404690529
level 1,4.0,0.9479166666666666,0.9243432574430823,0.9359815570136549
level 1,5.0,0.9931752873563219,0.9275410935927542,0.9592367736339984
level 1,6.0,0.9834770114942529,0.926878808395396,0.9543394911118857
level 1,7.0,0.9780890804597702,0.9265056141544743,0.9515988118119867
level 1,8.0,0.9701867816091954,0.9259513198491601,0.9475530608665147
level 1,9.0,0.9996408045977011,0.9279759919973325,0.9624762234134533
level 1,10.0,0.9989224137931034,0.9279279279279279,0.9621172807472755
level 1,11.0,0.9974856321839081,0.9278316070831941,0.9613986498182447
level 1,12.0,0.9881465517241379,0.9271991911021233,0.9567031820552947
level 1,13.0,0.9978448275862069,0.9278557114228457,0.9615784008307374
level 1,14.0,0.9971264367816092,0.9278074866310161,0.961218836565097
level 1,15.0,0.990301724137931,0.9273461150353178,0.9577905158936947
level 1,16.0,0.9795258620689655,0.926605504587156,0.9523310633839707
level 1,17.0,0.9845545977011494,0.9269529928982077,0.9548859083783312
level 1,18.0,0.9730603448275862,0.9261538461538461,0.9490278507619548
level 1,19.0,0.9619252873563219,0.9253628196268141,0.9432898908066221
level 1,20.0,0.9500718390804598,0.9245019224047536,0.937112488928255
level 2,0.0,0.9960087082728593,0.9183673469387755,0.9556135770234988
level 2,1.0,0.9945573294629898,0.9182579564489112,0.9548859083783313
level 2,2.0,0.9727866473149492,0.9165811965811966,0.9438479140996303
level 2,3.0,0.9633526850507983,0.9158330458778889,0.9389920424403183
level 2,4.0,0.9488388969521045,0.9146554739419377,0.931433659839715
level 2,5.0,0.9931059506531205,0.9181482723918148,0.9541572250305037
level 2,6.0,0.9840348330914369,0.9174560216508796,0.9495798319327732
level 2,7.0,0.9804063860667634,0.9171758316361168,0.9477376359172222
level 2,8.0,0.9738751814223512,0.9166666666666666,0.944405348346235
level 2,9.0,0.9992743105950653,0.9186124082721815,0.9572471324296141
level 2,10.0,0.9992743105950653,0.9186124082721815,0.9572471324296141
level 2,11.0,0.9967343976777939,0.9184219324640588,0.9559770314946929
level 2,12.0,0.9902031930333817,0.9179280188361923,0.9526968057252574
level 2,13.0,0.9985486211901307,0.9185580774365821,0.9568845618915159
level 2,14.0,0.9970972423802612,0.9184491978609626,0.9561586638830897
level 2,15.0,0.9905660377358491,0.917955615332885,0.9528795811518326
level 2,16.0,0.9807692307692307,0.9172039362063115,0.9479221462388215
level 2,17.0,0.9862119013062409,0.9176232275489534,0.9506820566631689
level 2,18.0,0.9793178519593614,0.9170914033299354,0.947183716441481
level 2,19.0,0.9655297532656023,0.9160068846815834,0.9401165871754107
level 2,20.0,0.9560957910014514,0.91524835012157,0.9352262644188111
level 3,0.0,0.9813048454788249,0.8715689596746865,0.9231873653984207
level 3,1.0,0.9870278519648988,0.8722184760620364,0.9260783962770718
level 3,2.0,0.9603204883632201,0.8691298342541437,0.912452419793366
level 3,3.0,0.947348340328119,0.8675751222921034,0.9057085537114717
level 3,4.0,0.9248378481495613,0.8647877274348912,0.8938053097345132
level 3,5.0,0.9908431896222816,0.8726478494623656,0.9279971413257101
level 3,6.0,0.9732926363983212,0.8706484641638226,0.9191136732120339
level 3,7.0,0.9690957649752003,0.8701610140459062,0.9169675090252708
level 3,8.0,0.9591758870660053,0.8689941237469755,0.911860718171926
level 3,9.0,0.9984738649370469,0.8734979973297731,0.9318141356596048
level 3,10.0,0.9980923311713087,0.8734557595993322,0.9316239316239316
level 3,11.0,0.9950400610454025,0.8731168396384332,0.9300998573466476
level 3,12.0,0.9858832506676841,0.872089098886264,0.9255014326647564
level 3,13.0,0.9977107974055703,0.8734134936539746,0.9314336598397149
level 3,14.0,0.995803128576879,0.8732017397122783,0.93048128342246
level 3,15.0,0.9896985883250667,0.8725193407332661,0.9274222381122632
level 3,16.0,0.9771079740557039,0.8710884353741497,0.9210573637834922
level 3,17.0,0.9763449065242273,0.871000680735194,0.9206691851052348
level 3,18.0,0.9675696299122473,0.8699828473413379,0.9161849710982658
level 3,19.0,0.957268218237314,0.8687673130193906,0.9108731167180978
level 3,20.0,0.9477298740938573,0.8676213761788334,0.9059080962800876
level 4,0.0,0.9672594987873888,0.8198013018156903,0.8874466901539031
level 4,1.0,0.9737267582861763,0.8207836456558774,0.8907376594564616
level 4,2.0,0.9377526273241714,0.8151791988756149,0.8721804511278196
level 4,3.0,0.9175424413904608,0.8118741058655222,0.8614800759013284
level 4,4.0,0.8787388843977365,0.8051851851851852,0.8403556242752223
level 4,5.0,0.9850444624090542,0.8224772190347621,0.8964502482986941
level 4,6.0,0.9692805173807599,0.820109439124487,0.8884772137828826
level 4,7.0,0.9587712206952304,0.8184955141476881,0.8830975428145942
level 4,8.0,0.9482619240097009,0.8168523676880223,0.8776655443322109
level 4,9.0,0.9987873888439773,0.8244911578244911,0.9033083531347103
level 4,10.0,0.9983831851253031,0.8244325767690254,0.903107861060329
level 4,11.0,0.9959579628132579,0.8240802675585285,0.9019033674963397
level 4,12.0,0.986661277283751,0.822716548702393,0.8972615328064694
level 4,13.0,0.9975747776879548,0.824315297261189,0.902706656912948
level 4,14.0,0.9959579628132579,0.8240802675585285,0.9019033674963397
level 4,15.0,0.9890864995957963,0.8230743356878574,0.8984762254451991
level 4,16.0,0.9741309620048505,0.8208446866485014,0.8909426987060999
level 4,17.0,0.973322554567502,0.8207225630538514,0.8905325443786982
level 4,18.0,0.9583670169765561,0.8184328615809459,0.8828895922547012
level 4,19.0,0.9434114793856103,0.8160839160839161,0.875140607424072
level 4,20.0,0.9333063864187551,0.8144620811287479,0.869843661706536
level 5,0.0,0.9540863177226814,0.716551724137931,0.8184324537219378
level 5,1.0,0.9494949494949495,0.7155709342560553,0.8161010260457774
level 5,2.0,0.859504132231405,0.6948775055679287,0.768472906403941
level 5,3.0,0.800734618916437,0.6796570537802027,0.7352445193929174
level 5,4.0,0.6712580348943985,0.6401050788091068,0.6553115194979829
level 5,5.0,0.9738292011019284,0.7206931702344547,0.8283538371411834
level 5,6.0,0.9430670339761249,0.7141863699582753,0.8128215275029679
level 5,7.0,0.9279155188246098,0.7108688005627858,0.8050189205337583
level 5,8.0,0.9081726354453628,0.7064285714285714,0.7946966653274408
level 5,9.0,0.9963269054178145,0.7252673796791443,0.839458413926499
level 5,10.0,0.9963269054178145,0.7252673796791443,0.839458413926499
level 5,11.0,0.9921946740128559,0.7244384847468991,0.8374346056965705
level 5,12.0,0.9811753902662994,0.7222034471105103,0.832003114658361
level 5,13.0,0.9949494949494949,0.7249916359986618,0.8387845945422876
level 5,14.0,0.9935720844811754,0.724715338245144,0.8381099922540667
level 5,15.0,0.9871441689623508,0.7234185733512786,0.8349514563106797
level 5,16.0,0.9696969696969697,0.7198364008179959,0.8262910798122065
level 5,17.0,0.9499540863177227,0.7156693185748876,0.8163345827579405
level 5,18.0,0.9274563820018366,0.7107670654468684,0.804780876494024
level 5,19.0,0.9077134986225895,0.7063236870310825,0.7944544906570222
level 5,20.0,0.8953168044077136,0.7034632034632035,0.787878787878788
level 6,0.0,0.9458077709611452,0.6392536281962682,0.7628865979381444
level 6,1.0,0.918200408997955,0.6323943661971831,0.7489574645537949
level 6,2.0,0.7719836400817995,0.591229444009397,0.6696230598669622
level 6,3.0,0.6866053169734151,0.5626309174696271,0.618466497812572
level 6,4.0,0.5552147239263804,0.5098591549295775,0.5315712187958885
level 6,5.0,0.9596114519427403,0.6425881547415269,0.7697354931310232
level 6,6.0,0.9294478527607362,0.6352201257861635,0.7546699875467
level 6,7.0,0.9069529652351738,0.6295244854506742,0.7431922915793884
level 6,8.0,0.8788343558282209,0.6221498371335505,0.7285441830896378
level 6,9.0,0.9943762781186094,0.6507193041150886,0.7866531850353892
level 6,10.0,0.9959100204498977,0.6510695187165776,0.7873888439773645
level 6,11.0,0.9923312883435583,0.650251256281407,0.7856709168184578
level 6,12.0,0.9754601226993865,0.6463414634146342,0.7775061124694377
level 6,13.0,0.995398773006135,0.6509528585757272,0.787143723468769
level 6,14.0,0.9948875255623721,0.6508361204013378,0.786898503841488
level 6,15.0,0.9841513292433538,0.6483664533512967,0.7817258883248731
level 6,16.0,0.9652351738241309,0.6439290586630286,0.7725040916530279
level 6,17.0,0.9432515337423313,0.6386292834890965,0.7616099071207431
level 6,18.0,0.9023517382413088,0.6283374866500534,0.7408184679958026
level 6,19.0,0.8793456032719836,0.622286541244573,0.7288135593220338
level 6,20.0,0.864519427402863,0.6182815356489945,0.7209550202515455
level 7,0.0,0.9397014925373134,0.5429458433942739,0.6882378662002624
level 7,1.0,0.897910447761194,0.5316366207140333,0.6678507992895205
level 7,2.0,0.7235820895522388,0.4777296018919984,0.5754985754985754
level 7,3.0,0.6304477611940299,0.4435111297774045,0.5207100591715976
level 7,4.0,0.49850746268656715,0.38657407407407407,0.43546284224250326
level 7,5.0,0.9438805970149253,0.5440467997247075,0.6902423051735429
level 7,6.0,0.9020895522388059,0.5327926657263752,0.6699179782753271
level 7,7.0,0.875223880597015,0.5252597635256181,0.6565158978952083
level 7,8.0,0.8346268656716418,0.5134043334557473,0.6357435197817191
level 7,9.0,0.9922388059701492,0.5564111148309341,0.7129987129987131
level 7,10.0,0.9952238805970149,0.5571524064171123,0.7143775444611099
level 7,11.0,0.9886567164179104,0.5555182824555518,0.711340206185567
level 7,12.0,0.9695522388059702,0.5506951508986097,0.7024221453287197
level 7,13.0,0.9928358208955224,0.5565595716198126,0.7132747158481665
level 7,14.0,0.9964179104477612,0.5574482297929192,0.714928250160634
level 7,15.0,0.9826865671641791,0.5540222147425109,0.7085665088247955
level 7,16.0,0.9665671641791045,0.5499320652173914,0.7010175362632605
level 7,17.0,0.9444776119402986,0.5442036463708291,0.6905281536446966
level 7,18.0,0.8967164179104478,0.5313052706048815,0.667258996001777
level 7,19.0,0.866268656716418,0.5226945244956772,0.6519883172320827
level 7,20.0,0.8507462686567164,0.5181818181818182,0.6440677966101696
level 8,0.0,0.9358517462580185,0.4512027491408935,0.6088569441224205
level 8,1.0,0.8816821097647898,0.43648553281580804,0.5839037054519707
level 8,2.0,0.6742694226657163,0.37200157294534014,0.4794728839330967
level 8,3.0,0.5730577334283677,0.33486047480216574,0.4227129337539432
level 8,4.0,0.4354953670705631,0.2767210144927536,0.33841041262808086
level 8,5.0,0.9215965787598004,0.44740484429065747,0.6023759608665269
level 8,6.0,0.8731290092658589,0.4340892983699504,0.5798816568047338
level 8,7.0,0.8474697077690663,0.4267767408470926,0.5676772499403199
level 8,8.0,0.7904490377761939,0.409830007390983,0.5397907033341446
level 8,9.0,0.9893086243763364,0.4649916247906198,0.6326344576116681
level 8,10.0,0.99215965787598,0.46570759451321514,0.6338797814207651
level 8,11.0,0.9807555238774056,0.46283215607130845,0.6288848263254113
level 8,12.0,0.9579472558802566,0.45698741924515474,0.6187845303867404
level 8,13.0,0.9935851746258019,0.4660648612504179,0.6345015930814748
level 8,14.0,0.9964362081254454,0.4667779632721202,0.6357435197817188
level 8,15.0,0.9814682822523164,0.46301277740416946,0.6291980808773132
level 8,16.0,0.9607982893799002,0.4577249575551783,0.6200551977920883
level 8,17.0,0.9415538132573058,0.4527073337902673,0.611432538764175
level 8,18.0,0.8859586600142552,0.4376760563380282,0.5859061984444968
level 8,19.0,0.8524590163934426,0.42821339061940566,0.5700667302192564
level 8,20.0,0.8332145402708482,0.4226319595083153,0.5608059486687456
level 9,0.0,0.9416809605488851,0.37448840381991816,0.5358711566617862
level 9,1.0,0.8584905660377359,0.3530864197530864,0.5003749062734317
level 9,2.0,0.6260720411663808,0.28471138845553823,0.3914209115281502
level 9,3.0,0.5385934819897084,0.2550771730300569,0.34619625137816984
level 9,4.0,0.40222984562607206,0.20364741641337386,0.27039492649178437
level 9,5.0,0.8867924528301887,0.36052998605299863,0.5126425384234011
level 9,6.0,0.8181818181818182,0.34218077474892394,0.4825493171471927
level 9,7.0,0.79073756432247,0.33454281567489114,0.4701682814890362
