test_case,keypoint,precision,recall,f1_score
level 1,0.0,0.9419047619047619,0.6671163575042158,0.7810463968410662
level 1,1.0,0.9352380952380952,0.6655371060657405,0.7776677885567215
level 1,2.0,0.8928571428571429,0.6551362683438156,0.7557436517533254
level 1,3.0,0.8971428571428571,0.6562173458725182,0.7579963789981895
level 1,4.0,0.900952380952381,0.6571726293852032,0.7599919662582848
level 1,5.0,0.9457142857142857,0.6680121089808274,0.7829686575990538
level 1,6.0,0.9447619047619048,0.6677886233591384,0.7824886610136068
level 1,7.0,0.9366666666666666,0.6658767772511849,0.778393351800554
level 1,8.0,0.9076190476190477,0.658831662633944,0.7634688563989586
level 1,9.0,0.9704761904761905,0.6737190082644628,0.7953170731707317
level 1,10.0,0.9676190476190476,0.6730705531632991,0.7939050595819497
level 1,11.0,0.9538095238095238,0.6698996655518394,0.787033398821218
level 1,12.0,0.9023809523809524,0.657529493407356,0.7607386591730229
level 1,13.0,0.9666666666666667,0.6728538283062645,0.7934336525307798
level 1,14.0,0.9571428571428572,0.6706706706706707,0.7886992348440259
level 1,15.0,0.9428571428571428,0.6673407482305359,0.7815275310834814
level 1,16.0,0.9142857142857143,0.6604747162022704,0.7669263031755542
level 1,17.0,0.9438095238095238,0.6675648366453352,0.7820082856579207
level 1,18.0,0.9361904761904762,0.6657636302065696,0.7781515931130021
level 1,19.0,0.9266666666666666,0.6634844868735084,0.7732962447844228
level 1,20.0,0.909047619047619,0.6591850828729282,0.7642113690952763
level 2,0.0,0.8977135980746089,0.5114844017826534,0.6516706704520638
level 2,1.0,0.9133574007220217,0.5158002038735984,0.6592833876221498
level 2,2.0,0.8423586040914561,0.49557522123893805,0.62402496099844
level 2,3.0,0.8604091456077015,0.500875656742557,0.6331636041620544
level 2,4.0,0.8796630565583634,0.5064080360235539,0.6427786326665201
level 2,5.0,0.9247894103489771,0.5189061444969615,0.6647923875432526
level 2,6.0,0.9223826714801444,0.5182555780933062,0.6636363636363636
level 2,7.0,0.9181708784596871,0.5171128431040325,0.661608497723824
level 2,8.0,0.8904933814681107,0.5094664371772806,0.6481278738778191
level 2,9.0,0.9632972322503008,0.5290812954395241,0.6830204778156995
level 2,10.0,0.9566787003610109,0.527363184079602,0.6799230275817832
level 2,11.0,0.9512635379061372,0.5259481037924152,0.6773778920308483
level 2,12.0,0.9061371841155235,0.5138178096212896,0.6557805355976486
level 2,13.0,0.9590854392298436,0.5279894004637297,0.6810510574663533
level 2,14.0,0.9500601684717208,0.5256324900133156,0.6768109729961423
level 2,15.0,0.9380264741275571,0.5224530831099196,0.6711149375807146
level 2,16.0,0.9133574007220217,0.5158002038735984,0.6592833876221498
level 2,17.0,0.9290012033694344,0.5200404176490401,0.6668106240552796
level 2,18.0,0.9265944645006017,0.5193929173693086,0.6656580937972769
level 2,19.0,0.9175691937424789,0.5169491525423728,0.6613183000867303
level 2,20.0,0.8935018050541517,0.5103092783505154,0.6496062992125985
level 3,0.0,0.8764204545454546,0.4236182629591486,0.571164082388336
level 3,1.0,0.8863636363636364,0.4263751281175265,0.5757785467128028
level 3,2.0,0.7954545454545454,0.4001429081814934,0.5324459234608985
level 3,3.0,0.8039772727272727,0.40270366417644965,0.536620052145058
level 3,4.0,0.8125,0.40524264966347856,0.5407705034270859
level 3,5.0,0.9069602272727273,0.43200270635994586,0.5852428964252979
level 3,6.0,0.9048295454545454,0.4314256688113783,0.5842696629213483
level 3,7.0,0.8977272727272727,0.4294937138973836,0.581015858423351
level 3,8.0,0.8707386363636364,0.42203098106712567,0.5685137955019708
level 3,9.0,0.9580965909090909,0.4455085865257596,0.6082055906221822
level 3,10.0,0.9552556818181818,0.44477513227513227,0.6069494584837546
level 3,11.0,0.9474431818181818,0.44274809160305345,0.603483374802081
level 3,12.0,0.90625,0.43181049069373945,0.5849186339674536
level 3,13.0,0.9602272727272727,0.4460574067964368,0.6091462041000224
level 3,14.0,0.9481534090909091,0.4429329794293298,0.6037991858887382
level 3,15.0,0.9346590909090909,0.4393989983305509,0.5977742448330683
level 3,16.0,0.9126420454545454,0.4335357624831309,0.5878316559926807
level 3,17.0,0.9268465909090909,0.43733243967828417,0.5942622950819673
level 3,18.0,0.9268465909090909,0.43733243967828417,0.5942622950819673
level 3,19.0,0.9154829545454546,0.43429919137466305,0.5891224862888483
level 3,20.0,0.8963068181818182,0.4291057463447807,0.5803633019084848
level 4,0.0,0.8594377510040161,0.36744505494505497,0.5147943228289632
level 4,1.0,0.8554216867469879,0.36635706914344685,0.5130057803468209
level 4,2.0,0.7421686746987952,0.33405639913232105,0.4607329842931937
level 4,3.0,0.7357429718875502,0.3321247280638144,0.45765675743192613
level 4,4.0,0.7469879518072289,0.3354978354978355,0.4630321135175504
level 4,5.0,0.8811244979919679,0.37325620959510036,0.5243785850860421
level 4,6.0,0.8827309236947791,0.3736824209452567,0.5250836120401338
level 4,7.0,0.8835341365461847,0.37389530931339227,0.5254358729400527
level 4,8.0,0.8610441767068273,0.3678792038435141,0.5155085357056984
level 4,9.0,0.940562248995984,0.3886491868569532,0.5500234852043212
level 4,10.0,0.9453815261044177,0.38986419344153694,0.5520637898686679
level 4,11.0,0.9389558232931727,0.38824310860179345,0.549342105263158
level 4,12.0,0.8875502008032129,0.37495758398371226,0.5271946564885497
level 4,13.0,0.940562248995984,0.3886491868569532,0.5500234852043212
level 4,14.0,0.9325301204819277,0.3866133866133866,0.5466101694915254
level 4,15.0,0.9253012048192771,0.3847695390781563,0.5435244161358811
level 4,16.0,0.9036144578313253,0.37917087967644086,0.5341880341880342
level 4,17.0,0.9172690763052209,0.3827077747989276,0.5400803972570347
level 4,18.0,0.9132530120481928,0.3816717019133938,0.5383522727272727
level 4,19.0,0.9036144578313253,0.37917087967644086,0.5341880341880342
level 4,20.0,0.8867469879518072,0.37474541751527496,0.5268432355046528
level 5,0.0,0.8802880288028803,0.3310765064319567,0.4811808118081181
level 5,1.0,0.8586858685868587,0.32559726962457336,0.47216035634743875
level 5,2.0,0.7245724572457246,0.28946422150305645,0.4136690647482014
level 5,3.0,0.6993699369936993,0.28223755902651654,0.4021739130434782
level 5,4.0,0.6957695769576958,0.28119316114950893,0.4005181347150259
level 5,5.0,0.8820882088208821,0.33152909336941816,0.48192771084337355
level 5,6.0,0.8766876687668766,0.33016949152542374,0.4796848066978576
level 5,7.0,0.864986498649865,0.3272046305754171,0.474802371541502
level 5,8.0,0.8460846084608461,0.3223593964334705,0.4668487707971195
level 5,9.0,0.9513951395139514,0.3484998351467194,0.5101351351351351
level 5,10.0,0.954995499549955,0.3493579189990122,0.5115718418514947
level 5,11.0,0.9441944194419442,0.34677685950413223,0.5072533849129595
level 5,12.0,0.8901890189018902,0.3335581787521079,0.48527968596663396
level 5,13.0,0.9522952295229523,0.34871456822676333,0.5104945717732208
level 5,14.0,0.9504950495049505,0.3482849604221636,0.5097755249818972
level 5,15.0,0.9414941494149415,0.34612839179351423,0.5061698524074523
level 5,16.0,0.9135913591359136,0.3393513874958208,0.49488054607508525
level 5,17.0,0.9243924392439244,0.341991341991342,0.4992707826932426
level 5,18.0,0.9135913591359136,0.3393513874958208,0.49488054607508525
level 5,19.0,0.9108910891089109,0.3386880856760375,0.493778970480605
level 5,20.0,0.8991899189918992,0.3357983193277311,0.4889867841409692
level 6,0.0,0.827710843373494,0.23335597826086957,0.3640699523052464
level 6,1.0,0.7987951807228916,0.22705479452054794,0.3536
level 6,2.0,0.691566265060241,0.2027552101730837,0.31357552581261944
level 6,3.0,0.6566265060240963,0.19450392576730907,0.3001101321585903
level 6,4.0,0.6783132530120481,0.199645390070922,0.3084931506849315
level 6,5.0,0.8240963855421687,0.23257395443726622,0.36276849642004777
level 6,6.0,0.8457831325301205,0.23724231159175396,0.37054631828978624
level 6,7.0,0.8566265060240964,0.23955525606469003,0.37440758293838866
level 6,8.0,0.8433734939759037,0.2367264119039567,0.36968576709796674
level 6,9.0,0.9024096385542169,0.24916833000665337,0.3905109489051095
level 6,10.0,0.9457831325301205,0.25805391190006577,0.40547520661157027
level 6,11.0,0.9433734939759036,0.2575657894736842,0.4046511627906977
level 6,12.0,0.8975903614457831,0.24816788807461693,0.38883089770354906
level 6,13.0,0.9192771084337349,0.25264900662251655,0.39636363636363636
level 6,14.0,0.9289156626506024,0.2546235138705416,0.3996889580093313
level 6,15.0,0.9240963855421687,0.25363756613756616,0.3980280228334198
level 6,16.0,0.9,0.24866844207723035,0.3896713615023474
level 6,17.0,0.8963855421686747,0.24791736087970676,0.38841033672670316
level 6,18.0,0.9096385542168675,0.25066401062417,0.3930244664237377
level 6,19.0,0.9108433734939759,0.2509127115831397,0.39344262295081966
level 6,20.0,0.9,0.24866844207723035,0.3896713615023474
level 7,0.0,0.8552238805970149,0.19163879598662206,0.31311475409836065
level 7,1.0,0.8208955223880597,0.18537243006403775,0.3024470717624416
level 7,2.0,0.7164179104477612,0.16568864342423195,0.2691337258200168
level 7,3.0,0.6373134328358209,0.15014064697609,0.24302788844621515
level 7,4.0,0.6746268656716418,0.15754618333914255,0.2554393896580955
level 7,5.0,0.8343283582089552,0.18783602150537634,0.30663741086121776
level 7,6.0,0.8477611940298507,0.19028475711892798,0.31080711354309165
level 7,7.0,0.8537313432835821,0.1913683506189361,0.31265373052746653
level 7,8.0,0.8104477611940298,0.18344594594594596,0.2991735537190083
