test_case,precision,recall,f1_score
level 1,0.9595238095238096,0.6712191872085277,0.7898863190905527
level 2,0.9476534296028881,0.525,0.6756756756756757
level 3,0.9318181818181818,0.4386492811768639,0.5964992043646283
level 4,0.8947791164658635,0.37686062246278756,0.5303499166865032
level 5,0.8937893789378938,0.33445604580666893,0.48676470588235293
level 6,0.8578313253012049,0.23981138430447962,0.3748354830218479
level 7,0.8597014925373134,0.192449047778149,0.3144963144963145
level 8,0.8693548387096774,0.1793080505655356,0.2972972972972973
level 9,0.8653846153846154,0.1644518272425249,0.2763819095477387
level 10,0.8245125348189415,0.09788359788359788,0.17499261010937037
level 11,0.7867647058823529,0.0706503796632552,0.12965767949106333
level 12,0.7521008403361344,0.059114927344782034,0.10961420698101652
level 13,0.7511520737327189,0.053742169469172436,0.1003076923076923
level 14,0.6370967741935484,0.025969756738987507,0.04990524320909665
level 15,0.5882352941176471,0.0163826998689384,0.031877590054191905
level 16,0.6266666666666667,0.015364498202026806,0.029993618379068287
level 17,0.5571428571428572,0.012761780104712041,0.02495201535508637
level 18,0.35185185185185186,0.006225425950196592,0.012234385061171924
level 19,0.125,0.0019704433497536944,0.0038797284190106693
level 20,0.05555555555555555,0.0006550933508024893,0.0012949174490126253
level 21,0.07692307692307693,0.000652954619653934,0.0012949174490126253
