test_case,keypoint,precision,recall,f1_score
filtered_naked_hands,0.0,0.9995906672124437,1.0,0.9997952917093142
filtered_naked_hands,1.0,0.9995906672124437,1.0,0.9997952917093142
filtered_naked_hands,2.0,0.9983626688497749,1.0,0.9991806636624334
filtered_naked_hands,3.0,0.9963160049119935,1.0,0.9981546032396965
filtered_naked_hands,4.0,0.9918133442488744,1.0,0.9958898479243732
filtered_naked_hands,5.0,1.0,1.0,1.0
filtered_naked_hands,6.0,0.9991813344248874,1.0,0.9995904995904996
filtered_naked_hands,7.0,0.9987720016373312,1.0,0.9993856235920541
filtered_naked_hands,8.0,0.9963160049119935,1.0,0.9981546032396965
filtered_naked_hands,9.0,1.0,1.0,1.0
filtered_naked_hands,10.0,1.0,1.0,1.0
filtered_naked_hands,11.0,0.9991813344248874,1.0,0.9995904995904996
filtered_naked_hands,12.0,0.9983626688497749,1.0,0.9991806636624334
filtered_naked_hands,13.0,1.0,1.0,1.0
filtered_naked_hands,14.0,1.0,1.0,1.0
filtered_naked_hands,15.0,0.9995906672124437,1.0,0.9997952917093142
filtered_naked_hands,16.0,0.9991813344248874,1.0,0.9995904995904996
filtered_naked_hands,17.0,0.9991813344248874,1.0,0.9995904995904996
filtered_naked_hands,18.0,0.9991813344248874,1.0,0.9995904995904996
filtered_naked_hands,19.0,0.9991813344248874,1.0,0.9995904995904996
filtered_naked_hands,20.0,0.9983626688497749,1.0,0.9991806636624334
