test_case,keypoint,precision,recall,f1_score
thumb,0.0,0.6373333333333333,1.0,0.7785016286644951
thumb,1.0,0.693,1.0,0.8186650915534553
thumb,2.0,0.794,1.0,0.8851727982162765
thumb,3.0,0.6366666666666667,1.0,0.7780040733197556
thumb,4.0,0.444,1.0,0.6149584487534626
thumb,5.0,0.9616666666666667,1.0,0.9804587935429057
thumb,6.0,0.95,1.0,0.9743589743589743
thumb,7.0,0.9573333333333334,1.0,0.9782016348773842
thumb,8.0,0.9373333333333334,1.0,0.9676531314521679
thumb,9.0,0.977,1.0,0.9883662114314619
thumb,10.0,0.9813333333333333,1.0,0.9905787348586811
thumb,11.0,0.9703333333333334,1.0,0.9849433260023684
thumb,12.0,0.96,1.0,0.9795918367346939
thumb,13.0,0.99,1.0,0.9949748743718593
thumb,14.0,0.98,1.0,0.98989898989899
thumb,15.0,0.96,1.0,0.9795918367346939
thumb,16.0,0.942,1.0,0.9701338825952626
thumb,17.0,0.9773333333333334,1.0,0.9885367498314228
thumb,18.0,0.962,1.0,0.9806320081549439
thumb,19.0,0.952,1.0,0.9754098360655737
thumb,20.0,0.9406666666666667,1.0,0.9694263139814497
index_finger,0.0,0.8573333333333333,1.0,0.9231873653984206
index_finger,1.0,0.9196666666666666,1.0,0.9581524570237888
index_finger,2.0,0.943,1.0,0.970663921770458
index_finger,3.0,0.9266666666666666,1.0,0.9619377162629758
index_finger,4.0,0.85,1.0,0.9189189189189189
index_finger,5.0,0.928,1.0,0.9626556016597512
index_finger,6.0,0.8563333333333333,1.0,0.9226072903573352
index_finger,7.0,0.7833333333333333,1.0,0.8785046728971964
index_finger,8.0,0.6553333333333333,1.0,0.7917841320982683
index_finger,9.0,0.949,1.0,0.9738327347357619
index_finger,10.0,0.9266666666666666,1.0,0.9619377162629758
index_finger,11.0,0.8796666666666667,1.0,0.9359815570136549
index_finger,12.0,0.8676666666666667,1.0,0.9291451008388364
index_finger,13.0,0.9676666666666667,1.0,0.983567677452143
index_finger,14.0,0.9443333333333334,1.0,0.9713697925595749
index_finger,15.0,0.934,1.0,0.9658738366080661
index_finger,16.0,0.9213333333333333,1.0,0.9590562109646079
index_finger,17.0,0.9583333333333334,1.0,0.9787234042553191
index_finger,18.0,0.9496666666666667,1.0,0.9741836211318174
index_finger,19.0,0.9423333333333334,1.0,0.970310622962073
index_finger,20.0,0.9323333333333333,1.0,0.9649818871830258
middle_finger,0.0,0.8666666666666667,1.0,0.9285714285714286
middle_finger,1.0,0.9073333333333333,1.0,0.9514155889549109
middle_finger,2.0,0.8496666666666667,1.0,0.918724094431429
middle_finger,3.0,0.843,1.0,0.9148128052088985
middle_finger,4.0,0.8156666666666667,1.0,0.8984762254451992
middle_finger,5.0,0.8583333333333333,1.0,0.9237668161434976
middle_finger,6.0,0.804,1.0,0.8913525498891353
middle_finger,7.0,0.79,1.0,0.8826815642458101
middle_finger,8.0,0.7616666666666667,1.0,0.8647114474929045
middle_finger,9.0,0.927,1.0,0.9621172807472755
middle_finger,10.0,0.8416666666666667,1.0,0.9140271493212669
middle_finger,11.0,0.7396666666666667,1.0,0.8503544740371719
middle_finger,12.0,0.674,1.0,0.8052568697729989
middle_finger,13.0,0.895,1.0,0.9445910290237467
middle_finger,14.0,0.8126666666666666,1.0,0.8966531813166605
middle_finger,15.0,0.7813333333333333,1.0,0.8772455089820359
middle_finger,16.0,0.735,1.0,0.8472622478386168
middle_finger,17.0,0.8016666666666666,1.0,0.8899167437557816
middle_finger,18.0,0.7773333333333333,1.0,0.8747186796699175
middle_finger,19.0,0.7533333333333333,1.0,0.8593155893536121
middle_finger,20.0,0.7243333333333334,1.0,0.8401314517687996
ring_finger,0.0,0.824,1.0,0.9035087719298246
ring_finger,1.0,0.8663333333333333,1.0,0.9283800678692623
ring_finger,2.0,0.8176666666666667,1.0,0.8996882450027507
ring_finger,3.0,0.814,1.0,0.8974641675854464
ring_finger,4.0,0.807,1.0,0.8931931377974545
ring_finger,5.0,0.9513333333333334,1.0,0.975059788179023
ring_finger,6.0,0.929,1.0,0.9631933644375325
ring_finger,7.0,0.9126666666666666,1.0,0.9543394911118858
ring_finger,8.0,0.8753333333333333,1.0,0.933522929257021
ring_finger,9.0,0.9433333333333334,1.0,0.9708404802744426
ring_finger,10.0,0.913,1.0,0.9545216936748563
ring_finger,11.0,0.8476666666666667,1.0,0.9175536712971316
ring_finger,12.0,0.7976666666666666,1.0,0.8874466901539031
ring_finger,13.0,0.882,1.0,0.9373007438894793
ring_finger,14.0,0.828,1.0,0.9059080962800875
ring_finger,15.0,0.7576666666666667,1.0,0.8621278209747772
ring_finger,16.0,0.68,1.0,0.8095238095238095
ring_finger,17.0,0.661,1.0,0.7959060806742926
ring_finger,18.0,0.63,1.0,0.7730061349693252
ring_finger,19.0,0.563,1.0,0.7204094689699295
ring_finger,20.0,0.49833333333333335,1.0,0.6651835372636263
pinky,0.0,0.79,1.0,0.8826815642458101
pinky,1.0,0.8773333333333333,1.0,0.9346590909090909
pinky,2.0,0.9403333333333334,1.0,0.9692492698848996
pinky,3.0,0.94,1.0,0.9690721649484536
pinky,4.0,0.9203333333333333,1.0,0.9585141468495053
pinky,5.0,0.981,1.0,0.9904088844018173
pinky,6.0,0.9773333333333334,1.0,0.9885367498314228
pinky,7.0,0.9693333333333334,1.0,0.984427894380501
pinky,8.0,0.9546666666666667,1.0,0.9768076398362892
pinky,9.0,0.9763333333333334,1.0,0.9880249620509362
pinky,10.0,0.966,1.0,0.982706002034588
pinky,11.0,0.9486666666666667,1.0,0.9736572015053028
