test_case,keypoint,precision,recall,f1_score
level 1,0.0,0.841,1.0,0.9136338946224878
level 1,1.0,0.9413333333333334,1.0,0.9697802197802198
level 1,2.0,0.9896666666666667,1.0,0.9948065002512984
level 1,3.0,0.9886666666666667,1.0,0.9943010392222595
level 1,4.0,0.9796666666666667,1.0,0.9897289105910086
level 1,5.0,0.9976666666666667,1.0,0.9988319706324045
level 1,6.0,0.997,1.0,0.99849774661993
level 1,7.0,0.995,1.0,0.9974937343358395
level 1,8.0,0.9933333333333333,1.0,0.9966555183946488
level 1,9.0,0.9973333333333333,1.0,0.9986648865153538
level 1,10.0,0.998,1.0,0.998998998998999
level 1,11.0,0.997,1.0,0.99849774661993
level 1,12.0,0.997,1.0,0.99849774661993
level 1,13.0,0.9986666666666667,1.0,0.9993328885923949
level 1,14.0,0.998,1.0,0.998998998998999
level 1,15.0,0.998,1.0,0.998998998998999
level 1,16.0,0.9983333333333333,1.0,0.9991659716430359
level 1,17.0,0.9966666666666667,1.0,0.9983305509181971
level 1,18.0,0.9956666666666667,1.0,0.9978286286955069
level 1,19.0,0.9966666666666667,1.0,0.9983305509181971
level 1,20.0,0.9956666666666667,1.0,0.9978286286955069
level 2,0.0,0.603,1.0,0.7523393636930754
level 2,1.0,0.7613333333333333,1.0,0.8644965934897804
level 2,2.0,0.972,1.0,0.9858012170385395
level 2,3.0,0.974,1.0,0.9868287740628165
level 2,4.0,0.9593333333333334,1.0,0.9792446410343655
level 2,5.0,0.993,1.0,0.9964877069744105
level 2,6.0,0.9943333333333333,1.0,0.9971586160788901
level 2,7.0,0.9926666666666667,1.0,0.9963198394111744
level 2,8.0,0.9893333333333333,1.0,0.9946380697050938
level 2,9.0,0.9943333333333333,1.0,0.9971586160788901
level 2,10.0,0.9963333333333333,1.0,0.9981632993822007
level 2,11.0,0.9963333333333333,1.0,0.9981632993822007
level 2,12.0,0.9953333333333333,1.0,0.9976612094888071
level 2,13.0,0.9973333333333333,1.0,0.9986648865153538
level 2,14.0,0.996,1.0,0.9979959919839679
level 2,15.0,0.996,1.0,0.9979959919839679
level 2,16.0,0.9953333333333333,1.0,0.9976612094888071
level 2,17.0,0.9926666666666667,1.0,0.9963198394111744
level 2,18.0,0.9953333333333333,1.0,0.9976612094888071
level 2,19.0,0.9946666666666667,1.0,0.9973262032085561
level 2,20.0,0.9923333333333333,1.0,0.9961519156767609
level 3,0.0,0.6303333333333333,1.0,0.7732570026579432
level 3,1.0,0.6896666666666667,1.0,0.8163345827579405
level 3,2.0,0.9126666666666666,1.0,0.9543394911118858
level 3,3.0,0.897,1.0,0.9457037427517132
level 3,4.0,0.8786666666666667,1.0,0.9354151880766501
level 3,5.0,0.985,1.0,0.9924433249370278
level 3,6.0,0.9873333333333333,1.0,0.9936262998993626
level 3,7.0,0.9853333333333333,1.0,0.9926124916051041
level 3,8.0,0.9773333333333334,1.0,0.9885367498314228
level 3,9.0,0.9873333333333333,1.0,0.9936262998993626
level 3,10.0,0.9953333333333333,1.0,0.9976612094888071
level 3,11.0,0.9923333333333333,1.0,0.9961519156767609
level 3,12.0,0.9886666666666667,1.0,0.9943010392222595
level 3,13.0,0.993,1.0,0.9964877069744105
level 3,14.0,0.9936666666666667,1.0,0.9968232737000502
level 3,15.0,0.99,1.0,0.9949748743718593
level 3,16.0,0.983,1.0,0.9914271306101865
level 3,17.0,0.9836666666666667,1.0,0.991766089732818
level 3,18.0,0.9853333333333333,1.0,0.9926124916051041
level 3,19.0,0.982,1.0,0.9909182643794148
level 3,20.0,0.978,1.0,0.9888776541961577
level 4,0.0,0.638,1.0,0.778998778998779
level 4,1.0,0.6813333333333333,1.0,0.8104678826328311
level 4,2.0,0.8133333333333334,1.0,0.8970588235294117
level 4,3.0,0.7006666666666667,1.0,0.8239905919247353
level 4,4.0,0.5983333333333334,1.0,0.7486965589155371
level 4,5.0,0.9743333333333334,1.0,0.9869998311666385
level 4,6.0,0.9776666666666667,1.0,0.9887072307433002
level 4,7.0,0.9733333333333334,1.0,0.9864864864864865
level 4,8.0,0.9576666666666667,1.0,0.9783756172313979
level 4,9.0,0.9833333333333333,1.0,0.9915966386554621
level 4,10.0,0.991,1.0,0.9954796584630838
level 4,11.0,0.9876666666666667,1.0,0.9937950695958411
level 4,12.0,0.98,1.0,0.98989898989899
level 4,13.0,0.9916666666666667,1.0,0.99581589958159
level 4,14.0,0.9886666666666667,1.0,0.9943010392222595
level 4,15.0,0.9776666666666667,1.0,0.9887072307433002
level 4,16.0,0.9663333333333334,1.0,0.98287845397525
level 4,17.0,0.9806666666666667,1.0,0.9902389767754965
level 4,18.0,0.9756666666666667,1.0,0.9876834823688206
level 4,19.0,0.9703333333333334,1.0,0.9849433260023684
level 4,20.0,0.9646666666666667,1.0,0.982015609093994
level 5,0.0,0.6373333333333333,1.0,0.7785016286644951
level 5,1.0,0.693,1.0,0.8186650915534553
level 5,2.0,0.794,1.0,0.8851727982162765
level 5,3.0,0.6366666666666667,1.0,0.7780040733197556
level 5,4.0,0.444,1.0,0.6149584487534626
level 5,5.0,0.9616666666666667,1.0,0.9804587935429057
level 5,6.0,0.95,1.0,0.9743589743589743
level 5,7.0,0.9573333333333334,1.0,0.9782016348773842
level 5,8.0,0.9373333333333334,1.0,0.9676531314521679
level 5,9.0,0.977,1.0,0.9883662114314619
level 5,10.0,0.9813333333333333,1.0,0.9905787348586811
