test_case,keypoint,precision,recall,f1_score
top_5,0.0,0.8226666666666667,1.0,0.902706656912948
top_5,1.0,0.9076666666666666,1.0,0.9515988118119867
top_5,2.0,0.9213333333333333,1.0,0.9590562109646079
top_5,3.0,0.888,1.0,0.940677966101695
top_5,4.0,0.832,1.0,0.9082969432314411
top_5,5.0,0.9463333333333334,1.0,0.9724267854084603
top_5,6.0,0.8346666666666667,1.0,0.9098837209302325
top_5,7.0,0.7983333333333333,1.0,0.8878591288229842
top_5,8.0,0.7593333333333333,1.0,0.8632057597574839
top_5,9.0,0.9393333333333334,1.0,0.9687177724303885
top_5,10.0,0.8816666666666667,1.0,0.937112488928255
top_5,11.0,0.86,1.0,0.924731182795699
top_5,12.0,0.8543333333333333,1.0,0.9214452633471147
top_5,13.0,0.9293333333333333,1.0,0.9633724948168625
top_5,14.0,0.8586666666666667,1.0,0.9239598278335724
top_5,15.0,0.853,1.0,0.9206691851052348
top_5,16.0,0.8436666666666667,1.0,0.9152052070150064
top_5,17.0,0.8596666666666667,1.0,0.924538447750493
top_5,18.0,0.799,1.0,0.8882712618121179
top_5,19.0,0.7753333333333333,1.0,0.8734509951182877
top_5,20.0,0.7506666666666667,1.0,0.8575780654988576
bottom_5,0.0,0.9653333333333334,1.0,0.9823609226594301
bottom_5,1.0,0.9613333333333334,1.0,0.9802855200543847
bottom_5,2.0,0.8956666666666667,1.0,0.9449621944786356
bottom_5,3.0,0.8966666666666666,1.0,0.9455184534270651
bottom_5,4.0,0.861,1.0,0.9253089736700698
bottom_5,5.0,0.9023333333333333,1.0,0.9486595409146661
bottom_5,6.0,0.9416666666666667,1.0,0.9699570815450643
bottom_5,7.0,0.9406666666666667,1.0,0.9694263139814497
bottom_5,8.0,0.9213333333333333,1.0,0.9590562109646079
bottom_5,9.0,0.8906666666666667,1.0,0.9421720733427362
bottom_5,10.0,0.9593333333333334,1.0,0.9792446410343655
bottom_5,11.0,0.946,1.0,0.9722507708119219
bottom_5,12.0,0.9113333333333333,1.0,0.9536100453435647
bottom_5,13.0,0.86,1.0,0.924731182795699
bottom_5,14.0,0.928,1.0,0.9626556016597512
bottom_5,15.0,0.9103333333333333,1.0,0.9530622927935787
bottom_5,16.0,0.847,1.0,0.9171629669734704
bottom_5,17.0,0.766,1.0,0.8674971687429218
bottom_5,18.0,0.8393333333333334,1.0,0.9126495106922798
bottom_5,19.0,0.829,1.0,0.9065062875888463
bottom_5,20.0,0.7756666666666666,1.0,0.8736624741880984
