test_case,keypoint,precision,recall,f1_score
strongly_underexposed,0.0,0.40166666666666667,1.0,0.573127229488704
strongly_underexposed,1.0,0.531,1.0,0.6936642717178314
strongly_underexposed,2.0,0.6346666666666667,1.0,0.7765089722675368
strongly_underexposed,3.0,0.493,1.0,0.6604152712659076
strongly_underexposed,4.0,0.2996666666666667,1.0,0.4611438830469351
strongly_underexposed,5.0,0.9753333333333334,1.0,0.9875126560917988
strongly_underexposed,6.0,0.6783333333333333,1.0,0.8083416087388282
strongly_underexposed,7.0,0.5023333333333333,1.0,0.6687375194142445
strongly_underexposed,8.0,0.33566666666666667,1.0,0.5026204142750188
strongly_underexposed,9.0,0.988,1.0,0.993963782696177
strongly_underexposed,10.0,0.8386666666666667,1.0,0.9122552574329225
strongly_underexposed,11.0,0.5773333333333334,1.0,0.7320371935756552
strongly_underexposed,12.0,0.415,1.0,0.5865724381625441
strongly_underexposed,13.0,0.9353333333333333,1.0,0.9665862900447812
strongly_underexposed,14.0,0.881,1.0,0.936735778841042
strongly_underexposed,15.0,0.6616666666666666,1.0,0.7963891675025075
strongly_underexposed,16.0,0.49333333333333335,1.0,0.6607142857142857
strongly_underexposed,17.0,0.5813333333333334,1.0,0.7352445193929175
strongly_underexposed,18.0,0.53,1.0,0.6928104575163399
strongly_underexposed,19.0,0.4683333333333333,1.0,0.637911464245176
strongly_underexposed,20.0,0.40166666666666667,1.0,0.573127229488704
underexposed,0.0,0.8763333333333333,1.0,0.9340913128441997
underexposed,1.0,0.9066666666666666,1.0,0.9510489510489509
underexposed,2.0,0.8236666666666667,1.0,0.9033083531347104
underexposed,3.0,0.7533333333333333,1.0,0.8593155893536121
underexposed,4.0,0.5986666666666667,1.0,0.7489574645537949
underexposed,5.0,0.962,1.0,0.9806320081549439
underexposed,6.0,0.8996666666666666,1.0,0.9471837164414809
underexposed,7.0,0.811,1.0,0.8956377691882939
underexposed,8.0,0.6976666666666667,1.0,0.8219124288238759
underexposed,9.0,0.9806666666666667,1.0,0.9902389767754965
underexposed,10.0,0.9466666666666667,1.0,0.9726027397260273
underexposed,11.0,0.8663333333333333,1.0,0.9283800678692623
underexposed,12.0,0.7556666666666667,1.0,0.8608315929371559
underexposed,13.0,0.966,1.0,0.982706002034588
underexposed,14.0,0.9403333333333334,1.0,0.9692492698848996
underexposed,15.0,0.8553333333333333,1.0,0.9220265900107797
underexposed,16.0,0.7533333333333333,1.0,0.8593155893536121
underexposed,17.0,0.8643333333333333,1.0,0.9272304666547471
underexposed,18.0,0.8213333333333334,1.0,0.9019033674963396
underexposed,19.0,0.7543333333333333,1.0,0.8599657989739692
underexposed,20.0,0.6743333333333333,1.0,0.8054947242683655
overexposed,0.0,0.795,1.0,0.8857938718662953
overexposed,1.0,0.8626666666666667,1.0,0.9262705798138869
overexposed,2.0,0.8276666666666667,1.0,0.9057085537114719
overexposed,3.0,0.7776666666666666,1.0,0.874929683105194
overexposed,4.0,0.6933333333333334,1.0,0.8188976377952756
overexposed,5.0,0.9503333333333334,1.0,0.9745342676465562
overexposed,6.0,0.891,1.0,0.9423585404547858
overexposed,7.0,0.833,1.0,0.9088925259138025
overexposed,8.0,0.749,1.0,0.8564894225271583
overexposed,9.0,0.981,1.0,0.9904088844018173
overexposed,10.0,0.958,1.0,0.9785495403472931
overexposed,11.0,0.9146666666666666,1.0,0.9554317548746517
overexposed,12.0,0.8456666666666667,1.0,0.916380711576666
overexposed,13.0,0.967,1.0,0.9832231825114387
overexposed,14.0,0.9496666666666667,1.0,0.9741836211318174
overexposed,15.0,0.8866666666666667,1.0,0.9399293286219081
overexposed,16.0,0.8116666666666666,1.0,0.8960441582336707
overexposed,17.0,0.868,1.0,0.9293361884368309
overexposed,18.0,0.833,1.0,0.9088925259138025
overexposed,19.0,0.7806666666666666,1.0,0.8768251591164358
overexposed,20.0,0.7163333333333334,1.0,0.8347251893571567
strongly_overexposed,0.0,0.62,1.0,0.7654320987654321
strongly_overexposed,1.0,0.771,1.0,0.870694522868436
strongly_overexposed,2.0,0.713,1.0,0.8324576765907763
strongly_overexposed,3.0,0.621,1.0,0.7661937075879087
strongly_overexposed,4.0,0.5013333333333333,1.0,0.6678507992895204
strongly_overexposed,5.0,0.9676666666666667,1.0,0.983567677452143
strongly_overexposed,6.0,0.7936666666666666,1.0,0.8849656197732763
strongly_overexposed,7.0,0.6786666666666666,1.0,0.8085782366957903
strongly_overexposed,8.0,0.572,1.0,0.727735368956743
strongly_overexposed,9.0,0.979,1.0,0.989388580090955
strongly_overexposed,10.0,0.8973333333333333,1.0,0.9458889669711876
strongly_overexposed,11.0,0.784,1.0,0.8789237668161435
strongly_overexposed,12.0,0.666,1.0,0.7995198079231693
strongly_overexposed,13.0,0.9453333333333334,1.0,0.971898560657985
strongly_overexposed,14.0,0.9046666666666666,1.0,0.9499474973748687
strongly_overexposed,15.0,0.8016666666666666,1.0,0.8899167437557816
strongly_overexposed,16.0,0.6593333333333333,1.0,0.7946966653274408
strongly_overexposed,17.0,0.744,1.0,0.8532110091743119
strongly_overexposed,18.0,0.6696666666666666,1.0,0.8021561189858255
strongly_overexposed,19.0,0.6,1.0,0.7499999999999999
strongly_overexposed,20.0,0.5186666666666667,1.0,0.6830553116769096
