test_case,keypoint,precision,recall,f1_score
top_5,0.0,0.6346666666666667,1.0,0.7765089722675368
top_5,1.0,0.8146666666666667,1.0,0.8978692138133725
top_5,2.0,0.8076666666666666,1.0,0.8936013276784068
top_5,3.0,0.692,1.0,0.817966903073286
top_5,4.0,0.5813333333333334,1.0,0.7352445193929175
top_5,5.0,0.9383333333333334,1.0,0.9681857265692175
top_5,6.0,0.771,1.0,0.870694522868436
top_5,7.0,0.6873333333333334,1.0,0.814697747925721
top_5,8.0,0.553,1.0,0.7121699935608501
top_5,9.0,0.9426666666666667,1.0,0.970487302676733
top_5,10.0,0.8366666666666667,1.0,0.911070780399274
top_5,11.0,0.7826666666666666,1.0,0.8780852655198205
top_5,12.0,0.701,1.0,0.8242210464432685
top_5,13.0,0.9106666666666666,1.0,0.9532449406838799
top_5,14.0,0.847,1.0,0.9171629669734704
top_5,15.0,0.7873333333333333,1.0,0.8810145468108915
top_5,16.0,0.6983333333333334,1.0,0.8223748773307165
top_5,17.0,0.7613333333333333,1.0,0.8644965934897804
top_5,18.0,0.6983333333333334,1.0,0.8223748773307165
top_5,19.0,0.6646666666666666,1.0,0.7985582699239087
top_5,20.0,0.6033333333333334,1.0,0.7525987525987526
bottom_5,0.0,0.817,1.0,0.899284534947716
bottom_5,1.0,0.876,1.0,0.933901918976546
bottom_5,2.0,0.7903333333333333,1.0,0.8828895922547012
bottom_5,3.0,0.719,1.0,0.8365328679464805
bottom_5,4.0,0.608,1.0,0.7562189054726367
bottom_5,5.0,0.9456666666666667,1.0,0.9720746959054308
bottom_5,6.0,0.8446666666666667,1.0,0.9157932779183231
bottom_5,7.0,0.7673333333333333,1.0,0.8683515654470012
bottom_5,8.0,0.6616666666666666,1.0,0.7963891675025075
bottom_5,9.0,0.938,1.0,0.9680082559339525
bottom_5,10.0,0.8623333333333333,1.0,0.9260783962770717
bottom_5,11.0,0.8123333333333334,1.0,0.8964502482986941
bottom_5,12.0,0.7316666666666667,1.0,0.8450433108758422
bottom_5,13.0,0.8903333333333333,1.0,0.941985540469053
bottom_5,14.0,0.8253333333333334,1.0,0.9043097151205259
bottom_5,15.0,0.742,1.0,0.851894374282434
bottom_5,16.0,0.6676666666666666,1.0,0.8007195682590446
bottom_5,17.0,0.7406666666666667,1.0,0.8510149368058215
bottom_5,18.0,0.651,1.0,0.7886129618413084
bottom_5,19.0,0.5886666666666667,1.0,0.741082668904742
bottom_5,20.0,0.5016666666666667,1.0,0.6681465038845728
