test_case,keypoint,precision,recall,f1_score
naked_hands,0.0,0.07904114026563006,1.0,0.14650255178625035
naked_hands,1.0,0.12180110139293812,1.0,0.2171527577245163
naked_hands,2.0,0.08940719144800778,1.0,0.1641391614629795
naked_hands,3.0,0.16002591512795594,1.0,0.27590058642837195
naked_hands,4.0,0.1849692257855523,1.0,0.3121924548933844
naked_hands,5.0,0.24295432458697766,1.0,0.39093041438623927
naked_hands,6.0,0.2954324586977648,1.0,0.45611402850712673
naked_hands,7.0,0.31875607385811466,1.0,0.48341930729550475
naked_hands,8.0,0.2766439909297052,1.0,0.433392539964476
naked_hands,9.0,0.3388402980239715,1.0,0.5061698524074522
naked_hands,10.0,0.4428247489471979,1.0,0.6138302649303996
naked_hands,11.0,0.452542921930677,1.0,0.6231043710972346
naked_hands,12.0,0.34629089731130547,1.0,0.5144369586140519
naked_hands,13.0,0.2915451895043732,1.0,0.45146726862302483
naked_hands,14.0,0.33754454162617425,1.0,0.5047226931460402
naked_hands,15.0,0.3666990605766116,1.0,0.536620052145058
naked_hands,16.0,0.31065759637188206,1.0,0.4740484429065744
naked_hands,17.0,0.19630709426627793,1.0,0.3281884646628757
naked_hands,18.0,0.2377712989957888,1.0,0.3841926197330542
naked_hands,19.0,0.28085519922254615,1.0,0.4385432473444613
naked_hands,20.0,0.2471655328798186,1.0,0.39636363636363636
