test_case,precision,recall,f1_score
level 1,0.3589245221898283,1.0,0.5282479141835518
level 2,0.3304178814382896,1.0,0.4967129291453615
level 3,0.2999676060900551,1.0,0.461500124595066
level 4,0.26303854875283444,1.0,0.41651705565529623
level 5,0.2296728215095562,1.0,0.37355110642781875
level 6,0.18820861678004536,1.0,0.31679389312977096
level 7,0.16974408811143504,1.0,0.29022431459429515
level 8,0.14285714285714285,1.0,0.25
level 9,0.1279559442824749,1.0,0.22688110281447443
level 10,0.12082928409459022,1.0,0.215606936416185
level 11,0.12309685779073534,1.0,0.21920969137582924
level 12,0.1101392938127632,1.0,0.1984242777939889
level 13,0.10430839002267574,1.0,0.188911704312115
level 14,0.09361839974084872,1.0,0.1712085308056872
level 15,0.08649173955296405,1.0,0.15921288014311272
level 16,0.08843537414965986,1.0,0.16249999999999998
level 17,0.08098477486232589,1.0,0.1498351813005694
level 18,0.07029478458049887,1.0,0.13135593220338984
level 19,0.06025267249757046,1.0,0.11365719523373052
level 20,0.04178814382896016,1.0,0.08022388059701492
level 21,0.03498542274052478,1.0,0.0676056338028169
