test_case,keypoint,precision,recall,f1_score
hands_with_objects,0.0,0.22862541332073688,0.558246828143022,0.3243967828418231
hands_with_objects,1.0,0.3882853094000945,0.6821576763485477,0.49488260084286584
hands_with_objects,2.0,0.5380255077940482,0.7483574244415243,0.6259961527892279
hands_with_objects,3.0,0.49220595181861126,0.7312280701754386,0.588368153585545
hands_with_objects,4.0,0.32026452527161076,0.6390197926484449,0.4266834487098804
hands_with_objects,5.0,0.7009919697685404,0.7948580610605249,0.7449799196787148
hands_with_objects,6.0,0.5229097779877184,0.7429530201342281,0.613806487385639
hands_with_objects,7.0,0.40859707132735,0.6931089743589743,0.5141158989598811
hands_with_objects,8.0,0.31317902692489374,0.6338432122370937,0.4192222573506165
hands_with_objects,9.0,0.6811525743977327,0.7901369863013699,0.7316083206494166
hands_with_objects,10.0,0.5181861124232404,0.7412162162162163,0.6099527383931054
hands_with_objects,11.0,0.42418516769012754,0.7010148321623731,0.5285462036492055
hands_with_objects,12.0,0.3415210203117619,0.6537070524412296,0.44865032578343156
hands_with_objects,13.0,0.6173830892772791,0.7733727810650888,0.6866298923036511
hands_with_objects,14.0,0.5436939064714218,0.7503259452411994,0.6305121884415228
hands_with_objects,15.0,0.4624468587623996,0.7187958883994127,0.5628054038516815
hands_with_objects,16.0,0.38875767595654226,0.6824212271973465,0.49533554017454107
hands_with_objects,17.0,0.5101558809636277,0.7382091592617909,0.6033519553072625
hands_with_objects,18.0,0.4978743504959849,0.7334725121781489,0.5931344963421497
hands_with_objects,19.0,0.4581955597543694,0.7169253510716925,0.5590778097982709
hands_with_objects,20.0,0.4095418044402456,0.6936,0.514998514998515
