test_case,keypoint,precision,recall,f1_score
level 1,0.0,0.9363834422657952,0.752978276103714,0.8347251893571567
level 1,1.0,0.9507625272331155,0.7558018704537582,0.8421458896179081
level 1,2.0,0.9590413943355119,0.7573984858912595,0.8463756969813497
level 1,3.0,0.9660130718954248,0.7587268993839835,0.8499137435307648
level 1,4.0,0.9429193899782136,0.7542697804112931,0.8381099922540666
level 1,5.0,0.9686274509803922,0.7592213114754098,0.8512349224583573
level 1,6.0,0.9847494553376906,0.7622259696458684,0.8593155893536122
level 1,7.0,0.9821350762527233,0.7617438323758027,0.8580129425199848
level 1,8.0,0.9690631808278867,0.7593035165585524,0.8514548238897397
level 1,9.0,0.9751633986928104,0.7604485219164119,0.8545246277205041
level 1,10.0,0.9930283224400871,0.7637399463806971,0.8634211024815306
level 1,11.0,0.984313725490196,0.7621457489878543,0.859098687963491
level 1,12.0,0.9773420479302832,0.760854816824966,0.8556170131604043
level 1,13.0,0.9782135076252724,0.7610169491525424,0.8560533841754051
level 1,14.0,0.9921568627450981,0.7635814889336016,0.8629903354178511
level 1,15.0,0.9886710239651416,0.7629455279085406,0.8612639969633706
level 1,16.0,0.9830065359477124,0.7619047619047619,0.8584474885844748
level 1,17.0,0.9782135076252724,0.7610169491525424,0.8560533841754051
level 1,18.0,0.9860566448801743,0.762466307277628,0.8599657989739692
level 1,19.0,0.9851851851851852,0.7623061362103843,0.8595324082873979
level 1,20.0,0.9799564270152505,0.7613405551794178,0.8569251285959231
level 2,0.0,0.8997542997542998,0.6548640915593705,0.7580211136410681
level 2,1.0,0.9292383292383293,0.6621148459383753,0.7732570026579432
level 2,2.0,0.9533169533169533,0.6678141135972461,0.7854251012145749
level 2,3.0,0.9498771498771499,0.6670117322291236,0.7837016014595581
level 2,4.0,0.9267813267813267,0.6615222728867064,0.7720016373311501
level 2,5.0,0.9705159705159705,0.6717687074829932,0.7939698492462313
level 2,6.0,0.9852579852579852,0.6750841750841751,0.801198801198801
level 2,7.0,0.9828009828009828,0.6745362563237775,0.8
level 2,8.0,0.9695331695331695,0.6715452688904017,0.7934848180172934
level 2,9.0,0.9778869778869779,0.6734348561759729,0.7975951903807615
level 2,10.0,0.9955773955773956,0.6773654296221999,0.8062077198567449
level 2,11.0,0.9852579852579852,0.6750841750841751,0.801198801198801
level 2,12.0,0.9832923832923833,0.674645987862441,0.8002399520095982
level 2,13.0,0.9823095823095823,0.6744264507422402,0.799759951990398
level 2,14.0,0.9941031941031941,0.6770414993306559,0.8054947242683655
level 2,15.0,0.9896805896805897,0.6760657938905673,0.8033506182688472
level 2,16.0,0.9886977886977887,0.675848169297951,0.8028731045490823
level 2,17.0,0.9818181818181818,0.6743165710428619,0.7995198079231692
level 2,18.0,0.9872235872235873,0.6755211835911231,0.8021561189858256
level 2,19.0,0.9857493857493858,0.6751935375294513,0.8014382740711146
level 2,20.0,0.9823095823095823,0.6744264507422402,0.799759951990398
level 3,0.0,0.8874617737003058,0.5152698863636364,0.6519883172320826
level 3,1.0,0.8948012232415902,0.5173267326732673,0.6556128164911496
level 3,2.0,0.9351681957186544,0.5283344851416725,0.6752042393464341
level 3,3.0,0.9302752293577982,0.527027027027027,0.6728599867285998
level 3,4.0,0.8807339449541285,0.5133689839572193,0.6486486486486487
level 3,5.0,0.9724770642201835,0.5380710659898477,0.6928104575163399
level 3,6.0,0.9865443425076452,0.5416386836803224,0.6993279861261652
level 3,7.0,0.980428134556575,0.5400943396226415,0.6965022811210081
level 3,8.0,0.9675840978593272,0.5368171021377672,0.6905281536446967
level 3,9.0,0.9785932721712538,0.5396290050590219,0.6956521739130433
level 3,10.0,0.9938837920489296,0.5434782608695652,0.7027027027027027
level 3,11.0,0.9883792048929664,0.54209996645421,0.7001733102253033
level 3,12.0,0.9883792048929664,0.54209996645421,0.7001733102253033
level 3,13.0,0.9798165137614679,0.5399393326592518,0.6962190352020862
level 3,14.0,0.9932721712538226,0.5433255269320844,0.7024221453287198
level 3,15.0,0.9938837920489296,0.5434782608695652,0.7027027027027027
level 3,16.0,0.9920489296636086,0.5430197522597925,0.7018606663781913
level 3,17.0,0.981039755351682,0.5402492421690805,0.6967854039965248
level 3,18.0,0.9865443425076452,0.5416386836803224,0.6993279861261652
level 3,19.0,0.9871559633027523,0.5417925478348439,0.6996098829648894
level 3,20.0,0.981651376146789,0.5404040404040404,0.6970684039087949
level 4,0.0,0.885439763488544,0.4210896309314587,0.5707479752262982
level 4,1.0,0.88470066518847,0.4208860759493671,0.5704074338813437
level 4,2.0,0.9039172209903917,0.42613240418118464,0.5792090930618043
level 4,3.0,0.9120473022912047,0.42832349878514403,0.5829003306565895
level 4,4.0,0.8085735402808574,0.39912440715067493,0.5344406448461163
level 4,5.0,0.9800443458980045,0.44601412714429867,0.6130374479889042
level 4,6.0,0.9874353288987435,0.44787127053302045,0.6162361623616236
level 4,7.0,0.9822616407982262,0.4465725806451613,0.613998613998614
level 4,8.0,0.9682187730968219,0.4430165708488333,0.6078886310904873
level 4,9.0,0.9807834441980784,0.44620040349697376,0.6133579847469378
level 4,10.0,0.9963045084996305,0.45008347245409014,0.6200551977920884
level 4,11.0,0.9926090169992609,0.4491638795986622,0.618466497812572
level 4,12.0,0.9881744271988174,0.4480563002680965,0.616555222504035
level 4,13.0,0.9881744271988174,0.4480563002680965,0.616555222504035
level 4,14.0,0.9955654101995566,0.4498997995991984,0.6197377501725327
level 4,15.0,0.991869918699187,0.4489795918367347,0.6181483187471212
level 4,16.0,0.9940872135994088,0.4495320855614973,0.619102416570771
level 4,17.0,0.9859571322985957,0.4475008386447501,0.6155976003691739
level 4,18.0,0.9926090169992609,0.4491638795986622,0.618466497812572
level 4,19.0,0.9896526237989652,0.44842598794373745,0.6171929015902281
level 4,20.0,0.991130820399113,0.44879518072289154,0.61782999308915
level 5,0.0,0.8892645815722738,0.3666782851167654,0.5192497532082921
level 5,1.0,0.8841927303465765,0.3653510303877052,0.5170538803756797
level 5,2.0,0.8782755705832629,0.3637955182072829,0.5144837831146324
level 5,3.0,0.8875739644970414,0.36623648412975235,0.5185185185185185
level 5,4.0,0.7616229923922232,0.33149374540103016,0.46193283773391436
level 5,5.0,0.9797125950972105,0.3894489247311828,0.5573455157489782
level 5,6.0,0.9873203719357565,0.39128978224455613,0.5604606525911708
level 5,7.0,0.9822485207100592,0.39006377979187645,0.5583853916386352
level 5,8.0,0.9636517328825022,0.3855258708150152,0.5507246376811594
level 5,9.0,0.9847844463229078,0.39067739771965126,0.5594237695078031
level 5,10.0,0.9915469146238377,0.3923076923076923,0.5621854780733285
level 5,11.0,0.9864750633981403,0.3910857908847185,0.5601151907847371
level 5,12.0,0.9797125950972105,0.3894489247311828,0.5573455157489782
level 5,13.0,0.9881656804733728,0.39149363697253853,0.5608059486687456
level 5,14.0,0.9940828402366864,0.3929168058803876,0.5632183908045977
level 5,15.0,0.9839391377852916,0.3904729956390473,0.5590778097982709
level 5,16.0,0.9805579036348268,0.3896540141081626,0.5576923076923077
level 5,17.0,0.9898562975486053,0.39190093708165996,0.5614960441141214
level 5,18.0,0.9907016060862215,0.39210438273670123,0.5618408437200383
level 5,19.0,0.9864750633981403,0.3910857908847185,0.5601151907847371
level 5,20.0,0.9873203719357565,0.39128978224455613,0.5604606525911708
level 6,0.0,0.8340425531914893,0.27566807313642755,0.4143763213530655
level 6,1.0,0.8202127659574469,0.27234192864712115,0.40891010342084333
level 6,2.0,0.8063829787234043,0.2689850958126331,0.40340606705694515
level 6,3.0,0.8170212765957446,0.27157001414427157,0.40764331210191085
level 6,4.0,0.6936170212765957,0.24041297935103245,0.3570646221248631
level 6,5.0,0.9691489361702128,0.30663076405250755,0.46586550754282796
level 6,6.0,0.9744680851063829,0.3077956989247312,0.4678243105209397
level 6,7.0,0.9542553191489361,0.3033479878254988,0.46035411855273284
level 6,8.0,0.9404255319148936,0.30027173913043476,0.4552008238928939
level 6,9.0,0.9829787234042553,0.3096514745308311,0.47094801223241584
level 6,10.0,0.9840425531914894,0.3098827470686767,0.4713375796178344
level 6,11.0,0.9797872340425532,0.3089567259308957,0.4697781178270849
level 6,12.0,0.9744680851063829,0.3077956989247312,0.4678243105209397
level 6,13.0,0.9872340425531915,0.31057563587684067,0.47250509164969445
level 6,14.0,0.9904255319148936,0.31126713473754597,0.4736708216738743
level 6,15.0,0.9872340425531915,0.31057563587684067,0.47250509164969445
level 6,16.0,0.9819148936170212,0.30942004693261815,0.4705582462401223
level 6,17.0,0.9702127659574468,0.30686406460296095,0.4662576687116564
level 6,18.0,0.9851063829787234,0.3101138647019424,0.4717269485481407
