test_case,keypoint,precision,recall,f1_score
122,0.0,0.9633720930232558,0.5641811372148451,0.7116169207644406
122,1.0,0.9668604651162791,0.5650696568127761,0.7132747158481664
122,2.0,0.9703488372093023,0.5659545608680909,0.714928250160634
122,3.0,0.9767441860465116,0.5675675675675675,0.717948717948718
122,4.0,0.9453488372093023,0.559532002752925,0.7029831387808042
122,5.0,0.983139534883721,0.5691686300908785,0.7209550202515456
122,6.0,0.9906976744186047,0.5710455764075067,0.7244897959183674
122,7.0,0.9872093023255814,0.570181329751511,0.7228607918263091
122,8.0,0.9744186046511628,0.5669824086603519,0.7168520102651841
122,9.0,0.9912790697674418,0.5711892797319933,0.7247608926673752
122,10.0,0.9901162790697674,0.5709017767348307,0.724218583882628
122,11.0,0.9889534883720931,0.5706138879570614,0.7236758136566688
122,12.0,0.9796511627906976,0.5682967959527825,0.7193169690501602
122,13.0,0.9918604651162791,0.5713328868050904,0.7250318742031451
122,14.0,0.9872093023255814,0.570181329751511,0.7228607918263091
122,15.0,0.9895348837209302,0.5707578806170356,0.7239472564866015
122,16.0,0.9802325581395349,0.5684423465947404,0.7195902688860436
122,17.0,0.9843023255813953,0.5694584594685503,0.7215001065416579
122,18.0,0.9848837209302326,0.5696032279757902,0.7217724755006392
122,19.0,0.9802325581395349,0.5684423465947404,0.7195902688860436
122,20.0,0.9790697674418605,0.5681511470985156,0.7190435525192144
488,0.0,0.9274061990212071,0.8058114812189936,0.8623435722411831
488,1.0,0.9653344208809136,0.8120068610634649,0.8820570150922304
488,2.0,0.9779771615008157,0.8139850644942295,0.8884772137828826
488,3.0,0.9779771615008157,0.8139850644942295,0.8884772137828826
488,4.0,0.9608482871125612,0.8112947658402204,0.8797610156833459
488,5.0,0.9804241435562806,0.8143631436314364,0.8897113249444855
488,6.0,0.9902120717781403,0.8158602150537635,0.894620486366986
488,7.0,0.9902120717781403,0.8158602150537635,0.894620486366986
488,8.0,0.9869494290375204,0.8153638814016172,0.8929889298892988
488,9.0,0.9914355628058727,0.8160456529036589,0.8952310808322592
488,10.0,0.9938825448613376,0.8164154103852597,0.8964502482986942
488,11.0,0.9930668841761827,0.8162923231645994,0.8960441582336707
488,12.0,0.9881729200652528,0.8155503197576573,0.8936013276784067
488,13.0,0.9889885807504079,0.8156744029599731,0.8940092165898618
488,14.0,0.9926590538336052,0.8162307176391683,0.895841001104159
488,15.0,0.9926590538336052,0.8162307176391683,0.895841001104159
488,16.0,0.9889885807504079,0.8156744029599731,0.8940092165898618
488,17.0,0.982463295269168,0.8146770375380453,0.8907376594564614
488,18.0,0.9853181076672104,0.815114709851552,0.8921713441654358
488,19.0,0.9873572593800979,0.8154260693836308,0.8931931377974544
488,20.0,0.9877650897226754,0.8154882154882155,0.8933972703799336
