test_case,precision,recall,f1_score
level 1,0.9828937059284408,0.7259137814639792,0.835080712264936
level 2,0.9765587301587302,0.6194242634147913,0.7580333556755904
level 3,0.9723004268458814,0.517323024885238,0.675329590613764
level 4,0.9672768176705184,0.4573984526112186,0.6210972126465084
level 5,0.9636082075106466,0.4010634869481147,0.5663898054386164
level 6,0.9550972892067188,0.2770381090207429,0.4294955689339266
level 7,0.9482709750566893,0.21490284246025373,0.3503966903197088
level 8,0.9409186683522966,0.17920030819114272,0.30106251011272317
level 9,0.9347172903578257,0.1648282838013583,0.28023912865449185
level 10,0.9027269027269027,0.10683493088001542,0.19105866138340943
level 11,0.8882516510253736,0.08196353256250301,0.15007854825211786
level 12,0.866835229667088,0.0659633145202668,0.12259737163632027
level 13,0.8539682539682539,0.06039515042658285,0.11281191025372195
level 14,0.7774810858923008,0.027952,0.05396389021885184
level 15,0.7513784461152883,0.023982465122232177,0.04648134079598134
level 16,0.700587084148728,0.017172734686045955,0.033523738177732
level 17,0.6785714285714286,0.01641232363950475,0.03204947989879112
level 18,0.7529761904761905,0.008052964955278989,0.015935502157276477
level 19,0.7301587301587301,0.005853906846525834,0.01161469511425325
level 20,0.726984126984127,0.0036398893727946084,0.007243511679767196
level 21,0.7172619047619048,0.003831173992528416,0.007621637861513892
