test_case,precision,recall,f1_score
level 1,0.9926873857404022,0.7278820375335121,0.839907192575406
level 2,0.9829333333333333,0.6209568733153639,0.7610984926698329
level 3,0.9739351557533376,0.5177424805677594,0.6760812003530451
level 4,0.9692197566213314,0.45789651673993914,0.6219568213137345
level 5,0.9528455284552846,0.398368456832087,0.5618408437200383
level 6,0.9336437718277066,0.272511043153245,0.4218832193582325
level 7,0.9270833333333334,0.2111148763131142,0.3439138835219432
level 8,0.9150442477876106,0.17513550135501355,0.2940005686664771
level 9,0.8910133843212237,0.15834182806659872,0.26889786497403345
level 10,0.8319088319088319,0.09928595715742945,0.17739975698663427
level 11,0.8138686131386861,0.0756188538487623,0.13838039094011792
level 12,0.7610619469026548,0.058384249830278345,0.10844892812105926
level 13,0.7,0.05005107252298264,0.09342230695900858
level 14,0.6635514018691588,0.023954116059379218,0.04623901009443178
level 15,0.5684210526315789,0.018249408583981074,0.03536345776031434
level 16,0.4657534246575342,0.011482607227288078,0.022412656558998025
level 17,0.4166666666666667,0.010141987829614604,0.0198019801980198
level 18,0.53125,0.005695142378559464,0.011269472986410341
level 19,0.4166666666666667,0.003348961821835231,0.0066445182724252485
level 20,0.26666666666666666,0.0013382402141184342,0.0026631158455392807
level 21,0.25,0.0013386880856760374,0.0026631158455392807
