test_case,keypoint,precision,recall,f1_score
top_5,0.0,0.643062751871042,0.45277665180381027,0.5313986679352997
top_5,1.0,0.7697179044329303,0.49758094529214736,0.6044303797468354
top_5,2.0,0.7725964306275187,0.4985141158989599,0.6060058703996388
top_5,3.0,0.8019573978123201,0.5078381334305505,0.6218750000000001
top_5,4.0,0.7892918825561313,0.503858875413451,0.6150740242261103
top_5,5.0,0.7357512953367875,0.4863013698630137,0.5855670103092784
top_5,6.0,0.6586067933218193,0.458700882117081,0.5407705034270858
top_5,7.0,0.6931491076568796,0.47141738449490994,0.5611745513866232
top_5,8.0,0.667818077144502,0.46215139442231074,0.5462679538497763
top_5,9.0,0.7962003454231433,0.5060373216245884,0.6187919463087249
top_5,10.0,0.6113989637305699,0.44029850746268656,0.5119305856832972
top_5,11.0,0.6563039723661486,0.4578313253012048,0.5393896380411639
top_5,12.0,0.6424870466321243,0.45255474452554745,0.5310492505353319
top_5,13.0,0.7547495682210709,0.4926719278466742,0.5961800818553888
top_5,14.0,0.5998848589522164,0.43561872909698995,0.5047226931460401
top_5,15.0,0.6499712147380541,0.4554255748285599,0.5355787476280834
top_5,16.0,0.6344271732872769,0.44942903752039154,0.5261398901885892
top_5,17.0,0.6822107081174439,0.46745562130177515,0.5547752808988764
top_5,18.0,0.7415083477259643,0.488248673237301,0.5888
top_5,19.0,0.7461139896373057,0.4897959183673469,0.5913757700205339
top_5,20.0,0.6919976971790444,0.47100313479623823,0.560503613896013
bottom_5,0.0,0.8377168438724119,0.5352163031819807,0.6531413612565445
bottom_5,1.0,0.7481813094571909,0.5070155479711794,0.6044303797468356
bottom_5,2.0,0.7705651930609961,0.5143817706387748,0.6169354838709679
bottom_5,3.0,0.8265249020705092,0.5318689232985235,0.647239263803681
bottom_5,4.0,0.8069390039171797,0.525893508388038,0.6367851622874806
bottom_5,5.0,0.6026860660324567,0.4530921329406815,0.5172910662824208
bottom_5,6.0,0.7409065472859541,0.5045731707317073,0.6003173883473134
bottom_5,7.0,0.7604924454392837,0.5110943963896202,0.611336032388664
bottom_5,8.0,0.74482372691662,0.5058912960851387,0.6025350837483023
bottom_5,9.0,0.6446558477895915,0.4698205546492659,0.5435244161358811
bottom_5,10.0,0.7347509792949076,0.5024875621890548,0.5968181818181818
bottom_5,11.0,0.7369893676552882,0.5032479938861292,0.5980926430517712
bottom_5,12.0,0.7045327364297705,0.49198905822586947,0.5793833410032213
bottom_5,13.0,0.6390598768886402,0.46764946764946763,0.5400803972570347
bottom_5,14.0,0.6911024062674874,0.48717948717948717,0.5714946783896344
bottom_5,15.0,0.6827084499160604,0.48412698412698413,0.5665196192245182
bottom_5,16.0,0.6334639059876889,0.4654605263157895,0.536620052145058
bottom_5,17.0,0.6183547845551203,0.4594594594594595,0.5271946564885497
bottom_5,18.0,0.6088416340235031,0.4556113902847571,0.5211976047904192
bottom_5,19.0,0.6066032456631225,0.4546979865771812,0.5197794293934308
bottom_5,20.0,0.5081141578063794,0.411231884057971,0.4545682102628285
