test_case,keypoint,precision,recall,f1_score
thumb,0.0,0.8579970104633782,0.4085409252669039,0.5535197685631629
thumb,1.0,0.8976083707025411,0.4194900454069158,0.5717686265174958
thumb,2.0,0.9110612855007474,0.42311697327316905,0.5778620526191041
thumb,3.0,0.8953662182361734,0.4188811188811189,0.5707479752262983
thumb,4.0,0.7683109118086696,0.38215613382899627,0.5104270109235353
thumb,5.0,0.9566517189835575,0.43507817811012917,0.5981308411214954
thumb,6.0,0.9641255605381166,0.4369918699186992,0.6013986013986015
thumb,7.0,0.9581464872944694,0.43546195652173914,0.5987856141989724
thumb,8.0,0.945440956651719,0.4321831226511787,0.593200468933177
thumb,9.0,0.9671150971599403,0.43775372124492556,0.6027014438751747
thumb,10.0,0.9910313901345291,0.44377510040160645,0.6130374479889044
thumb,11.0,0.9730941704035875,0.4392712550607287,0.6052998605299861
thumb,12.0,0.9603886397608371,0.43603664743807263,0.5997666277712952
thumb,13.0,0.9715994020926756,0.43889264010803514,0.6046511627906976
thumb,14.0,0.9805680119581465,0.44115669132481505,0.6085343228200372
thumb,15.0,0.9723467862481315,0.43908201147485654,0.6049755870727738
thumb,16.0,0.9678624813153961,0.43794386202231994,0.6030267753201397
thumb,17.0,0.9499252615844545,0.43334469826116606,0.5951767735893233
thumb,18.0,0.9551569506726457,0.4346938775510204,0.5974754558204769
thumb,19.0,0.9431988041853513,0.4316005471956224,0.5922102299389957
thumb,20.0,0.9431988041853513,0.4316005471956224,0.5922102299389957
index_finger,0.0,0.9450369155045119,0.39277190589839756,0.5549132947976878
index_finger,1.0,0.9466776045939295,0.3931856899488927,0.5556090515166106
index_finger,2.0,0.9351927809680065,0.39027730229373503,0.5507246376811593
index_finger,3.0,0.92616899097621,0.3879725085910653,0.5468636473722451
index_finger,4.0,0.8917145200984413,0.37900976290097627,0.5319305113775384
index_finger,5.0,0.9753896636587367,0.4003367003367003,0.5676772499403199
index_finger,6.0,0.9540607054963085,0.39504076086956524,0.5587316838818159
index_finger,7.0,0.918785890073831,0.38607376766632195,0.5436893203883495
index_finger,8.0,0.8572600492206727,0.36978060863411183,0.5166872682323856
index_finger,9.0,0.9696472518457753,0.39892001349983125,0.5652797704447633
index_finger,10.0,0.9794913863822805,0.401344537815126,0.5693848354792561
index_finger,11.0,0.9614438063986874,0.39688452421266507,0.5618408437200383
index_finger,12.0,0.9425758818703855,0.3921501706484642,0.5538684020245843
index_finger,13.0,0.963084495488105,0.3972927241962775,0.5625299472927647
index_finger,14.0,0.9811320754716981,0.4017467248908297,0.5700667302192564
index_finger,15.0,0.9786710418375718,0.4011432414256893,0.5690436441688529
index_finger,16.0,0.9729286300246104,0.39973036737445233,0.5666507405637841
index_finger,17.0,0.9622641509433962,0.3970886932972241,0.5621854780733285
index_finger,18.0,0.9745693191140279,0.4001347254968003,0.5673352435530086
index_finger,19.0,0.9745693191140279,0.4001347254968003,0.5673352435530086
index_finger,20.0,0.9671862182116489,0.3983108108108108,0.5642498205312275
middle_finger,0.0,0.9503695881731784,0.3047748052827633,0.46153846153846156
middle_finger,1.0,0.9577613516367476,0.3064189189189189,0.4642948553877656
middle_finger,2.0,0.9303062302006336,0.3002726653033401,0.45400669930430293
middle_finger,3.0,0.9081309398099261,0.29522828698935805,0.4455958549222798
middle_finger,4.0,0.8965153115100317,0.29255685733976566,0.44115354637568194
middle_finger,5.0,0.9809926082365364,0.3115358819584172,0.4728938661236956
middle_finger,6.0,0.955649419218585,0.3059499661933739,0.46350832266325226
middle_finger,7.0,0.9366420274551215,0.30170068027210883,0.45639310522253657
middle_finger,8.0,0.925026399155227,0.299078183680437,0.4520123839009287
middle_finger,9.0,0.9672650475184794,0.30852138767261705,0.46782431052093965
middle_finger,10.0,0.9672650475184794,0.30852138767261705,0.46782431052093965
middle_finger,11.0,0.9324181626187962,0.3007493188010899,0.45480298738089103
middle_finger,12.0,0.8511087645195353,0.28191675410982864,0.42354177614293226
middle_finger,13.0,0.9493136219640972,0.30453929539295393,0.46114388304693504
middle_finger,14.0,0.9567053854276664,0.3061845217979047,0.4639016897081413
middle_finger,15.0,0.9482576557550159,0.304303625889529,0.4607491021036429
middle_finger,16.0,0.9239704329461457,0.29883879781420764,0.4516129032258065
middle_finger,17.0,0.9324181626187962,0.3007493188010899,0.45480298738089103
middle_finger,18.0,0.9313621964097148,0.300511073253833,0.4544049459041731
middle_finger,19.0,0.9313621964097148,0.300511073253833,0.4544049459041731
middle_finger,20.0,0.9208025343189018,0.2981196581196581,0.4504132231404959
ring_finger,0.0,0.9092627599243857,0.331267217630854,0.4856133266027259
ring_finger,1.0,0.94234404536862,0.33923103096291257,0.49887415561671256
ring_finger,2.0,0.8724007561436673,0.32216404886561956,0.4705582462401224
ring_finger,3.0,0.8497164461247637,0.31643787398803236,0.46114388304693515
ring_finger,4.0,0.8289224952741021,0.3111032280950692,0.4524116584988393
