test_case,keypoint,precision,recall,f1_score
level 1,0.0,0.9461426491994177,0.6749740394600208,0.7878787878787877
level 1,1.0,0.9640950994662785,0.679084073820916,0.7968718668538199
level 1,2.0,0.9558466763706939,0.6772086627707116,0.7927565392354126
level 1,3.0,0.9456574478408539,0.6748614958448753,0.787633865427359
level 1,4.0,0.9247937894226104,0.6699472759226713,0.7770077456176111
level 1,5.0,0.975254730713246,0.681586978636826,0.8023952095808384
level 1,6.0,0.9733139252789907,0.6811544991511036,0.8014382740711148
level 1,7.0,0.9689471130519165,0.6801771117166212,0.7992795677406443
level 1,8.0,0.9606986899563319,0.6783144912641316,0.7951807228915663
level 1,9.0,0.9830179524502669,0.6833052276559866,0.806207719856745
level 1,10.0,0.9898107714701602,0.6847935548841894,0.8095238095238096
level 1,11.0,0.9747695293546822,0.6814789687924017,0.8021561189858256
level 1,12.0,0.9621542940320232,0.6786447638603696,0.7959060806742926
level 1,13.0,0.9796215429403202,0.6825557809330629,0.804542737597131
level 1,14.0,0.9868995633187773,0.6841574167507568,0.8081048867699643
level 1,15.0,0.9835031538088307,0.6834120026972353,0.8064451959419137
level 1,16.0,0.9810771470160117,0.6828774062816616,0.8052568697729987
level 1,17.0,0.9645803008248424,0.6791937137000341,0.7971130713712912
level 1,18.0,0.9679767103347889,0.679959100204499,0.7987987987987987
level 1,19.0,0.9616690926734595,0.6785347483738445,0.795664391810518
level 1,20.0,0.9582726831635129,0.6777625257378175,0.7939698492462312
level 2,0.0,0.9023746701846965,0.6074600355239786,0.7261146496815286
level 2,1.0,0.9509234828496043,0.6198830409356725,0.7505206164098294
level 2,2.0,0.9540897097625329,0.6206659800892551,0.7520798668885191
level 2,3.0,0.9440633245382586,0.6181755355908777,0.747128836917937
level 2,4.0,0.925065963060686,0.6133659902029391,0.7376393856511678
level 2,5.0,0.9736147757255936,0.6254237288135593,0.7616099071207432
level 2,6.0,0.9741424802110817,0.6255506607929515,0.7618654560462237
level 2,7.0,0.9656992084432717,0.6235093696763203,0.7577639751552796
level 2,8.0,0.9556728232189974,0.6210562414266118,0.7528580336728331
level 2,9.0,0.9799472295514512,0.6269412559081702,0.7646695491043854
