test_case,keypoint,precision,recall,f1_score
diagonal,0.0,0.9133211678832117,0.344578313253012,0.5003749062734316
diagonal,1.0,0.926094890510949,0.34772182254196643,0.5056039850560398
diagonal,2.0,0.8987226277372263,0.3409484250605746,0.49435382685069007
diagonal,3.0,0.8905109489051095,0.3388888888888889,0.4909456740442656
diagonal,4.0,0.8576642335766423,0.33052039381153303,0.47715736040609136
diagonal,5.0,0.9461678832116789,0.35260115606936415,0.5137478325489225
diagonal,6.0,0.9242700729927007,0.3472745971888927,0.50485920757538
diagonal,7.0,0.9087591240875912,0.34344827586206894,0.4984984984984985
diagonal,8.0,0.8877737226277372,0.3381995133819951,0.4898061917946136
diagonal,9.0,0.9616788321167883,0.3563218390804598,0.5199802664035521
diagonal,10.0,0.9625912408759124,0.3565393714092599,0.5203452527743527
diagonal,11.0,0.9388686131386861,0.35083532219570407,0.5107967237527923
diagonal,12.0,0.9078467153284672,0.34322180062090374,0.4981226533166458
diagonal,13.0,0.948905109489051,0.3532608695652174,0.514851485148515
diagonal,14.0,0.9562043795620438,0.35501355013550134,0.5177865612648221
diagonal,15.0,0.9452554744525548,0.3523809523809524,0.5133795837462835
diagonal,16.0,0.9343065693430657,0.34972677595628415,0.5089463220675945
diagonal,17.0,0.8978102189781022,0.3407202216066482,0.49397590361445787
diagonal,18.0,0.8932481751824818,0.33957682969129377,0.4920834380497612
diagonal,19.0,0.8914233576642335,0.3391183616799722,0.4913251194367614
diagonal,20.0,0.8832116788321168,0.3370473537604457,0.4879032258064517
horizontal,0.0,0.896887159533074,0.48680042238648363,0.6310746064339494
horizontal,1.0,0.9273670557717251,0.4951523545706371,0.6455981941309256
horizontal,2.0,0.9254215304798963,0.49462738301559794,0.6446803704540321
horizontal,3.0,0.9079118028534371,0.489853044086774,0.6363636363636364
horizontal,4.0,0.8929961089494164,0.4857142857142857,0.6291980808773132
horizontal,5.0,0.9448767833981842,0.49982847341337905,0.6538030065066187
horizontal,6.0,0.9468223086900129,0.5003427004797807,0.6547085201793722
horizontal,7.0,0.9461738002594033,0.5001714089818307,0.6544068176721237
horizontal,8.0,0.9241245136186771,0.49427679500520294,0.6440677966101696
horizontal,9.0,0.9539559014267186,0.5022191874359849,0.6580183404160144
horizontal,10.0,0.9753566796368353,0.5077650236326806,0.6678507992895204
horizontal,11.0,0.9507133592736705,0.5013679890560876,0.6565158978952083
horizontal,12.0,0.9325551232166018,0.4965469613259669,0.6480396575033799
horizontal,13.0,0.9416342412451362,0.49896907216494846,0.6522911051212938
horizontal,14.0,0.9623865110246433,0.504418762746431,0.6619090098126673
horizontal,15.0,0.959792477302205,0.5037440435670524,0.6607142857142857
horizontal,16.0,0.9494163424124513,0.5010266940451745,0.6559139784946237
horizontal,17.0,0.9241245136186771,0.49427679500520294,0.6440677966101696
horizontal,18.0,0.9293125810635539,0.4956762365963335,0.6465147755470336
horizontal,19.0,0.9234760051880675,0.49410131852879946,0.64376130198915
horizontal,20.0,0.9195849546044098,0.49304589707927676,0.641919420552286
vertical,0.0,0.9478527607361963,0.639751552795031,0.7639060568603213
vertical,1.0,0.9611451942740287,0.6429548563611491,0.7704918032786886
vertical,2.0,0.9350715746421268,0.6366167768882701,0.7575067301718783
vertical,3.0,0.9325153374233128,0.6359832635983264,0.7562189054726369
vertical,4.0,0.9095092024539877,0.6301806588735388,0.7445072190834903
vertical,5.0,0.9662576687116564,0.6441717791411042,0.7730061349693251
vertical,6.0,0.9565439672801636,0.641852487135506,0.7682200780127284
vertical,7.0,0.9493865030674846,0.640124095139607,0.7646695491043853
vertical,8.0,0.9376278118609407,0.6372480889506602,0.7587918907736865
vertical,9.0,0.9688139059304703,0.6447771350799592,0.7742594484167518
vertical,10.0,0.9790388548057259,0.6471781007096993,0.7792472024415056
vertical,11.0,0.9606339468302658,0.6428327061238454,0.7702398032383684
vertical,12.0,0.9478527607361963,0.639751552795031,0.7639060568603213
vertical,13.0,0.9591002044989775,0.6424657534246575,0.7694831829368334
vertical,14.0,0.9662576687116564,0.6441717791411042,0.7730061349693251
vertical,15.0,0.9642126789366053,0.6436860068259386,0.7720016373311502
vertical,16.0,0.9642126789366053,0.6436860068259386,0.7720016373311502
vertical,17.0,0.9330265848670757,0.6361101429069362,0.7564766839378239
vertical,18.0,0.9406952965235174,0.6380027739251041,0.7603305785123967
vertical,19.0,0.939161554192229,0.6376258243665394,0.7595617118048378
vertical,20.0,0.9304703476482618,0.6354748603351955,0.7551867219917012
