test_case,keypoint,precision,recall,f1_score
top_5,0.0,0.8748796920115496,0.3167247386759582,0.46508058326937834
top_5,1.0,0.9133782483156881,0.3261168384879725,0.48062800709040265
top_5,2.0,0.8950914340712224,0.3216879972327914,0.4732824427480916
top_5,3.0,0.8960538979788258,0.3219225449515906,0.4736708216738743
top_5,4.0,0.8816169393647738,0.3183872088981578,0.46782431052093976
top_5,5.0,0.9557266602502407,0.3361543669600542,0.4973703981968445
top_5,6.0,0.9692011549566891,0.3392857142857143,0.5026204142750187
top_5,7.0,0.9576515880654476,0.3366035182679296,0.49812265331664585
top_5,8.0,0.9307025986525506,0.3302595628415301,0.48752205697000256
top_5,9.0,0.9653512993262753,0.3383940620782726,0.5011241568823384
top_5,10.0,0.983638113570741,0.3426081126382836,0.5082048731974143
top_5,11.0,0.9817131857555341,0.3421670580342167,0.5074626865671642
top_5,12.0,0.9499518768046198,0.3348032564450475,0.4951091045899172
top_5,13.0,0.9557266602502407,0.3361543669600542,0.4973703981968445
top_5,14.0,0.971126082771896,0.3397306397306397,0.5033674232975803
top_5,15.0,0.9615014436958614,0.3375,0.49962490622655664
top_5,16.0,0.9403272377285852,0.33253914227365555,0.4913251194367613
top_5,17.0,0.9095283926852743,0.3251892635925671,0.4790874524714829
top_5,18.0,0.9268527430221367,0.329343365253078,0.485995457986374
top_5,19.0,0.9230028873917228,0.3284246575342466,0.48446577418540043
top_5,20.0,0.9143407122232916,0.32634833390587425,0.48101265822784806
bottom_5,0.0,0.8370870870870871,0.4006467840459935,0.5419198055893074
bottom_5,1.0,0.8596096096096096,0.40703874866690365,0.5524728588661036
bottom_5,2.0,0.8738738738738738,0.4110169491525424,0.5590778097982708
bottom_5,3.0,0.8828828828828829,0.41350210970464135,0.5632183908045978
bottom_5,4.0,0.8521021021021021,0.4049232964680699,0.5489721886336155
bottom_5,5.0,0.9174174174174174,0.4228373702422145,0.5788725722406443
bottom_5,6.0,0.9602102102102102,0.43400067865626063,0.5978032250525824
bottom_5,7.0,0.9444444444444444,0.4299384825700615,0.5908877407233443
bottom_5,8.0,0.9271771771771772,0.4254219772648984,0.5832349468713105
bottom_5,9.0,0.918918918918919,0.42323651452282157,0.5795454545454546
bottom_5,10.0,0.9812312312312312,0.439327731092437,0.6069189691200372
bottom_5,11.0,0.954954954954955,0.4326530612244898,0.5955056179775281
bottom_5,12.0,0.9286786786786787,0.4258175559380379,0.5839037054519707
bottom_5,13.0,0.8971471471471472,0.41739434159972055,0.5697258641239571
bottom_5,14.0,0.9624624624624625,0.43457627118644065,0.5987856141989725
bottom_5,15.0,0.9429429429429429,0.42954856361149113,0.5902255639097744
bottom_5,16.0,0.9234234234234234,0.4244306418219462,0.5815602836879432
bottom_5,17.0,0.8648648648648649,0.4085106382978723,0.5549132947976878
bottom_5,18.0,0.8956456456456456,0.41698706745893044,0.5690436441688528
bottom_5,19.0,0.8858858858858859,0.4143258426966292,0.5645933014354066
bottom_5,20.0,0.8738738738738738,0.4110169491525424,0.5590778097982708
