test_case,keypoint,precision,recall,f1_score
122,0.0,0.7760199833472107,0.7571080422420796,0.7664473684210527
122,1.0,0.8272273105745213,0.7686653771760155,0.79687186685382
122,2.0,0.8863447127393839,0.7807114044737807,0.8301813218951063
122,3.0,0.890924229808493,0.7815924032140248,0.8326848249027237
122,4.0,0.8588676103247294,0.7752724539646749,0.8149318585818683
122,5.0,0.914654454621149,0.786046511627907,0.8454877814123533
122,6.0,0.9308909242298085,0.7889908256880734,0.8540870893812069
122,7.0,0.925895087427144,0.7880935506732814,0.8514548238897396
122,8.0,0.9063280599500416,0.7845045045045045,0.8410276221750048
122,9.0,0.9167360532889259,0.7864285714285715,0.8465974625144176
122,10.0,0.9267277268942548,0.7882436260623229,0.8518943742824341
122,11.0,0.9159034138218152,0.7862759113652609,0.8461538461538461
122,12.0,0.9046627810158201,0.7841934319740166,0.8401314517687994
122,13.0,0.8980016652789342,0.782940108892922,0.8365328679464804
122,14.0,0.9204829308909243,0.7871128515485938,0.8485895221646518
122,15.0,0.9129891756869276,0.7857398781798638,0.8445984979780473
122,16.0,0.8984179850124896,0.7830188679245284,0.8367584335013571
122,17.0,0.8767693588676103,0.7788461538461539,0.8249118683901292
122,18.0,0.8830141548709409,0.780066200809121,0.8283538371411834
122,19.0,0.8771856786011657,0.7789279112754159,0.8251419620129234
122,20.0,0.8705245628642798,0.7776124953514317,0.8214496169711256
488,0.0,0.9967592592592592,0.719345138656866,0.8356297302542208
488,1.0,0.9986111111111111,0.7197197197197197,0.8365328679464805
488,2.0,0.9986111111111111,0.7197197197197197,0.8365328679464805
488,3.0,0.9958333333333333,0.7191574724172518,0.8351776354105999
488,4.0,0.9902777777777778,0.7180261832829808,0.8324576765907764
488,5.0,0.999537037037037,0.7199066355451818,0.8369839116107772
488,6.0,0.999537037037037,0.7199066355451818,0.8369839116107772
488,7.0,0.999537037037037,0.7199066355451818,0.8369839116107772
488,8.0,0.9990740740740741,0.7198132088058706,0.8367584335013571
488,9.0,0.999537037037037,0.7199066355451818,0.8369839116107772
488,10.0,0.999537037037037,0.7199066355451818,0.8369839116107772
488,11.0,0.999537037037037,0.7199066355451818,0.8369839116107772
488,12.0,0.9990740740740741,0.7198132088058706,0.8367584335013571
488,13.0,0.999537037037037,0.7199066355451818,0.8369839116107772
488,14.0,0.999537037037037,0.7199066355451818,0.8369839116107772
488,15.0,0.999537037037037,0.7199066355451818,0.8369839116107772
488,16.0,0.9990740740740741,0.7198132088058706,0.8367584335013571
488,17.0,0.9986111111111111,0.7197197197197197,0.8365328679464805
488,18.0,0.9981481481481481,0.719626168224299,0.8363072148952675
488,19.0,0.9967592592592592,0.719345138656866,0.8356297302542208
488,20.0,0.9958333333333333,0.7191574724172518,0.8351776354105999
