occlusion_on,keypoint,precision,recall,f1_score
thumb,0.0,0.9855252274607114,0.8037099494097808,0.8853798996841911
thumb,1.0,0.9851116625310173,0.8036437246963563,0.8851727982162764
thumb,2.0,0.923490488006617,0.7932504440497335,0.8534301547869292
thumb,3.0,0.8970223325062034,0.7884405670665212,0.8392338943702844
thumb,4.0,0.7857733664185277,0.765511684125705,0.7755102040816326
thumb,5.0,0.9884201819685691,0.8041722745625841,0.8868274582560296
thumb,6.0,0.9714640198511166,0.8014329580348004,0.8782950084127875
thumb,7.0,0.9574028122415219,0.7991025198481188,0.8711194731890874
thumb,8.0,0.9404466501240695,0.7962184873949579,0.8623435722411832
thumb,9.0,0.9995864350703061,0.8059353117705902,0.8923758537936127
thumb,10.0,0.9991728701406121,0.8058705803869246,0.8921713441654358
thumb,11.0,0.9971050454921423,0.8055462746408286,0.8911476621696546
thumb,12.0,0.9851116625310173,0.8036437246963563,0.8851727982162764
thumb,13.0,0.9971050454921423,0.8055462746408286,0.8911476621696546
thumb,14.0,0.9979321753515302,0.8056761268781302,0.8915573619065212
thumb,15.0,0.9913151364764268,0.8046324269889225,0.8882712618121179
thumb,16.0,0.9801488833746899,0.8028455284552846,0.88268156424581
thumb,17.0,0.9698097601323408,0.8011615989067304,0.8774555659494855
thumb,18.0,0.9532671629445822,0.7984066505022515,0.8689915174363807
thumb,19.0,0.9433416046319272,0.7967167307020607,0.8638515432683203
thumb,20.0,0.9313482216708023,0.7946365561044461,0.8575780654988576
index_finger,0.0,0.9931885908897403,0.7818364611260054,0.8749296831051939
index_finger,1.0,0.9833971902937421,0.7801418439716312,0.8700564971751412
index_finger,2.0,0.9608343976160069,0.7761348005502063,0.8586646376260225
index_finger,3.0,0.9595572584078331,0.7759036144578313,0.8580129425199848
index_finger,4.0,0.9399744572158365,0.7722980062959076,0.847926267281106
index_finger,5.0,0.9859514687100894,0.7805864509605662,0.871331828442438
index_finger,6.0,0.9782886334610472,0.7792472024415056,0.8674971687429218
index_finger,7.0,0.9625372498935717,0.7764423076923077,0.8595324082873979
index_finger,8.0,0.9157088122605364,0.7676659528907923,0.8351776354105999
