occlusion_level,precision,recall,f1_score
level 1,0.9829992994686213,0.9278606563986775,0.9546344539209504
level 2,0.9805471887550201,0.8833239118145845,0.9293998691488728
level 3,0.9784854838405017,0.8373935112591132,0.9024581453284787
level 4,0.9723084886128365,0.7927575516564138,0.8734006312532971
level 5,0.9681908966677178,0.7489713272724315,0.8445879030187433
level 6,0.9546772435228353,0.6742292697310225,0.790310966887163
level 7,0.9502634298822759,0.617693807658905,0.7487089854611901
level 8,0.9511761001122703,0.5674240815459758,0.7108128018335107
level 9,0.9554512802687986,0.536689336500602,0.6873085658325173
level 10,0.9384715025906736,0.4987951807228916,0.6513823331085636
level 11,0.9386969228124463,0.4459872257706193,0.6046820668423734
level 12,0.9336241936085319,0.40896765762822607,0.5687835796312913
level 13,0.9332447022802353,0.3776306995093165,0.537689317008066
level 14,0.947134786117837,0.3416800116465279,0.5021932170749973
level 15,0.9531024531024531,0.29785794813979705,0.4538739048273492
level 16,0.9555220505088579,0.24417260643421307,0.3889528193325662
level 17,0.9596044603408374,0.21919454056132257,0.3568717968780564
level 18,0.9717405266538215,0.16893702545779365,0.2878341101493389
level 19,0.9650220913107511,0.12537670413776608,0.22192117183861818
level 20,0.9671646436352319,0.09898230581789803,0.17958534999638806
level 21,0.9616640880178786,0.08910906860792965,0.16310464472111263
