occlusion_level,precision,recall,f1_score
level 1,0.9821149116923765,0.9217075532601678,0.9509528844632793
level 2,0.982450664169528,0.9139510873072207,0.9469637454660939
level 3,0.9758655547131665,0.8767169939834261,0.9236381032111464
level 4,0.9668086717788507,0.8337061407089327,0.8953376233978012
level 5,0.9299928926794598,0.7458215285577777,0.8277870293704472
level 6,0.9019729866777302,0.6661276320492961,0.7663145114703378
level 7,0.8862792574656981,0.5605124802205094,0.6867202401425847
level 8,0.8718259141987955,0.47706001256985614,0.6166767305264313
level 9,0.8452287873710861,0.38580629811532385,0.5297892697953374
level 10,0.8380470975247724,0.3542899784610688,0.4980331386339254
level 11,0.8287400701193804,0.31575387632944996,0.4572813869774959
level 12,0.8128472763151062,0.26353626506835476,0.39802677583817525
level 13,0.7844263919159897,0.19882482924869427,0.3172402740494411
level 14,0.7603603603603604,0.14719218695500524,0.24663939216832262
level 15,0.7556315939549473,0.13155935064290325,0.22410147991543342
level 16,0.7435992578849722,0.09867546407996455,0.1742305685967658
level 17,0.7147046501885211,0.08396082484374232,0.15026865145776447
level 18,0.622822299651568,0.034764428453347596,0.06585309693760073
level 19,0.6056751467710372,0.030052920328203135,0.05726444331375179
level 20,0.6078643578643579,0.027215608999725423,0.05209863183118189
level 21,0.6255238095238095,0.026476611251753553,0.05080288357414684
