occlusion_level,precision,recall,f1_score
level 1,0.9792371925073347,0.9126755549802602,0.9447854815881815
level 2,0.9758342922899885,0.8661899897854954,0.9177489177489178
level 3,0.9730831651031152,0.7976314081765088,0.876664943030865
level 4,0.9603972765319507,0.7549346950800353,0.845360824742268
level 5,0.9520089285714286,0.7154275001233411,0.8169347342328386
level 6,0.948262830036229,0.596279603376219,0.7321647783300799
level 7,0.9420744458385613,0.5164507623524017,0.6671603109959274
level 8,0.9397235440743259,0.4748110831234257,0.6308663573438806
level 9,0.9357993197278912,0.46878123105657227,0.6246493401591477
level 10,0.9194890077243019,0.3545652422957956,0.5117817279867714
level 11,0.890827067669173,0.29219690243661833,0.44005348388055265
level 12,0.8721229019736483,0.26296961804124563,0.4040936265072449
level 13,0.8516865079365079,0.2562304133711386,0.39394287025352753
level 14,0.8664596273291926,0.1080557707203718,0.1921487603305785
level 15,0.7898193760262726,0.07793259883344135,0.14186698127119893
level 16,0.7321218239946156,0.0708539603960396,0.12920372377544503
level 17,0.7112193362193362,0.06421928695907099,0.11780171190415727
level 18,0.715496368038741,0.028461353238622682,0.0547450326524941
level 19,0.6558915537017727,0.03043057571359458,0.058162651995006705
level 20,0.6407515387107224,0.03195941251555153,0.06088214472590722
level 21,0.6288080449571133,0.034431937808729454,0.06528882473973528
