occlusion_level,keypoint,precision,recall,f1_score
level 1,0.0,0.9967614249730119,0.9261116683383483,0.9601386481802426
level 1,1.0,0.9949622166246851,0.9259879437374414,0.9592367736339982
level 1,2.0,0.9715725080964376,0.9243409791167408,0.9473684210526315
level 1,3.0,0.9614969413458079,0.9236087106809541,0.9421720733427362
level 1,4.0,0.9435048578625405,0.9222652128033767,0.9327641408751334
level 1,5.0,0.9942425332853544,0.9259383378016086,0.9588755856324831
level 1,6.0,0.9852464915437208,0.9253126056100034,0.9543394911118857
level 1,7.0,0.9805685498380713,0.9249830278343517,0.9519650655021835
level 1,8.0,0.9733717164447643,0.9244702665755298,0.9482909728308501
level 1,9.0,1.0,0.9263333333333333,0.9617580896348848
level 1,10.0,0.9992803166606693,0.9262841894596398,0.9613986498182447
level 1,11.0,0.9964015833033465,0.9260869565217391,0.9599583983359335
level 1,12.0,0.9881252249010435,0.9255139871924503,0.9557953358858337
level 1,13.0,0.9974811083123426,0.9261610424323421,0.9604989604989604
level 1,14.0,0.9974811083123426,0.9261610424323421,0.9604989604989604
level 1,15.0,0.9888449082403742,0.9255641630178512,0.9561586638830898
level 1,16.0,0.9798488664987406,0.9249320652173914,0.9515988118119868
level 1,17.0,0.9841669665347247,0.9252368064952639,0.9537925021795989
level 1,18.0,0.9737315581144297,0.9244960710625214,0.9484752891692956
level 1,19.0,0.9618567830154732,0.9236351071181755,0.9423585404547858
level 1,20.0,0.9510615329255128,0.9228351955307262,0.936735778841042
level 2,0.0,0.9959795321637427,0.9116761458681834,0.9519650655021834
level 2,1.0,0.9941520467836257,0.9115281501340483,0.951048951048951
level 2,2.0,0.9703947368421053,0.9095580678314491,0.9389920424403183
level 2,3.0,0.9586988304093568,0.9085555940422584,0.9329539391783745
level 2,4.0,0.9422514619883041,0.9071076706544687,0.9243456435998566
level 2,5.0,0.9941520467836257,0.9115281501340483,0.951048951048951
level 2,6.0,0.9846491228070176,0.9107505070993914,0.9462592202318229
level 2,7.0,0.9791666666666666,0.910295616717635,0.9434759640781827
level 2,8.0,0.972953216374269,0.9097744360902256,0.9403037795831862
level 2,9.0,0.9996345029239766,0.9119706568856285,0.953792502179599
level 2,10.0,0.9992690058479532,0.9119412941961308,0.9536100453435647
level 2,11.0,0.9970760233918129,0.9117647058823529,0.952513966480447
level 2,12.0,0.9904970760233918,0.9112306657700068,0.9492119089316988
level 2,13.0,1.0,0.912,0.9539748953974896
level 2,14.0,0.998172514619883,0.9118530884808014,0.9530622927935788
level 2,15.0,0.9894005847953217,0.9111410299562437,0.9486595409146663
level 2,16.0,0.9802631578947368,0.9103869653767821,0.9440337909186906
level 2,17.0,0.9839181286549707,0.9106901217861976,0.9458889669711876
level 2,18.0,0.9762426900584795,0.9100511073253833,0.9419855404690531
level 2,19.0,0.9649122807017544,0.9090909090909091,0.9361702127659574
level 2,20.0,0.9568713450292398,0.9083969465648855,0.932004271982912
level 3,0.0,0.9770873786407767,0.8554913294797688,0.9122552574329224
level 3,1.0,0.9879611650485437,0.8568541596497137,0.9177489177489179
level 3,2.0,0.9580582524271845,0.853042876901798,0.9025059447594659
level 3,3.0,0.949126213592233,0.8518647612408504,0.8978692138133725
level 3,4.0,0.9285436893203883,0.8490767045454546,0.8870339454646634
level 3,5.0,0.9906796116504855,0.8571908602150538,0.9191136732120339
level 3,6.0,0.9766990291262136,0.8554421768707483,0.9120580235720761
level 3,7.0,0.9704854368932039,0.8546511627906976,0.9088925259138024
level 3,8.0,0.9576699029126213,0.8529920442753373,0.9023051591657519
level 3,9.0,0.9984466019417476,0.8581441922563418,0.9229940764674207
level 3,10.0,0.9984466019417476,0.8581441922563418,0.9229940764674207
level 3,11.0,0.9957281553398059,0.8578119772499163,0.9216391085549965
level 3,12.0,0.9871844660194175,0.856757667677789,0.9173583543846987
level 3,13.0,0.9980582524271845,0.8580968280467446,0.9228007181328546
level 3,14.0,0.9957281553398059,0.8578119772499163,0.9216391085549965
level 3,15.0,0.98873786407767,0.856950521709862,0.9181391994230076
level 3,16.0,0.9770873786407767,0.8554913294797688,0.9122552574329224
level 3,17.0,0.974757281553398,0.8551959114139693,0.911070780399274
level 3,18.0,0.9646601941747572,0.8539016844276384,0.9059080962800875
level 3,19.0,0.9580582524271845,0.853042876901798,0.9025059447594659
level 3,20.0,0.9487378640776699,0.851813110181311,0.897666727907404
level 4,0.0,0.9511201629327902,0.8107638888888888,0.8753514526710402
level 4,1.0,0.9694501018329938,0.8136752136752137,0.8847583643122676
level 4,2.0,0.9283095723014256,0.8070113314447592,0.8634211024815307
level 4,3.0,0.914867617107943,0.8047294876388391,0.8562714449104079
level 4,4.0,0.8676171079429735,0.7962616822429907,0.8304093567251463
level 4,5.0,0.9845213849287169,0.8160027008777853,0.8923758537936127
level 4,6.0,0.9694501018329938,0.8136752136752137,0.8847583643122676
level 4,7.0,0.9556008146639511,0.8114839156001383,0.877665544332211
level 4,8.0,0.9421588594704684,0.8093072078376488,0.870694522868436
level 4,9.0,0.9971486761710794,0.8179084530571333,0.8986784140969163
level 4,10.0,0.9975560081466395,0.8179692718770875,0.8988805285373463
level 4,11.0,0.9951120162932791,0.8176037483266398,0.897666727907404
level 4,12.0,0.9857433808553971,0.8161888701517707,0.8929889298892989
level 4,13.0,0.9975560081466395,0.8179692718770875,0.8988805285373463
level 4,14.0,0.9967413441955193,0.8178475935828877,0.8984762254451992
level 4,15.0,0.990224032586558,0.8168682795698925,0.8952310808322592
level 4,16.0,0.9735234215885947,0.8143100511073254,0.8868274582560296
level 4,17.0,0.9686354378818737,0.8135477249401301,0.8843436221643733
level 4,18.0,0.9531568228105907,0.8110918544194108,0.8764044943820225
level 4,19.0,0.9425661914460285,0.8093739069604757,0.8709070380127965
level 4,20.0,0.9274949083503055,0.8068745570517364,0.8629903354178511
level 5,0.0,0.9455875628715135,0.7178063172509546,0.8161010260457775
level 5,1.0,0.9428440786465477,0.7172173913043478,0.814697747925721
level 5,2.0,0.8513946044810242,0.6960747663551402,0.7659399424105306
level 5,3.0,0.8052126200274349,0.6841491841491841,0.739760554505356
level 5,4.0,0.6748971193415638,0.6448230668414154,0.6595174262734584
level 5,5.0,0.9679926840420667,0.7225255972696246,0.8274379519249562
level 5,6.0,0.9433013260173754,0.7173157162726008,0.8149318585818685
level 5,7.0,0.928212162780064,0.7140344706296166,0.8071570576540754
level 5,8.0,0.9053497942386831,0.7089151450053706,0.7951807228915664
level 5,9.0,0.9954275262917238,0.7280936454849498,0.8410276221750048
level 5,10.0,0.9958847736625515,0.728184553660983,0.8412514484356894
level 5,11.0,0.9908550525834476,0.7271812080536912,0.8387845945422876
level 5,12.0,0.9775948788294467,0.7245001694340901,0.8322304398598677
level 5,13.0,0.9949702789208962,0.7280026764804283,0.8408037094281298
level 5,14.0,0.9926840420667581,0.7275469168900804,0.8396828466447496
level 5,15.0,0.984453589391861,0.7258934592043156,0.8356297302542209
level 5,16.0,0.9643347050754458,0.7217659137577002,0.8256018790369936
level 5,17.0,0.9469593049839964,0.7180998613037448,0.8168014198382962
level 5,18.0,0.9172382258802012,0.7115998581057112,0.8014382740711147
level 5,19.0,0.8984910836762688,0.7073434125269978,0.7915407854984895
level 5,20.0,0.8843164151806127,0.7040407717510011,0.7839481151195785
level 6,0.0,0.9255102040816326,0.6355991590749824,0.7536352305774824
level 6,1.0,0.8969387755102041,0.6283059328091494,0.7389659520807061
level 6,2.0,0.7397959183673469,0.5823293172690763,0.651685393258427
level 6,3.0,0.6729591836734694,0.5591352267910131,0.6107895346144941
level 6,4.0,0.5362244897959184,0.5026303204208513,0.5188842261170081
level 6,5.0,0.948469387755102,0.6412556053811659,0.765178020168759
level 6,6.0,0.9224489795918367,0.6348314606741573,0.7520798668885192
level 6,7.0,0.9051020408163265,0.6304193319118693,0.7431922915793884
level 6,8.0,0.875,0.6225045372050817,0.7274655355249205
level 6,9.0,0.9928571428571429,0.651707970529136,0.7868985038414882
level 6,10.0,0.9954081632653061,0.6522902039451688,0.788123611391638
level 6,11.0,0.9892857142857143,0.6508895602551191,0.7851791860700547
level 6,12.0,0.9693877551020408,0.6462585034013606,0.7755102040816327
level 6,13.0,0.9943877551020408,0.652057544329207,0.787633865427359
level 6,14.0,0.9923469387755102,0.6515912897822446,0.7866531850353893
level 6,15.0,0.9806122448979592,0.6488858879135719,0.7809833401056482
level 6,16.0,0.960204081632653,0.6440793976728268,0.7709954936501434
level 6,17.0,0.9357142857142857,0.6381350034794712,0.7587918907736864
level 6,18.0,0.888265306122449,0.6260338007910824,0.7344442100822611
level 6,19.0,0.8678571428571429,0.620576431959139,0.7236758136566689
level 6,20.0,0.851530612244898,0.6160944998154301,0.714928250160634
level 7,0.0,0.929510155316607,0.5399028452463567,0.6830553116769096
level 7,1.0,0.8769414575866189,0.525411596277738,0.657117278424351
level 7,2.0,0.6935483870967742,0.46682750301568154,0.5580389329488104
level 7,3.0,0.600358422939068,0.43114543114543114,0.50187265917603
level 7,4.0,0.48566308243727596,0.3800841514726508,0.4264358772619984
level 7,5.0,0.929510155316607,0.5399028452463567,0.6830553116769096
level 7,6.0,0.8918757467144564,0.5296204327775808,0.6645893612285778
level 7,7.0,0.8715651135005974,0.5238779174147217,0.6544068176721238
level 7,8.0,0.8369175627240143,0.5137513751375138,0.6366734832992501
level 7,9.0,0.9886499402628435,0.5551828245555183,0.7110633727175081
level 7,10.0,0.9904420549581839,0.5556300268096515,0.7118935165306999
level 7,11.0,0.982078853046595,0.5535353535353535,0.7080103359173127
level 7,12.0,0.9611708482676224,0.5482112436115844,0.6981991755261444
level 7,13.0,0.9922341696535245,0.5560763307666555,0.7127225917185154
level 7,14.0,0.9910394265232975,0.5557788944723618,0.7121699935608499
level 7,15.0,0.980884109916368,0.5532345013477089,0.7074536837570014
