test_case,keypoint,precision,recall,f1_score
level 1,0.0,0.9967236985802694,0.9154129053828152,0.9543394911118857
level 1,1.0,0.9938114306516199,0.9151860543077439,0.9528795811518325
level 1,2.0,0.9712413542045868,0.9133858267716536,0.9414255469301341
level 1,3.0,0.9592282489989079,0.9123961218836565,0.935226264418811
level 1,4.0,0.9399344739716053,0.9107583774250441,0.9251164457183805
level 1,5.0,0.9934473971605388,0.9151576123407109,0.9526968057252574
level 1,6.0,0.9839825263924281,0.9144113667117727,0.9479221462388218
level 1,7.0,0.9767018565708045,0.9138283378746594,0.9442196023227168
level 1,8.0,0.9668729523116126,0.9130285321416294,0.9391796322489392
level 1,9.0,1.0,0.9156666666666666,0.9559770314946928
level 1,10.0,0.9985438660356752,0.9155540720961282,0.9552498694062337
level 1,11.0,0.9949035311248635,0.9152712659075687,0.9534275248560963
level 1,12.0,0.9872588278121587,0.9146711635750422,0.9495798319327732
level 1,13.0,0.9985438660356752,0.9155540720961282,0.9552498694062337
level 1,14.0,0.9974517655624318,0.9154694286668894,0.9547038327526132
level 1,15.0,0.9901710957408082,0.9149007736293306,0.951048951048951
level 1,16.0,0.9799781579905351,0.9140916808149406,0.9458889669711876
level 1,17.0,0.9843465598835093,0.9144403111261413,0.9481065918653576
level 1,18.0,0.9730615216599927,0.9135338345864662,0.9423585404547858
level 1,19.0,0.9610484164543138,0.9125475285171103,0.9361702127659575
level 1,20.0,0.9504914452129596,0.9116620111731844,0.9306718944929603
level 2,0.0,0.9911775987725355,0.8679879072892174,0.9255014326647565
level 2,1.0,0.9923283467587265,0.8681208053691275,0.9260783962770718
level 2,2.0,0.9597238204833142,0.8642487046632125,0.9094874591057798
level 2,3.0,0.9332566168009206,0.8609341825902336,0.895637769188294
level 2,4.0,0.905638665132336,0.8572984749455338,0.880805819809737
level 2,5.0,0.9923283467587265,0.8681208053691275,0.9260783962770718
level 2,6.0,0.9838895281933256,0.8671399594320487,0.921832884097035
level 2,7.0,0.9739163789796701,0.8659618008185539,0.9167719805018957
level 2,8.0,0.9624088991177598,0.8645761543762922,0.9108731167180977
level 2,9.0,0.9992328346758726,0.8689126084056037,0.9295272078501338
level 2,10.0,0.998849252013809,0.8688688688688688,0.9293361884368309
level 2,11.0,0.9957805907172996,0.8685178989628638,0.9278055754110079
level 2,12.0,0.9842731108553894,0.8671848597499155,0.9220265900107798
level 2,13.0,0.997698504027618,0.8687374749498998,0.9287627209426887
level 2,14.0,0.998849252013809,0.8688688688688688,0.9293361884368309
level 2,15.0,0.9896432681242808,0.8678102926337034,0.924731182795699
level 2,16.0,0.9773686229382432,0.8663719823189391,0.9185291997116078
level 2,17.0,0.9754507096279248,0.8661444141689373,0.9175536712971316
level 2,18.0,0.9647103950901419,0.8648555708390646,0.9120580235720761
level 2,19.0,0.9532029152282316,0.8634468380820014,0.9061075660893345
level 2,20.0,0.9436133486766398,0.8622502628811777,0.9010989010989011
level 3,0.0,0.9841269841269841,0.8166160081053698,0.8925802879291251
level 3,1.0,0.9877899877899878,0.8171717171717172,0.8944168048645661
level 3,2.0,0.9499389499389499,0.8112617309697602,0.875140607424072
level 3,3.0,0.9267399267399268,0.8074468085106383,0.8629903354178511
level 3,4.0,0.8795278795278795,0.7991863905325444,0.8374346056965704
level 3,5.0,0.989010989010989,0.8173562058526741,0.8950276243093922
level 3,6.0,0.978021978021978,0.8156822810590632,0.8895058300943921
level 3,7.0,0.967032967032967,0.8139773895169579,0.8839285714285715
level 3,8.0,0.9552299552299552,0.8121107266435986,0.8778754441743033
level 3,9.0,0.9987789987789988,0.8188188188188188,0.8998899889988999
level 3,10.0,0.9987789987789988,0.8188188188188188,0.8998899889988999
level 3,11.0,0.9955229955229955,0.8183338909334226,0.8982739625413148
level 3,12.0,0.9853479853479854,0.8168016194331984,0.8931931377974544
level 3,13.0,0.995929995929996,0.8183946488294315,0.8984762254451992
