occlusion_level,precision,recall,f1_score
level 1,0.95796783625731,0.9084922010398614,0.9325742750400285
level 2,0.934858472276076,0.8513418079096046,0.8911476621696545
level 3,0.897822445561139,0.7779390420899854,0.833592534992224
level 4,0.825,0.7231833910034602,0.7707437000614628
level 5,0.7354014598540146,0.6661157024793388,0.6990459670424978
level 6,0.7118279569892473,0.5373376623376623,0.6123959296947271
level 7,0.6460980036297641,0.4422360248447205,0.5250737463126844
level 8,0.589974293059126,0.388653683319221,0.4686064318529862
level 9,0.5532759761747187,0.35956989247311827,0.43587069864442124
level 10,0.5267175572519084,0.2542997542997543,0.34299917149958575
level 11,0.46934673366834173,0.18891585760517798,0.2693971733487165
level 12,0.3743016759776536,0.13729508196721313,0.20089955022488754
level 13,0.2956043956043956,0.11403136922424756,0.16457632303456715
level 14,0.3390804597701149,0.04259927797833935,0.07568954457985888
level 15,0.2623574144486692,0.02459016393442623,0.04496578690127077
level 16,0.20866141732283464,0.01893533404787424,0.03471994759253194
level 17,0.14772727272727273,0.014054054054054054,0.025666337611056272
level 18,0.0896551724137931,0.004532775453277545,0.0086292731496847
level 19,0.05917159763313609,0.0035198873636043647,0.0066445182724252485
level 20,0.030927835051546393,0.0021337126600284497,0.003992015968063873
level 21,0.01951219512195122,0.0014290818149339049,0.002663115845539281
