occlusion_level,precision,recall,f1_score
level 1,0.9668945663907881,0.9240027510316369,0.9449621944786354
level 2,0.9649122807017544,0.9090909090909091,0.9361702127659574
level 3,0.9180582524271844,0.847615632843313,0.8814317673378076
level 4,0.8553971486761711,0.7939508506616257,0.8235294117647058
level 5,0.7453132144490169,0.6672124437167417,0.7041036717062634
level 6,0.6520408163265307,0.551337359792925,0.5974754558204768
level 7,0.5937873357228196,0.42844827586206896,0.4977466199298949
level 8,0.5525210084033614,0.3341804320203304,0.41646872525732387
level 9,0.46036829463570855,0.2472055030094583,0.32167832167832167
level 10,0.4511469838572642,0.2255734919286321,0.3007646559048428
level 11,0.4353932584269663,0.1939924906132666,0.26839826839826836
level 12,0.41832229580573954,0.15325515568135867,0.22432672388280558
level 13,0.3553370786516854,0.09956709956709957,0.15554872425453425
level 14,0.3274647887323944,0.07104660045836517,0.1167608286252354
level 15,0.29354207436399216,0.05683971201212581,0.09523809523809525
level 16,0.289044289044289,0.04601113172541744,0.07938540332906531
level 17,0.24867724867724866,0.03460972017673049,0.0607627666451196
level 18,0.20704845814977973,0.016666666666666666,0.030850016409583195
level 19,0.17452830188679244,0.013097345132743363,0.024366150806717154
level 20,0.15841584158415842,0.011307420494699646,0.021108179419525062
level 21,0.14736842105263157,0.009866102889358703,0.018494055482166444
