occlusion_level,precision,recall,f1_score
level 1,0.9662719770362397,0.926703372333104,0.9460741261197964
level 2,0.9653614457831325,0.8817056396148556,0.9216391085549964
level 3,0.9539865132883776,0.8339112343966713,0.8899167437557817
level 4,0.931438127090301,0.7856135401974612,0.8523335883703137
level 5,0.915673289183223,0.7383410466358135,0.8175009854158455
level 6,0.9094008767657087,0.6634683724235964,0.7672077254982537
level 7,0.8962413975648491,0.6037803138373752,0.7215001065416577
level 8,0.8907418056354227,0.5512455516014235,0.6810287975379204
level 9,0.8838199513381995,0.5172659309362763,0.6525937570177408
level 10,0.8976683937823834,0.4876847290640394,0.6320109439124487
level 11,0.9010830324909748,0.43590639189661196,0.5875706214689265
level 12,0.889584964761159,0.39734172787688005,0.5493230174081237
level 13,0.8722504230118443,0.3618813618813619,0.5115355991069214
level 14,0.8973634651600754,0.32964372189553787,0.48216544396660765
level 15,0.895021645021645,0.2848777127109886,0.43219231774235695
level 16,0.899736147757256,0.2332421340629275,0.3704508419337317
level 17,0.914580265095729,0.21108089734874236,0.3429991714995858
level 18,0.9229287090558767,0.16182432432432434,0.27536648462201785
level 19,0.8891752577319587,0.11667230300980724,0.20627802690582958
level 20,0.8856209150326797,0.09139966273187183,0.1656985631305411
level 21,0.8664259927797834,0.08099898751265609,0.14814814814814814
