test_case,precision,recall,f1_score
level 1,0.9621405169275573,0.9126381215469613,0.9367357788410421
level 2,0.934023782125048,0.861032531824611,0.8960441582336708
level 3,0.9051689051689051,0.8037585833032165,0.8514548238897398
level 4,0.8611470461405778,0.7457057505601195,0.7992795677406443
level 5,0.7966561229100768,0.6913725490196079,0.7402897333613269
level 6,0.7714592274678111,0.5586635586635587,0.6480396575033799
level 7,0.7239902080783354,0.4641035700274618,0.5656227587855606
level 8,0.6985743380855397,0.4025821596244131,0.5107967237527923
level 9,0.6638418079096046,0.3724247226624406,0.4771573604060914
level 10,0.6977152899824253,0.2989457831325301,0.4185556141275698
level 11,0.6776595744680851,0.23618835743418612,0.3502886994775914
level 12,0.5934959349593496,0.19283018867924528,0.291085160922814
level 13,0.5499383477188656,0.16925996204933585,0.25885084155542654
level 14,0.6590909090909091,0.10175438596491228,0.1762917933130699
level 15,0.5449275362318841,0.0661273302849103,0.11794228356336262
level 16,0.46808510638297873,0.04631578947368421,0.0842911877394636
level 17,0.36996336996337,0.03571428571428571,0.06514027732989358
level 18,0.21739130434782608,0.012178148921363952,0.023064250411861612
level 19,0.11851851851851852,0.0055536272127733426,0.010610079575596816
level 20,0.07051282051282051,0.003852889667250438,0.0073065426768515445
level 21,0.07317073170731707,0.004213483146067416,0.00796812749003984
