occlusion_level,precision,recall,f1_score
level 1,0.9646081617912604,0.9203997243280496,0.941985540469053
level 2,0.965768390386016,0.9125946317962835,0.9384288747346072
level 3,0.9359363153904473,0.8721299894030378,0.9029072956664838
level 4,0.9021868787276341,0.8238925199709514,0.8612639969633705
level 5,0.7914837576821774,0.714059405940594,0.7507807620237352
level 6,0.7270087124878993,0.6165845648604269,0.6672589960017768
level 7,0.6796610169491526,0.49445129469790383,0.5724482512491078
level 8,0.6544980443285529,0.4064777327935223,0.5014985014985015
level 9,0.5605942142298671,0.2940935192780968,0.38579499596448746
level 10,0.5543386689132266,0.26628895184135976,0.3597594313832695
level 11,0.5181733457595527,0.2239226741844543,0.312710911136108
level 12,0.4765539803707743,0.1734126984126984,0.25429153331393656
level 13,0.40360610263522884,0.1132295719844358,0.17684594348222424
level 14,0.3567567567567568,0.07491486946651532,0.12382739212007504
level 15,0.3413173652694611,0.06404494382022471,0.10785241248817405
level 16,0.33506493506493507,0.04701166180758017,0.08245445829338448
level 17,0.2903225806451613,0.03589557650471356,0.06389157792836399
level 18,0.18292682926829268,0.0104675505931612,0.019801980198019802
level 19,0.1506849315068493,0.0076495132127955496,0.014559894109861018
level 20,0.13636363636363635,0.006237006237006237,0.011928429423459246
level 21,0.112,0.004845967462789893,0.0092899800928998
