occlusion_level,precision,recall,f1_score
level 1,0.962449872402479,0.9112875388332758,0.9361702127659575
level 2,0.9397775220560031,0.8617657404150545,0.8990825688073395
level 3,0.914380714879468,0.7874015748031497,0.8461538461538461
level 4,0.8592041976388282,0.7337565347274085,0.7915407854984894
level 5,0.7982536764705882,0.6782506833268255,0.733375554148195
level 6,0.7854406130268199,0.5502300613496932,0.6471251409244644
level 7,0.7459222082810539,0.4581888246628131,0.56767724994032
level 8,0.69068660774983,0.3992141453831041,0.5059760956175299
level 9,0.6456043956043956,0.3784219001610306,0.47715736040609136
level 10,0.6657754010695187,0.2845714285714286,0.3987189751801441
level 11,0.588421052631579,0.21425833652740514,0.3141331834785052
level 12,0.49598163030998854,0.1686841077704022,0.2517482517482518
level 13,0.41087962962962965,0.14251304696908873,0.21162444113263787
level 14,0.5,0.06534090909090909,0.11557788944723618
level 15,0.33448275862068966,0.034556465977912364,0.06264126574103972
level 16,0.2579505300353357,0.026164874551971327,0.04751057598438009
level 17,0.20833333333333334,0.019706198495163023,0.03600654664484452
level 18,0.2288135593220339,0.009281540048126504,0.017839444995044598
level 19,0.08759124087591241,0.0041739130434782605,0.007968127490039839
level 20,0.09523809523809523,0.004883153121730032,0.009289980092899802
level 21,0.037267080745341616,0.00210896309314587,0.003992015968063872
