occlusion_level,precision,recall,f1_score
level 1,0.9683908045977011,0.9258241758241759,0.9466292134831462
level 2,0.9698838896952104,0.9163524168666438,0.9423585404547857
level 3,0.9275085845097291,0.8651245551601423,0.8952310808322592
level 4,0.889248181083266,0.8070432868672047,0.8461538461538461
level 5,0.763544536271809,0.669215291750503,0.7132747158481664
level 6,0.6855828220858896,0.5622641509433962,0.61782999308915
level 7,0.6268656716417911,0.4421052631578947,0.5185185185185185
level 8,0.5652173913043478,0.3317991631799163,0.4181386765093593
level 9,0.46569468267581476,0.22843920908708457,0.3065198983911939
level 10,0.4578313253012048,0.20455486542443063,0.2827704636519748
level 11,0.42057026476578413,0.16988893459481694,0.24201582185760326
level 12,0.3829787234042553,0.12205823693657758,0.1851179673321234
level 13,0.33064516129032256,0.07930367504835589,0.12792511700468018
level 14,0.26195426195426197,0.047637051039697544,0.08061420345489442
level 15,0.24879227053140096,0.03830420230568985,0.06638736706413148
level 16,0.23300970873786409,0.026058631921824105,0.046875
level 17,0.21323529411764705,0.0208183776022972,0.03793328973185088
level 18,0.1732283464566929,0.0075993091537132984,0.01455989410986102
level 19,0.14545454545454545,0.0055058499655884375,0.010610079575596816
level 20,0.12871287128712872,0.004464285714285714,0.008629273149684698
level 21,0.10784313725490197,0.0037813681677552422,0.007306542676851544
