test_case,keypoint,precision,recall,f1_score
top_5,0.0,0.9695201037613489,0.5062648154419235,0.6651835372636262
top_5,1.0,0.9643320363164721,0.5049235993208828,0.662803655003343
top_5,2.0,0.9461738002594033,0.5001714089818307,0.6544068176721237
top_5,3.0,0.9422827496757458,0.4991411885949845,0.6525937570177408
top_5,4.0,0.9286640726329443,0.4955017301038062,0.6462093862815884
top_5,5.0,0.9941634241245136,0.5125376128385155,0.6763732627399073
top_5,6.0,0.9857328145265889,0.5104096709200806,0.672566371681416
top_5,7.0,0.9779507133592736,0.5084288604180714,0.6690328305235137
top_5,8.0,0.9539559014267186,0.5022191874359849,0.6580183404160144
top_5,9.0,0.9987029831387808,0.513675783855904,0.6784140969162997
top_5,10.0,0.996757457846952,0.5131886477462437,0.6775402248181618
top_5,11.0,0.9948119325551232,0.5127005347593583,0.6766651962946625
top_5,12.0,0.9688715953307393,0.5060975609756098,0.6648865153538052
top_5,13.0,0.9974059662775616,0.513351134846462,0.6778316438959895
top_5,14.0,0.9974059662775616,0.513351134846462,0.6778316438959895
top_5,15.0,0.9915693904020753,0.5118848342818881,0.6752042393464339
top_5,16.0,0.9701686121919585,0.5064319566689235,0.6654804270462634
top_5,17.0,0.9857328145265889,0.5104096709200806,0.672566371681416
top_5,18.0,0.9798962386511024,0.5089255641630178,0.669917978275327
top_5,19.0,0.9708171206225681,0.5065989847715736,0.6657771847898599
top_5,20.0,0.9507133592736705,0.5013679890560876,0.6565158978952083
bottom_5,0.0,0.9772151898734177,0.6531302876480541,0.7829614604462475
bottom_5,1.0,0.9827848101265823,0.6544167228590695,0.7856709168184578
bottom_5,2.0,0.9716455696202532,0.6518342391304348,0.7802398861557228
bottom_5,3.0,0.9610126582278481,0.6493328771809784,0.7750102082482645
bottom_5,4.0,0.9448101265822785,0.6454514008993428,0.7669543773119606
bottom_5,5.0,0.9959493670886076,0.6574197860962567,0.7920273807127038
bottom_5,6.0,0.9918987341772152,0.6565013404825737,0.7900786448880823
bottom_5,7.0,0.9827848101265823,0.6544167228590695,0.7856709168184578
bottom_5,8.0,0.9544303797468354,0.647766323024055,0.7717502558853633
bottom_5,9.0,0.9954430379746836,0.6573052490805751,0.7917841320982683
bottom_5,10.0,0.9939240506329113,0.6569611780455153,0.7910537981059843
bottom_5,11.0,0.9878481012658228,0.6555779569892473,0.788123611391638
bottom_5,12.0,0.9564556962025317,0.6482498284145505,0.7727551646553488
bottom_5,13.0,0.9959493670886076,0.6574197860962567,0.7920273807127038
bottom_5,14.0,0.9939240506329113,0.6569611780455153,0.7910537981059843
bottom_5,15.0,0.9817721518987341,0.6541835357624831,0.7851791860700545
bottom_5,16.0,0.9422784810126582,0.6448371448371448,0.7656860728245217
bottom_5,17.0,0.9751898734177216,0.6526601152151813,0.781973203410475
bottom_5,18.0,0.9650632911392405,0.6502900034118049,0.7770077456176111
bottom_5,19.0,0.9529113924050633,0.6474028207774338,0.7709954936501434
bottom_5,20.0,0.9255696202531646,0.6407290571328427,0.7572493786246893
