test_case,keypoint,precision,recall,f1_score
122,0.0,0.6677029360967185,0.9484789008832188,0.783701601459558
122,1.0,0.5046632124352332,0.9329501915708812,0.6550100874243443
122,2.0,0.7664939550949914,0.9548192771084337,0.8503544740371718
122,3.0,0.8376511226252159,0.958498023715415,0.8940092165898618
122,4.0,0.7184801381692574,0.9519450800915332,0.8188976377952756
122,5.0,0.7267702936096718,0.95246717971933,0.8244514106583073
122,6.0,0.8569948186528498,0.9593967517401392,0.9053092501368363
122,7.0,0.8832469775474957,0.9605559729526671,0.9202807270109773
122,8.0,0.8566493955094991,0.9593810444874274,0.905109489051095
122,9.0,0.5682210708117443,0.94,0.7082884822389666
122,10.0,0.8587219343696028,0.9594751061366268,0.9063069631790011
122,11.0,0.8815198618307427,0.9604817463304479,0.9193083573487032
122,12.0,0.8576856649395509,0.9594281298299846,0.9057085537114719
122,13.0,0.7022452504317789,0.95088868101029,0.8078680707331611
122,14.0,0.8573402417962004,0.9594124468496328,0.9055089383436702
122,15.0,0.8525043177892919,0.9591916051301982,0.9027066569129482
122,16.0,0.8176165803108808,0.9575242718446602,0.8820570150922302
122,17.0,0.6680483592400691,0.9485041687101521,0.7839481151195784
122,18.0,0.8127806563039723,0.9572823433685923,0.8791331963385018
122,19.0,0.7958549222797927,0.9564134495641345,0.8687782805429864
122,20.0,0.7364421416234888,0.9530621367903442,0.8308651597817616
488,0.0,1.0,0.954,0.9764585465711361
488,1.0,1.0,0.954,0.9764585465711361
488,2.0,0.9986023759608665,0.9539385847797063,0.9757596449300102
488,3.0,0.9954577218728162,0.9537997991295615,0.9741836211318173
488,4.0,0.9891684136967156,0.953519703603907,0.9710169782198594
488,5.0,1.0,0.954,0.9764585465711361
488,6.0,1.0,0.954,0.9764585465711361
488,7.0,0.9993011879804332,0.9539693128752502,0.9761092150170648
488,8.0,0.9986023759608665,0.9539385847797063,0.9757596449300102
488,9.0,1.0,0.954,0.9764585465711361
488,10.0,1.0,0.954,0.9764585465711361
488,11.0,1.0,0.954,0.9764585465711361
488,12.0,0.9986023759608665,0.9539385847797063,0.9757596449300102
488,13.0,1.0,0.954,0.9764585465711361
488,14.0,1.0,0.954,0.9764585465711361
488,15.0,1.0,0.954,0.9764585465711361
488,16.0,0.9996505939902166,0.9539846615538513,0.9762839105954615
488,17.0,1.0,0.954,0.9764585465711361
488,18.0,0.9993011879804332,0.9539693128752502,0.9761092150170648
488,19.0,0.9982529699510831,0.9539232053422371,0.9755847703602527
488,20.0,0.9961565338923829,0.953830712612914,0.9745342676465562
