test_case,keypoint,precision,recall,f1_score
naked_hands,0.0,0.9651962768110077,0.7947350883038987,0.8717105263157895
naked_hands,1.0,0.9554836098745447,0.7930802821632515,0.8667400881057268
naked_hands,2.0,0.9178470254957507,0.7864077669902912,0.8470588235294119
naked_hands,3.0,0.9138000809388911,0.7856645789839944,0.8449017773620205
naked_hands,4.0,0.9105625252934035,0.78506629448709,0.8431703204047217
naked_hands,5.0,0.9607446377984622,0.7939799331103679,0.8694378318989197
naked_hands,6.0,0.9591258599757183,0.7937039517749498,0.8686091258933479
naked_hands,7.0,0.9502225819506273,0.7921727395411606,0.8640294388224471
naked_hands,8.0,0.9206798866855525,0.7869249394673123,0.8485639686684073
naked_hands,9.0,0.9769324160259004,0.7966996699669967,0.8776586075259043
naked_hands,10.0,0.9704573047349251,0.7956204379562044,0.8743846855059252
naked_hands,11.0,0.9566976932416026,0.7932885906040269,0.8673637864611998
naked_hands,12.0,0.9093484419263456,0.784841075794621,0.8425196850393699
naked_hands,13.0,0.9700526102792392,0.7955526053767009,0.87417943107221
naked_hands,14.0,0.9595305544314043,0.7937730164044191,0.868816416269696
naked_hands,15.0,0.9429380817482801,0.7909029192124916,0.8602547535536275
naked_hands,16.0,0.9178470254957507,0.7864077669902912,0.8470588235294119
naked_hands,17.0,0.953055443140429,0.7926624032312353,0.8654906284454245
naked_hands,18.0,0.9445568595710239,0.7911864406779661,0.8610957387935805
naked_hands,19.0,0.934439498178875,0.7894017094017094,0.8558191252779836
naked_hands,20.0,0.9125859975718332,0.7854406130268199,0.8442530887308124
