test_case,keypoint,precision,recall,f1_score
thumb,0.0,0.8802880288028803,0.3310765064319567,0.4811808118081181
thumb,1.0,0.8586858685868587,0.32559726962457336,0.47216035634743875
thumb,2.0,0.7245724572457246,0.28946422150305645,0.4136690647482014
thumb,3.0,0.6993699369936993,0.28223755902651654,0.4021739130434782
thumb,4.0,0.6957695769576958,0.28119316114950893,0.4005181347150259
thumb,5.0,0.8820882088208821,0.33152909336941816,0.48192771084337355
thumb,6.0,0.8766876687668766,0.33016949152542374,0.4796848066978576
thumb,7.0,0.864986498649865,0.3272046305754171,0.474802371541502
thumb,8.0,0.8460846084608461,0.3223593964334705,0.4668487707971195
thumb,9.0,0.9513951395139514,0.3484998351467194,0.5101351351351351
thumb,10.0,0.954995499549955,0.3493579189990122,0.5115718418514947
thumb,11.0,0.9441944194419442,0.34677685950413223,0.5072533849129595
thumb,12.0,0.8901890189018902,0.3335581787521079,0.48527968596663396
thumb,13.0,0.9522952295229523,0.34871456822676333,0.5104945717732208
thumb,14.0,0.9504950495049505,0.3482849604221636,0.5097755249818972
thumb,15.0,0.9414941494149415,0.34612839179351423,0.5061698524074523
thumb,16.0,0.9135913591359136,0.3393513874958208,0.49488054607508525
thumb,17.0,0.9243924392439244,0.341991341991342,0.4992707826932426
thumb,18.0,0.9135913591359136,0.3393513874958208,0.49488054607508525
thumb,19.0,0.9108910891089109,0.3386880856760375,0.493778970480605
thumb,20.0,0.8991899189918992,0.3357983193277311,0.4889867841409692
index_finger,0.0,0.9365234375,0.3173395102581072,0.47404844290657444
index_finger,1.0,0.9169921875,0.31279147235176546,0.46646795827123694
index_finger,2.0,0.8779296875,0.3035111411208643,0.45107877571500254
index_finger,3.0,0.876953125,0.3032759202971969,0.4506900878293601
index_finger,4.0,0.8896484375,0.3063214525891056,0.455727863931966
index_finger,5.0,0.9248046875,0.31461794019933553,0.4695091720376797
index_finger,6.0,0.9140625,0.31210403467822606,0.46532438478747207
index_finger,7.0,0.8818359375,0.30445043830074175,0.4526315789473684
index_finger,8.0,0.7998046875,0.28417765440666204,0.4193548387096774
