test_case,precision,recall,f1_score
level 1,0.9330385487528344,0.6650127678831173,0.7765489648404326
level 2,0.9168529024124692,0.5167541380702463,0.6609726625837835
level 3,0.9020562770562771,0.43067284558621693,0.5830009071137391
level 4,0.880168292216485,0.3730022368463708,0.5239586060861349
level 5,0.8797736916548797,0.3309470832930251,0.4809672770728622
level 6,0.8572002294893861,0.2396772434149315,0.37461137298164676
level 7,0.8550817341862118,0.19161304707905968,0.3130708579458221
level 8,0.8675115207373272,0.1789959113815727,0.29676046346654056
level 9,0.8590576090576091,0.1634460037380809,0.2746387033241956
level 10,0.8234513861254809,0.09776993826382764,0.17478707679313013
level 11,0.7822128851540616,0.070270355283645,0.1289559131250451
level 12,0.7737094837935174,0.06071024868123587,0.11258625207441697
level 13,0.7805573842440202,0.05572876682281793,0.10403018249883014
level 14,0.6839477726574501,0.02782638585088432,0.05347705981263512
level 15,0.6767507002801121,0.018801556420233463,0.03658665859014159
level 16,0.6857142857142857,0.016787912702853944,0.032773453502662836
level 17,0.6591836734693878,0.015063893293536051,0.029454678095932885
level 18,0.5079365079365079,0.008962330205853523,0.017613870923352138
level 19,0.3412698412698413,0.005361345323628882,0.010556842767488606
level 20,0.30687830687830686,0.0036079187596224126,0.007131987887917121
level 21,0.3241758241758242,0.0027459741226845387,0.005445818718848071
