test_case,keypoint,precision,recall,f1_score
top_5,0.0,0.9315263908701854,0.2148733135899967,0.34919786096256683
top_5,1.0,0.9400855920114123,0.21642036124794745,0.3518419647624132
top_5,2.0,0.920114122681883,0.21280105575717584,0.34565916398713825
top_5,3.0,0.9315263908701854,0.2148733135899967,0.34919786096256683
top_5,4.0,0.9329529243937232,0.21513157894736842,0.3496391339214114
top_5,5.0,0.9358059914407989,0.21564760026298488,0.35052097248196634
top_5,6.0,0.9358059914407989,0.21564760026298488,0.35052097248196634
top_5,7.0,0.9372325249643366,0.21590535655603024,0.3509615384615385
top_5,8.0,0.9044222539229672,0.2099337748344371,0.34076861058855146
top_5,9.0,0.9457917261055635,0.2174483437192522,0.35359999999999997
top_5,10.0,0.9614835948644793,0.22026143790849673,0.3584153150757777
top_5,11.0,0.9415121255349501,0.21667760998030203,0.3522818254603683
top_5,12.0,0.8573466476462197,0.20120522263140275,0.32592190889370937
top_5,13.0,0.9443651925820257,0.21719160104986876,0.3531608428914377
top_5,14.0,0.9529243937232525,0.21872953503601833,0.3557922769640479
top_5,15.0,0.9400855920114123,0.21642036124794745,0.3518419647624132
top_5,16.0,0.891583452211127,0.20757223513782797,0.33674568965517243
top_5,17.0,0.9300998573466477,0.21461487820934824,0.34875635196576626
top_5,18.0,0.927246790299572,0.21409749670619235,0.34787262510034783
top_5,19.0,0.9186875891583453,0.21254125412541255,0.3452157598499062
top_5,20.0,0.8559201141226819,0.20093770931011387,0.3254678600488202
bottom_5,0.0,0.9403409090909091,0.32837301587301587,0.48676470588235293
bottom_5,1.0,0.9479166666666666,0.3301451187335092,0.48972602739726023
bottom_5,2.0,0.9346590909090909,0.32703777335984097,0.48453608247422686
bottom_5,3.0,0.9308712121212122,0.32614465826144656,0.48304668304668297
bottom_5,4.0,0.9412878787878788,0.32859504132231404,0.48713550600343053
bottom_5,5.0,0.9498106060606061,0.3305866842452208,0.49046454767726155
bottom_5,6.0,0.9545454545454546,0.33168805528134254,0.4923076923076923
bottom_5,7.0,0.9412878787878788,0.32859504132231404,0.48713550600343053
bottom_5,8.0,0.9043560606060606,0.3198258539852646,0.4725383473527957
bottom_5,9.0,0.9630681818181818,0.33366141732283466,0.49561403508771934
bottom_5,10.0,0.959280303030303,0.3327858081471748,0.4941463414634146
bottom_5,11.0,0.9441287878787878,0.32926023778071334,0.4882468168462292
bottom_5,12.0,0.8892045454545454,0.31616161616161614,0.46646795827123694
bottom_5,13.0,0.9630681818181818,0.33366141732283466,0.49561403508771934
bottom_5,14.0,0.9554924242424242,0.3319078947368421,0.49267578125
bottom_5,15.0,0.9327651515151515,0.3265915119363395,0.4837917485265226
bottom_5,16.0,0.8873106060606061,0.31570080862533695,0.4657057654075547
bottom_5,17.0,0.9498106060606061,0.3305866842452208,0.49046454767726155
bottom_5,18.0,0.9384469696969697,0.32792852415618795,0.4860225600784698
bottom_5,19.0,0.9204545454545454,0.32367632367632365,0.4789356984478936
bottom_5,20.0,0.8645833333333334,0.3101222826086957,0.4565
