test_case,keypoint,precision,recall,f1_score
hands_with_objects,0.0,0.1824,1.0,0.30852503382949936
hands_with_objects,1.0,0.3096,1.0,0.4728161270616982
hands_with_objects,2.0,0.4848,1.0,0.6530172413793104
hands_with_objects,3.0,0.432,1.0,0.6033519553072626
hands_with_objects,4.0,0.282,1.0,0.4399375975039001
hands_with_objects,5.0,0.7092,1.0,0.8298619237069974
hands_with_objects,6.0,0.4772,1.0,0.6460871919848362
hands_with_objects,7.0,0.3616,1.0,0.5311398354876615
hands_with_objects,8.0,0.2692,1.0,0.42420422313268197
hands_with_objects,9.0,0.6636,1.0,0.797787929790815
hands_with_objects,10.0,0.4708,1.0,0.6401958118031003
hands_with_objects,11.0,0.3792,1.0,0.5498839907192575
hands_with_objects,12.0,0.2948,1.0,0.4553599011430337
hands_with_objects,13.0,0.5564,1.0,0.7149832947828322
hands_with_objects,14.0,0.4656,1.0,0.6353711790393013
hands_with_objects,15.0,0.406,1.0,0.577524893314367
hands_with_objects,16.0,0.34,1.0,0.5074626865671642
hands_with_objects,17.0,0.4424,1.0,0.6134220743205768
hands_with_objects,18.0,0.4224,1.0,0.59392575928009
hands_with_objects,19.0,0.3816,1.0,0.5524030110017372
hands_with_objects,20.0,0.3412,1.0,0.5087980912615568
