test_case,keypoint,precision,recall,f1_score
strongly_underexposed,0.0,0.13233333333333333,1.0,0.23373564910214895
strongly_underexposed,1.0,0.199,1.0,0.33194328607172646
strongly_underexposed,2.0,0.457,1.0,0.6273164035689773
strongly_underexposed,3.0,0.409,1.0,0.5805535841022001
strongly_underexposed,4.0,0.219,1.0,0.3593109105824446
strongly_underexposed,5.0,0.851,1.0,0.9195029713668287
strongly_underexposed,6.0,0.39366666666666666,1.0,0.5649366180339632
strongly_underexposed,7.0,0.208,1.0,0.3443708609271523
strongly_underexposed,8.0,0.12733333333333333,1.0,0.2259018332347723
strongly_underexposed,9.0,0.8876666666666667,1.0,0.9404909058802755
strongly_underexposed,10.0,0.484,1.0,0.6522911051212937
strongly_underexposed,11.0,0.24566666666666667,1.0,0.39443403799839444
strongly_underexposed,12.0,0.18466666666666667,1.0,0.31176139561057964
strongly_underexposed,13.0,0.7656666666666667,1.0,0.8672833679441193
strongly_underexposed,14.0,0.58,1.0,0.7341772151898733
strongly_underexposed,15.0,0.465,1.0,0.6348122866894198
strongly_underexposed,16.0,0.411,1.0,0.5825655563430191
strongly_underexposed,17.0,0.45066666666666666,1.0,0.6213235294117646
strongly_underexposed,18.0,0.42766666666666664,1.0,0.5991127714219006
strongly_underexposed,19.0,0.4086666666666667,1.0,0.5802176999526739
strongly_underexposed,20.0,0.41233333333333333,1.0,0.5839037054519708
underexposed,0.0,0.736,1.0,0.847926267281106
underexposed,1.0,0.814,1.0,0.8974641675854464
underexposed,2.0,0.8343333333333334,1.0,0.9096856260221697
underexposed,3.0,0.821,1.0,0.9017023613399231
underexposed,4.0,0.7456666666666667,1.0,0.8543059003246134
underexposed,5.0,0.899,1.0,0.94681411269089
underexposed,6.0,0.8626666666666667,1.0,0.9262705798138869
underexposed,7.0,0.8156666666666667,1.0,0.8984762254451992
underexposed,8.0,0.768,1.0,0.8687782805429864
underexposed,9.0,0.9283333333333333,1.0,0.9628349178910978
underexposed,10.0,0.893,1.0,0.9434759640781828
underexposed,11.0,0.8503333333333334,1.0,0.9191136732120339
underexposed,12.0,0.799,1.0,0.8882712618121179
underexposed,13.0,0.9066666666666666,1.0,0.9510489510489509
underexposed,14.0,0.8843333333333333,1.0,0.9386166637183797
underexposed,15.0,0.883,1.0,0.9378651088688263
underexposed,16.0,0.845,1.0,0.9159891598915989
underexposed,17.0,0.8226666666666667,1.0,0.902706656912948
underexposed,18.0,0.8243333333333334,1.0,0.9037091174858396
underexposed,19.0,0.8223333333333334,1.0,0.9025059447594659
underexposed,20.0,0.7883333333333333,1.0,0.8816402609506058
overexposed,0.0,0.908,1.0,0.9517819706498952
overexposed,1.0,0.9273333333333333,1.0,0.9622967831200276
overexposed,2.0,0.9036666666666666,1.0,0.9493959026440203
overexposed,3.0,0.8736666666666667,1.0,0.9325742750400284
overexposed,4.0,0.8226666666666667,1.0,0.902706656912948
overexposed,5.0,0.9296666666666666,1.0,0.9635515633097254
overexposed,6.0,0.926,1.0,0.9615784008307372
overexposed,7.0,0.9183333333333333,1.0,0.9574283231972197
overexposed,8.0,0.9013333333333333,1.0,0.9481065918653576
overexposed,9.0,0.9443333333333334,1.0,0.9713697925595749
overexposed,10.0,0.963,1.0,0.9811512990320936
overexposed,11.0,0.9573333333333334,1.0,0.9782016348773842
overexposed,12.0,0.941,1.0,0.9696032972694487
overexposed,13.0,0.9403333333333334,1.0,0.9692492698848996
overexposed,14.0,0.9563333333333334,1.0,0.9776793320838304
overexposed,15.0,0.9426666666666667,1.0,0.970487302676733
overexposed,16.0,0.9296666666666666,1.0,0.9635515633097254
overexposed,17.0,0.902,1.0,0.9484752891692955
overexposed,18.0,0.9186666666666666,1.0,0.9576094510076442
overexposed,19.0,0.9016666666666666,1.0,0.9482909728308501
overexposed,20.0,0.8883333333333333,1.0,0.940864960282436
strongly_overexposed,0.0,0.526,1.0,0.6893840104849279
strongly_overexposed,1.0,0.6533333333333333,1.0,0.7903225806451613
strongly_overexposed,2.0,0.699,1.0,0.8228369629193644
strongly_overexposed,3.0,0.6483333333333333,1.0,0.7866531850353892
strongly_overexposed,4.0,0.5433333333333333,1.0,0.7041036717062634
strongly_overexposed,5.0,0.8353333333333334,1.0,0.9102796948783146
strongly_overexposed,6.0,0.6766666666666666,1.0,0.8071570576540755
strongly_overexposed,7.0,0.6163333333333333,1.0,0.7626314704062692
strongly_overexposed,8.0,0.5653333333333334,1.0,0.7223168654173766
strongly_overexposed,9.0,0.8743333333333333,1.0,0.9329539391783744
strongly_overexposed,10.0,0.7656666666666667,1.0,0.8672833679441193
strongly_overexposed,11.0,0.705,1.0,0.8269794721407624
strongly_overexposed,12.0,0.6303333333333333,1.0,0.7732570026579432
strongly_overexposed,13.0,0.8283333333333334,1.0,0.9061075660893345
strongly_overexposed,14.0,0.7706666666666667,1.0,0.8704819277108434
strongly_overexposed,15.0,0.74,1.0,0.8505747126436781
strongly_overexposed,16.0,0.666,1.0,0.7995198079231693
strongly_overexposed,17.0,0.6783333333333333,1.0,0.8083416087388282
strongly_overexposed,18.0,0.676,1.0,0.8066825775656324
strongly_overexposed,19.0,0.6586666666666666,1.0,0.7942122186495177
strongly_overexposed,20.0,0.613,1.0,0.7600743955362678
