test_case,precision,recall,f1_score
level 1,0.9852539682539683,1.0,0.9925722189796196
level 2,0.961,1.0,0.9801121876593575
level 3,0.9426507936507936,1.0,0.9704788907318588
level 4,0.9082063492063492,1.0,0.9518953226249199
level 5,0.8859047619047619,1.0,0.9395010604989394
level 6,0.8666349206349206,1.0,0.9285532066871885
level 7,0.8350634920634921,1.0,0.9101194543677396
level 8,0.8163015873015873,1.0,0.8988612827392136
level 9,0.8063333333333333,1.0,0.8927846466137663
level 10,0.7723492063492063,1.0,0.8715542101775063
level 11,0.7277777777777777,1.0,0.8424437299035369
level 12,0.6874126984126984,1.0,0.8147534969475199
level 13,0.6714126984126985,1.0,0.8034074397667594
level 14,0.6424761904761904,1.0,0.7823263365418067
level 15,0.5838730158730159,1.0,0.7372725086186163
level 16,0.5411428571428571,1.0,0.7022617723396366
level 17,0.530063492063492,1.0,0.6928647011224766
level 18,0.5388730158730158,1.0,0.7003476054420364
level 19,0.5196666666666667,1.0,0.6839219127001536
level 20,0.5057777777777778,1.0,0.6717827626918536
level 21,0.5045873015873016,1.0,0.6707318359725284
